,Player,Tm,G,3P,3P%,2P,2P%,FT%,ORB,DRB,AST,STL,BLK,TOV,PTS,ORB%,DRB%,AST%,STL%,BLK%,USG%,PG%,SG%,SF%,PF%,C%,PGA,Blkd,Dist.,%2PFGA,0-3%FGA,3-10%FGA,10-16%FGA,16-3P%FGA,%3PFGA,0-3FG%,3-10FG%,10-16FG%,16-3PFG%,2P%A,3P%A,Dunk%FGA,C3%3PA,C33P%,Season,TruePos
6504,Jason Kapono,TOR,80.0,1.2,0.428,2.0,0.435,0.81,0.3,1.7,1.3,0.3,0.0,0.9,8.2,1.7,8.7,9.1,0.6,0.1,17.4,0.0,68.0,32.0,0.0,0.0,235.0,14.0,18.6,0.621,0.068,0.058,0.103,0.392,0.379,0.488,0.457,0.339,0.447,0.828,0.959,0.0,0.384,0.466,,2.32
6505,Jason Kidd*,DAL,81.0,1.6,0.406,1.6,0.427,0.819,1.0,5.1,8.7,2.0,0.5,2.3,9.0,3.4,16.4,34.7,2.9,1.0,13.5,100.0,0.0,0.0,0.0,0.0,1551.0,16.0,18.3,0.477,0.165,0.05,0.055,0.207,0.523,0.48,0.387,0.324,0.422,0.349,0.901,0.0,0.245,0.329,,1.0
6506,Tarence Kinsey,CLE,50.0,0.1,0.389,0.5,0.471,0.868,0.2,0.6,0.2,0.2,0.0,0.4,2.0,4.5,11.6,5.5,2.3,0.0,18.3,9.0,82.0,9.0,0.0,0.0,23.0,5.0,13.5,0.739,0.246,0.145,0.116,0.232,0.261,0.647,0.3,0.625,0.313,0.333,1.0,0.043,0.667,0.5,,2.0
6507,Andrei Kirilenko,UTA,67.0,0.3,0.274,3.5,0.475,0.785,1.3,3.5,2.6,1.2,1.1,1.8,11.6,5.5,15.3,14.7,2.3,3.3,20.3,0.0,0.0,49.0,49.0,2.0,365.0,37.0,10.3,0.872,0.461,0.079,0.039,0.293,0.128,0.597,0.133,0.364,0.389,0.75,1.0,0.111,0.178,0.538,,3.53
6508,Linas Kleiza,DEN,82.0,1.1,0.326,2.5,0.533,0.725,1.1,2.9,0.8,0.4,0.2,1.0,9.9,6.0,14.5,5.7,0.9,0.6,20.0,0.0,0.0,58.0,41.0,1.0,143.0,39.0,13.0,0.587,0.37,0.104,0.034,0.079,0.413,0.665,0.403,0.182,0.235,0.772,0.989,0.076,0.416,0.297,,3.43
6509,Brevin Knight,UTA,74.0,0.0,0.0,0.9,0.361,0.75,0.2,1.0,2.6,0.9,0.1,0.9,2.4,1.7,9.5,28.1,3.7,0.3,13.5,100.0,0.0,0.0,0.0,0.0,410.0,13.0,15.7,0.968,0.153,0.053,0.09,0.672,0.032,0.276,0.5,0.471,0.354,0.561,,0.0,0.0,,,1.0
6510,Kyle Korver,UTA,78.0,1.3,0.386,1.8,0.485,0.882,0.4,2.9,1.8,0.6,0.4,1.2,9.0,2.2,14.2,11.1,1.3,1.3,16.9,0.0,60.0,36.0,3.0,0.0,282.0,16.0,18.9,0.523,0.093,0.02,0.082,0.329,0.477,0.538,0.182,0.457,0.495,0.866,1.0,0.007,0.494,0.394,,2.4
6511,Kosta Koufos,UTA,48.0,0.0,,2.0,0.508,0.706,1.0,1.8,0.4,0.3,0.6,0.5,4.7,10.6,18.6,5.7,1.1,4.3,18.5,0.0,0.0,0.0,7.0,93.0,41.0,10.0,5.7,1.0,0.541,0.205,0.097,0.157,0.0,0.62,0.5,0.222,0.31,0.638,,0.092,,,,4.93
6512,Nenad Krstić,OKC,46.0,0.0,,4.2,0.469,0.797,1.8,3.7,0.6,0.5,1.1,1.0,9.7,8.4,17.2,4.3,0.9,3.2,18.9,0.0,0.0,0.0,0.0,100.0,70.0,17.0,11.9,1.0,0.278,0.088,0.13,0.504,0.0,0.602,0.417,0.472,0.405,0.785,,0.042,,,,5.0
6513,Rob Kurz,GSW,40.0,0.4,0.395,0.9,0.387,0.8,0.8,1.2,0.5,0.4,0.5,0.4,3.9,8.1,11.8,6.5,1.5,3.0,16.3,0.0,1.0,20.0,71.0,7.0,41.0,10.0,15.9,0.71,0.206,0.046,0.076,0.382,0.29,0.556,0.0,0.4,0.34,0.806,0.933,0.0,0.211,0.25,,3.81
6514,Carl Landry,HOU,69.0,0.0,0.333,3.5,0.576,0.813,1.8,3.2,0.6,0.4,0.4,1.0,9.2,10.3,16.7,4.6,0.9,1.5,18.1,0.0,0.0,0.0,68.0,32.0,97.0,42.0,6.9,0.993,0.522,0.105,0.163,0.203,0.007,0.697,0.5,0.397,0.447,0.669,1.0,0.16,0.667,0.5,,4.32
6515,Acie Law,ATL,55.0,0.2,0.31,0.8,0.391,0.817,0.1,0.9,1.6,0.2,0.1,0.5,2.9,1.3,10.9,23.4,1.1,0.4,16.3,88.0,13.0,0.0,0.0,0.0,200.0,20.0,12.1,0.791,0.331,0.108,0.086,0.266,0.209,0.543,0.467,0.167,0.243,0.14,0.778,0.007,0.414,0.583,,1.14
6516,Courtney Lee,ORL,77.0,1.1,0.404,2.1,0.478,0.83,0.2,2.1,1.2,1.0,0.2,0.9,8.4,1.1,9.1,7.6,2.0,0.5,15.5,2.0,90.0,8.0,0.0,0.0,230.0,29.0,14.5,0.624,0.291,0.046,0.085,0.202,0.376,0.611,0.4,0.304,0.376,0.534,0.963,0.043,0.473,0.448,,2.06
6517,David Lee,NYK,81.0,0.0,0.0,6.4,0.551,0.755,3.2,8.6,2.1,1.0,0.3,1.9,16.0,9.6,27.9,10.1,1.4,0.6,19.2,0.0,0.0,0.0,8.0,92.0,443.0,102.0,4.7,0.997,0.636,0.121,0.123,0.117,0.003,0.636,0.504,0.316,0.378,0.665,,0.114,0.0,,,4.92
6518,Rashard Lewis,ORL,79.0,2.8,0.397,3.3,0.482,0.836,1.2,4.6,2.6,1.0,0.6,2.0,17.7,3.7,13.9,12.5,1.5,1.3,22.0,0.0,0.0,5.0,95.0,0.0,498.0,29.0,16.7,0.491,0.172,0.099,0.126,0.095,0.509,0.604,0.426,0.482,0.32,0.391,0.945,0.017,0.287,0.384,,3.95
6519,Shaun Livingston,TOT,12.0,0.0,,2.6,0.517,0.9,0.3,2.1,1.7,0.6,0.2,0.8,5.9,1.5,12.7,13.9,1.6,0.6,14.2,32.0,58.0,10.0,0.0,0.0,40.0,4.0,10.4,1.0,0.217,0.15,0.45,0.183,0.0,0.692,0.222,0.556,0.455,0.355,,0.033,,,,1.78
6520,Brook Lopez,NJN,82.0,0.0,0.0,5.5,0.532,0.793,2.7,5.4,1.0,0.5,1.8,1.8,13.0,10.6,21.2,6.2,0.9,4.9,20.3,0.0,0.0,0.0,0.0,100.0,194.0,74.0,5.7,0.998,0.52,0.238,0.118,0.121,0.002,0.661,0.393,0.35,0.431,0.645,,0.164,0.0,,,5.0
6521,Robin Lopez,PHO,60.0,0.0,0.0,1.2,0.522,0.691,0.9,1.1,0.1,0.2,0.7,0.5,3.2,10.3,12.1,1.8,0.9,4.9,14.0,0.0,0.0,0.0,0.0,100.0,17.0,14.0,3.7,0.993,0.613,0.248,0.102,0.029,0.007,0.643,0.324,0.286,0.5,0.563,,0.197,0.0,,,5.0
6522,Kevin Love,MIN,81.0,0.0,0.105,3.9,0.469,0.789,3.4,5.7,1.0,0.4,0.6,1.5,11.1,15.1,27.3,6.8,0.9,1.9,21.0,0.0,0.0,0.0,41.0,59.0,179.0,78.0,7.1,0.972,0.528,0.164,0.103,0.177,0.028,0.551,0.416,0.282,0.385,0.599,0.5,0.06,0.105,0.5,,4.59
6523,Kyle Lowry,TOT,77.0,0.3,0.255,2.1,0.488,0.801,0.3,2.1,3.6,0.9,0.2,1.5,7.6,1.9,11.6,26.4,2.2,0.8,18.1,95.0,5.0,0.0,0.0,0.0,613.0,44.0,11.3,0.774,0.424,0.099,0.081,0.171,0.226,0.538,0.349,0.4,0.486,0.262,0.88,0.0,0.347,0.294,,1.05
6524,Tyronn Lue,TOT,44.0,0.6,0.435,1.0,0.44,0.737,0.1,0.9,1.4,0.2,0.0,0.5,4.2,1.3,9.2,18.6,0.8,0.0,16.8,100.0,0.0,0.0,0.0,0.0,135.0,7.0,17.6,0.617,0.093,0.093,0.154,0.278,0.383,0.267,0.267,0.44,0.556,0.25,0.704,0.0,0.226,0.429,,1.0
6525,Mark Madsen,MIN,19.0,0.0,,0.2,0.214,0.0,0.5,0.4,0.2,0.1,0.1,0.2,0.3,9.7,8.4,4.7,0.5,0.7,7.3,0.0,0.0,0.0,28.0,72.0,8.0,0.0,5.9,1.0,0.286,0.5,0.214,0.0,0.0,0.25,0.286,0.0,,0.333,,0.0,,,,4.72
6526,Corey Maggette,GSW,51.0,0.5,0.253,5.3,0.497,0.824,1.0,4.6,1.8,0.9,0.2,2.4,18.6,3.4,16.0,9.2,1.4,0.3,25.2,0.0,1.0,23.0,72.0,5.0,213.0,44.0,11.7,0.85,0.331,0.151,0.107,0.26,0.15,0.662,0.344,0.426,0.406,0.522,1.0,0.052,0.147,0.5,,3.84
6527,Jamaal Magloire,MIA,55.0,0.0,,1.2,0.496,0.483,1.5,2.5,0.4,0.2,0.5,0.6,2.9,13.7,23.8,4.6,0.8,2.9,12.5,0.0,0.0,0.0,0.0,100.0,50.0,14.0,2.7,1.0,0.626,0.328,0.038,0.008,0.0,0.671,0.233,0.0,0.0,0.569,,0.206,,,,5.0
6528,Stephon Marbury,BOS,23.0,0.3,0.24,1.4,0.372,0.462,0.1,1.1,3.3,0.4,0.1,1.6,3.8,0.6,7.3,26.6,1.3,0.6,17.3,18.0,79.0,3.0,0.0,0.0,176.0,7.0,15.0,0.775,0.225,0.108,0.072,0.369,0.225,0.52,0.25,0.125,0.366,0.406,0.833,0.0,0.12,0.333,,1.85
6529,Shawn Marion,TOT,69.0,0.1,0.189,5.4,0.506,0.796,2.6,5.9,2.0,1.3,1.0,1.5,12.9,8.6,19.7,9.3,1.9,2.1,18.1,0.0,1.0,81.0,18.0,0.0,313.0,43.0,6.9,0.933,0.407,0.313,0.165,0.047,0.067,0.66,0.401,0.392,0.27,0.653,0.9,0.126,0.623,0.182,,3.17
6530,Sean Marks,NOH,60.0,0.0,0.2,1.3,0.503,0.682,1.0,2.1,0.2,0.1,0.6,0.6,3.2,9.0,18.0,2.6,0.5,3.3,12.6,0.0,0.0,0.0,20.0,81.0,36.0,18.0,9.4,0.939,0.509,0.036,0.024,0.37,0.061,0.69,0.167,0.0,0.311,0.808,1.0,0.291,0.6,0.0,,4.85
6531,Donyell Marshall,PHI,25.0,1.0,0.455,0.3,0.444,0.5,0.2,1.4,0.6,0.2,0.2,0.2,3.8,3.8,21.7,13.6,1.1,2.1,19.7,0.0,0.0,0.0,90.0,10.0,34.0,0.0,20.2,0.247,0.151,0.027,0.0,0.068,0.753,0.545,0.0,,0.4,0.5,0.96,0.027,0.418,0.348,,4.1
6532,Cartier Martin,CHA,33.0,0.3,0.303,0.5,0.409,0.8,0.2,0.8,0.4,0.2,0.1,0.3,2.6,3.3,12.0,8.0,1.6,1.2,17.2,0.0,34.0,65.0,2.0,0.0,26.0,5.0,14.9,0.571,0.286,0.039,0.117,0.13,0.429,0.545,0.333,0.0,0.5,0.556,1.0,0.0,0.545,0.389,,2.71
6533,Kenyon Martin,DEN,66.0,0.2,0.368,4.6,0.498,0.604,1.2,4.8,2.0,1.5,1.1,1.6,11.7,4.6,16.8,10.0,2.3,2.7,17.7,0.0,0.0,0.0,90.0,10.0,299.0,54.0,8.5,0.941,0.404,0.228,0.086,0.222,0.059,0.656,0.466,0.196,0.361,0.701,0.929,0.182,0.263,0.4,,4.1
6534,Kevin Martin,SAC,51.0,2.3,0.415,4.4,0.423,0.867,0.6,3.0,2.7,1.2,0.2,2.9,24.6,1.7,9.3,12.3,1.6,0.3,27.4,5.0,80.0,16.0,0.0,0.0,325.0,37.0,15.8,0.658,0.2,0.083,0.1,0.276,0.342,0.543,0.403,0.37,0.362,0.442,0.809,0.03,0.256,0.507,,2.13
6535,Desmond Mason,OKC,39.0,0.0,0.0,3.2,0.44,0.541,1.1,3.0,1.2,0.4,0.8,1.4,7.5,4.4,12.8,6.7,0.7,2.1,15.7,0.0,78.0,21.0,1.0,0.0,102.0,17.0,6.7,0.989,0.414,0.267,0.214,0.095,0.011,0.636,0.316,0.344,0.148,0.613,,0.074,0.0,,,2.23
6536,Roger Mason,SAS,82.0,2.0,0.421,2.2,0.428,0.89,0.2,2.9,2.1,0.5,0.1,1.2,11.8,0.8,11.1,11.1,0.9,0.4,18.9,10.0,87.0,3.0,0.0,0.0,391.0,25.0,19.7,0.521,0.096,0.028,0.046,0.35,0.479,0.468,0.348,0.526,0.41,0.53,0.759,0.001,0.279,0.418,,1.93
6537,Jason Maxiell,DET,78.0,0.0,0.0,2.4,0.577,0.532,2.2,2.0,0.3,0.3,0.8,0.6,5.8,14.0,13.2,2.8,1.0,3.5,14.7,0.0,0.0,0.0,42.0,58.0,49.0,26.0,6.1,0.997,0.572,0.091,0.163,0.172,0.003,0.721,0.69,0.346,0.255,0.668,,0.303,0.0,,,4.58
6538,Sean May,CHA,24.0,0.0,1.0,1.6,0.392,0.7,0.8,2.0,0.4,0.2,0.2,1.1,3.9,8.3,20.0,5.6,0.9,1.1,20.8,0.0,0.0,0.0,95.0,5.0,22.0,9.0,13.0,0.99,0.224,0.112,0.133,0.52,0.01,0.409,0.091,0.385,0.451,0.737,1.0,0.01,0.0,,,4.05
6539,O.J. Mayo,MEM,82.0,1.8,0.384,5.1,0.461,0.879,0.7,3.1,3.2,1.1,0.2,2.8,18.5,2.2,10.1,15.5,1.6,0.3,24.5,8.0,91.0,1.0,0.0,0.0,576.0,75.0,15.4,0.705,0.209,0.096,0.109,0.292,0.295,0.496,0.447,0.393,0.465,0.281,0.807,0.029,0.161,0.41,,1.93
6540,Luc Mbah a Moute,MIL,82.0,0.0,0.0,2.8,0.466,0.729,2.3,3.6,1.1,1.1,0.5,1.2,7.2,10.1,17.4,6.3,2.1,1.8,14.3,0.0,0.0,26.0,71.0,3.0,192.0,46.0,8.2,0.992,0.489,0.073,0.116,0.314,0.008,0.604,0.222,0.263,0.383,0.727,,0.061,0.5,0.0,,3.77
6541,Rashad McCants,TOT,58.0,1.1,0.333,2.2,0.431,0.759,0.4,1.5,1.2,0.8,0.2,1.1,9.6,2.2,9.7,10.7,2.2,1.0,25.1,28.0,69.0,3.0,0.0,0.0,153.0,31.0,14.7,0.613,0.295,0.072,0.082,0.164,0.387,0.521,0.343,0.4,0.325,0.403,0.746,0.033,0.164,0.258,,1.75
6542,Antonio McDyess,DET,62.0,0.0,,4.3,0.51,0.698,3.0,6.8,1.3,0.7,0.8,0.8,9.6,11.6,27.2,7.3,1.2,2.1,15.7,0.0,0.0,0.0,94.0,6.0,190.0,10.0,13.4,1.0,0.248,0.017,0.116,0.619,0.0,0.615,0.778,0.443,0.474,0.866,,0.017,,,,4.06
6543,JaVale McGee,WAS,75.0,0.0,,2.5,0.494,0.66,1.6,2.3,0.3,0.4,1.0,0.8,6.5,12.0,18.4,3.4,1.5,5.4,20.7,0.0,0.0,0.0,0.0,100.0,49.0,37.0,4.3,1.0,0.589,0.261,0.101,0.049,0.0,0.618,0.297,0.282,0.474,0.592,,0.217,,,,5.0
