Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,Player-additional,Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,-9999,Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,10-Mar,16-Oct,16-3P,3P,,2P,0-3,10-Mar,16-Oct,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#,-9999,Season
164,Tim Frazier,PG,30,MEM,5,0,12.4,0.6,4,0.15,0,1.6,0,0.6,2.4,0.25,0.15,0.4,1.2,0.333,0,1.6,1.6,3.2,0.4,0.2,0.8,1.4,1.6,fraziti01,164,Tim Frazier,PG,30,MEM,5,0,62,2.3,15.4,0.15,0,6.2,0,2.3,9.3,0.25,1.5,4.6,0.333,0,6.2,6.2,12.3,1.5,0.8,3.1,5.4,6.2,,63,112,fraziti01,164,Tim Frazier,PG,30,MEM,5,62,-0.5,0.177,0.4,0.3,0,13.8,6.8,30.8,1.5,1.5,15,18.1,,-0.3,0.1,-0.2,-0.169,,-10.7,-1.2,-11.9,-0.2,fraziti01,164,Tim Frazier,PG,30,MEM,5,62,100%,,,,,4.5,3.2,4,0,3,0,0,0,39,0,2,fraziti01,164,Tim Frazier,PG,30,MEM,5,62,0.15,16.8,,0.6,0.1,0.15,0.25,0.1,0.4,,0.25,1,0,0.2,0,0,,0.333,,,0,0,,0.125,0,,0,0,fraziti01,2021
165,Enes Freedom,C,28,POR,72,35,24.4,4.7,7.8,0.604,0,0.1,0.25,4.7,7.7,0.607,0.605,1.8,2.3,0.774,3.9,7.1,11,1.2,0.5,0.7,1.1,2.3,11.2,kanteen01,165,Enes Freedom,C,28,POR,72,35,1758,9.4,15.6,0.604,0,0.1,0.25,9.4,15.5,0.607,3.5,4.6,0.774,7.9,14.2,22.1,2.3,0.9,1.3,2.2,4.7,22.4,,133,113,kanteen01,165,Enes Freedom,C,28,POR,72,1758,22.4,0.636,0.007,0.292,16.8,31.9,24.2,7.2,0.9,2.4,11,17.4,,5.7,1.7,7.5,0.204,,2.1,-1.4,0.6,1.2,kanteen01,165,Enes Freedom,C,28,POR,72,1758,,,,2%,98%,4,4.1,20,26,113,21,79,2,213,24,68,kanteen01,165,Enes Freedom,C,28,POR,72,1758,0.604,2.7,,0.993,0.695,0.275,0.016,0.007,0.007,,0.607,0.695,0.416,0.222,0.25,0.25,,0.459,1,,0.032,16,,0,,,1,0,kanteen01,2021
166,Markelle Fultz,PG,22,ORL,8,8,26.9,5.1,13,0.394,0.5,2,0.25,4.6,11,0.42,0.413,2.1,2.4,0.895,0.6,2.5,3.1,5.4,1,0.3,2.3,2.3,12.9,fultzma01,166,Markelle Fultz,PG,22,ORL,8,8,215,9.3,23.5,0.394,0.9,3.6,0.25,8.4,19.9,0.42,3.8,4.3,0.895,1.1,4.5,5.7,9.7,1.8,0.5,4.1,4.1,23.3,,96,116,fultzma01,166,Markelle Fultz,PG,22,ORL,8,215,12,0.458,0.154,0.183,2.3,10,6,33.1,1.8,0.8,13.8,26.2,,-0.3,0.1,-0.1,-0.024,,-3.6,-0.9,-4.4,-0.1,fultzma01,166,Markelle Fultz,PG,22,ORL,8,215,93%,6%,1%,,,-4.9,4.3,9,6,10,3,8,1,103,5,7,fultzma01,166,Markelle Fultz,PG,22,ORL,8,215,0.394,11.4,,0.846,0.163,0.365,0.135,0.183,0.154,,0.42,0.706,0.447,0.286,0.211,0.25,,0.081,0.5,,0.029,1,,0.125,0,,0,0,fultzma01,2021
167,Wenyen Gabriel,PF,23,NOP,21,0,11.5,1.1,2.9,0.4,0.6,1.5,0.406,0.5,1.3,0.393,0.508,0.5,0.8,0.647,1,1.6,2.6,0.5,0.4,0.4,0.7,1.5,3.4,gabriwe01,167,Wenyen Gabriel,PF,23,NOP,21,0,241,4.8,11.9,0.4,2.6,6.4,0.406,2.2,5.6,0.393,2.2,3.4,0.647,4,6.8,10.7,2.2,1.8,1.6,3,6.4,14.3,,104,112,gabriwe01,167,Wenyen Gabriel,PF,23,NOP,21,241,9.8,0.533,0.533,0.283,9,15.3,12.2,5.9,1.8,3.1,18.2,14.4,,0,0.3,0.3,0.052,,-3.2,-0.1,-3.3,-0.1,gabriwe01,167,Wenyen Gabriel,PF,23,NOP,21,241,,,3%,97%,,0.4,1.1,6,4,16,3,6,1,28,1,3,gabriwe01,167,Wenyen Gabriel,PF,23,NOP,21,241,0.4,15,,0.467,0.35,0.083,0.033,0,0.533,,0.393,0.429,0.2,0.5,,0.406,,0.364,1,,0.067,2,,0.313,0.5,,1,0,gabriwe01,2021
168,Daniel Gafford,C,22,TOT,54,11,14.6,2.9,4.2,0.684,0,0,,2.9,4.2,0.684,0.684,1.3,2,0.667,1.7,2.5,4.3,0.5,0.5,1.4,0.8,1.8,7,gaffoda01,168,Daniel Gafford,C,22,TOT,54,11,791,9.2,13.4,0.684,0,0,,9.2,13.4,0.684,4.3,6.4,0.667,5.6,8.2,13.8,1.7,1.6,4.5,2.4,5.9,22.7,,131,107,gaffoda01,168,Daniel Gafford,C,22,TOT,54,791,22.2,0.697,0,0.48,12.9,18.6,15.8,5.3,1.5,8.1,13.1,16.7,,2.1,1.3,3.5,0.209,,0.6,1.6,2.2,0.8,gaffoda01,168,Daniel Gafford,C,22,TOT,54,791,,,,14%,86%,3.6,5.6,12,17,71,7,50,12,66,13,12,gaffoda01,168,Daniel Gafford,C,22,TOT,54,791,0.684,3.2,,1,0.573,0.382,0.027,0.018,0,,0.684,0.791,0.57,0.333,0.25,,,0.714,,,0.338,71,,,,,0,0,gaffoda01,2021
168,Daniel Gafford,C,22,CHI,31,11,12.4,1.9,2.8,0.69,0,0,,1.9,2.8,0.69,0.69,0.9,1.3,0.659,1.4,1.9,3.3,0.5,0.4,1.1,0.7,1.7,4.7,gaffoda01,168,Daniel Gafford,C,22,CHI,31,11,383,7.6,11,0.69,0,0,,7.6,11,0.69,3.4,5.2,0.659,5.6,7.5,13,2.2,1.4,4.3,2.8,6.8,18.6,,128,107,gaffoda01,168,Daniel Gafford,C,22,CHI,31,383,18.8,0.7,0,0.471,12.9,16.9,14.9,6.2,1.4,7.7,17.3,14.4,,0.8,0.6,1.5,0.182,,-1.3,1.6,0.3,0.2,gaffoda01,168,Daniel Gafford,C,22,CHI,31,383,,,,29%,71%,0,0.9,4,10,37,4,15,5,40,3,5,gaffoda01,168,Daniel Gafford,C,22,CHI,31,383,0.69,3.2,,1,0.644,0.264,0.046,0.046,0,,0.69,0.786,0.565,0.5,0.25,,,0.65,,,0.368,29,,,,,0,0,gaffoda01,2021
168,Daniel Gafford,C,22,WAS,23,0,17.7,4.1,6,0.681,0,0,,4.1,6,0.681,0.681,2,2.9,0.672,2.2,3.4,5.6,0.5,0.7,1.8,0.8,1.9,10.1,gaffoda01,168,Daniel Gafford,C,22,WAS,23,0,408,10.6,15.6,0.681,0,0,,10.6,15.6,0.681,5.1,7.6,0.672,5.7,8.8,14.5,1.4,1.7,4.6,2.1,5,26.3,,133,106,gaffoda01,168,Daniel Gafford,C,22,WAS,23,408,25.4,0.696,0,0.486,13,20.2,16.6,4.4,1.7,8.4,10.2,18.9,,1.3,0.7,2,0.235,,2.5,1.6,4,0.6,gaffoda01,168,Daniel Gafford,C,22,WAS,23,408,,,,,100%,7,10.1,8,7,34,3,35,7,26,10,7,gaffoda01,168,Daniel Gafford,C,22,WAS,23,408,0.681,3.3,,1,0.529,0.457,0.014,0,0,,0.681,0.795,0.571,0,,,,0.755,,,0.319,42,,,,,0,0,gaffoda01,2021
169,Danilo Gallinari,PF,32,ATL,51,4,24,4,9.3,0.434,2,5,0.406,2,4.3,0.466,0.542,3.2,3.4,0.925,0.3,3.8,4.1,1.5,0.6,0.2,0.8,2.1,13.3,gallida01,169,Danilo Gallinari,PF,32,ATL,51,4,1222,8.3,19.1,0.434,4.1,10.2,0.406,4.1,8.9,0.466,6.5,7,0.925,0.7,7.8,8.5,3.1,1.2,0.4,1.7,4.2,27.2,,123,114,gallida01,169,Danilo Gallinari,PF,32,ATL,51,1222,16.3,0.613,0.535,0.366,1.6,17,9.5,9.2,1.2,0.7,7.2,21.2,,2.7,1,3.7,0.146,,1.7,-0.6,1.1,1,gallida01,169,Danilo Gallinari,PF,32,ATL,51,1222,,,,64%,36%,2.7,0.2,19,11,54,6,66,6,188,8,21,gallida01,169,Danilo Gallinari,PF,32,ATL,51,1222,0.434,19.4,,0.465,0.084,0.088,0.152,0.141,0.535,,0.466,0.65,0.405,0.472,0.388,0.406,,0.515,0.932,,0.017,6,,0.094,0.333,,2,0,gallida01,2021
170,Langston Galloway,SG,29,PHO,40,0,11,1.7,3.7,0.449,0.9,2.1,0.424,0.8,1.6,0.484,0.571,0.6,0.6,0.957,0.2,0.9,1.1,0.7,0.2,0,0.3,0.6,4.8,gallola01,170,Langston Galloway,SG,29,PHO,40,0,438,7.4,16.6,0.449,4.1,9.6,0.424,3.4,7,0.484,2.5,2.6,0.957,0.8,3.9,4.7,2.9,0.9,0,1.5,2.8,21.4,,118,115,gallola01,170,Langston Galloway,SG,29,PHO,40,438,12.1,0.605,0.578,0.156,1.8,8.9,5.4,8,0.9,0,7.6,17.3,,0.6,0.3,0.9,0.096,,-0.1,-0.8,-0.9,0.1,gallola01,170,Langston Galloway,SG,29,PHO,40,438,15%,57%,27%,1%,,2.9,-3.7,7,0,12,4,11,1,63,4,1,gallola01,170,Langston Galloway,SG,29,PHO,40,438,0.449,19.3,,0.422,0.054,0.109,0.143,0.116,0.578,,0.484,0.5,0.5,0.524,0.412,0.424,,0.8,1,,0,0,,0.494,0.429,,1,0,gallola01,2021
171,Darius Garland,PG,21,CLE,54,50,33.1,6.7,14.9,0.451,1.9,4.9,0.395,4.8,9.9,0.479,0.517,2.1,2.4,0.848,0.4,2,2.4,6.1,1.2,0.1,3,2,17.4,garlada01,171,Darius Garland,PG,21,CLE,54,50,1790,10,22.1,0.451,2.9,7.3,0.395,7.1,14.8,0.479,3.1,3.6,0.848,0.6,2.9,3.6,9.1,1.8,0.2,4.5,3,25.9,,105,117,garlada01,171,Darius Garland,PG,21,CLE,54,1790,14.2,0.547,0.332,0.165,1.4,6.8,4,30.9,1.8,0.3,16,24.9,,0.3,0.9,1.2,0.033,,0,-2.1,-2.1,-0.1,garlada01,171,Darius Garland,PG,21,CLE,54,1790,100%,,,,,-6.5,3.9,98,29,47,10,46,19,747,10,36,garlada01,171,Darius Garland,PG,21,CLE,54,1790,0.451,13.1,,0.668,0.238,0.269,0.111,0.05,0.332,,0.479,0.586,0.444,0.393,0.35,0.395,,0.307,0.705,,0.001,1,,0.173,0.435,,0,0,garlada01,2021
172,Marc Gasol,C,36,LAL,52,42,19.1,1.7,3.7,0.454,1,2.3,0.41,0.7,1.4,0.528,0.582,0.7,1,0.72,0.7,3.4,4.1,2.1,0.5,1.1,1,2.2,5,gasolma01,172,Marc Gasol,C,36,LAL,52,42,993,4.3,9.5,0.454,2.4,6,0.41,1.9,3.5,0.528,1.8,2.4,0.72,1.9,8.7,10.5,5.3,1.3,2.8,2.6,5.6,12.8,,115,105,gasolma01,172,Marc Gasol,C,36,LAL,52,993,12.2,0.606,0.629,0.258,4.3,19.9,12.2,14.7,1.3,5.2,19.7,11.8,,0.8,1.9,2.8,0.133,,-1.4,3.7,2.3,1.1,gasolma01,172,Marc Gasol,C,36,LAL,52,993,,,,,100%,3.8,1.7,38,4,61,10,20,7,252,8,5,gasolma01,172,Marc Gasol,C,36,LAL,52,993,0.454,19.3,,0.371,0.093,0.134,0.119,0.026,0.629,,0.528,0.778,0.5,0.391,0.4,0.41,,0.737,0.98,,0.015,3,,0.082,0.5,,0,0,gasolma01,2021
173,Rudy Gay,PF,34,SAS,63,1,21.6,4.2,10,0.42,1.7,4.4,0.381,2.5,5.6,0.451,0.505,1.3,1.6,0.804,0.7,4.1,4.8,1.4,0.7,0.6,1,1.8,11.4,gayru01,173,Rudy Gay,PF,34,SAS,63,1,1358,9.4,22.4,0.42,3.8,9.9,0.381,5.6,12.5,0.451,2.9,3.6,0.804,1.5,9.3,10.8,3.1,1.6,1.4,2.3,4.1,25.6,,103,111,gayru01,173,Rudy Gay,PF,34,SAS,63,1358,14.7,0.532,0.443,0.162,3.2,20.9,11.9,9.7,1.6,2.5,8.8,23.6,,0,1.7,1.7,0.059,,-0.1,0,-0.1,0.6,gayru01,173,Rudy Gay,PF,34,SAS,63,1358,,,3%,88%,9%,4.4,10.1,28,24,59,7,45,4,208,8,21,gayru01,173,Rudy Gay,PF,34,SAS,63,1358,0.42,17.1,,0.557,0.121,0.139,0.172,0.126,0.443,,0.451,0.605,0.448,0.407,0.367,0.381,,0.405,0.896,,0.037,19,,0.183,0.314,,2,0,gayru01,2021
174,Paul George,SF,30,LAC,54,54,33.7,8.2,17.6,0.467,3.2,7.7,0.411,5.1,9.9,0.51,0.557,3.7,4.2,0.868,0.8,5.8,6.6,5.2,1.1,0.4,3.3,2.4,23.3,georgpa01,174,Paul George,SF,30,LAC,54,54,1821,12.1,25.9,0.467,4.6,11.3,0.411,7.4,14.6,0.51,5.4,6.2,0.868,1.2,8.5,9.8,7.6,1.7,0.7,4.9,3.6,34.2,,113,110,georgpa01,174,Paul George,SF,30,LAC,54,1821,20.5,0.598,0.437,0.239,2.9,18.9,11.1,24.6,1.7,1.2,14.5,30,,3,2.3,5.3,0.139,,3.9,0.3,4.2,2.9,georgpa01,174,Paul George,SF,30,LAC,54,1821,,4%,90%,7%,,11.4,10.2,111,43,49,20,100,20,693,21,44,georgpa01,174,Paul George,SF,30,LAC,54,1821,0.467,16.2,,0.563,0.185,0.146,0.113,0.12,0.437,,0.51,0.636,0.403,0.444,0.509,0.411,,0.277,0.673,,0.024,19,,0.18,0.56,,4,0,georgpa01,2021
175,Taj Gibson,C,35,NYK,45,3,20.8,2.2,3.5,0.627,0.1,0.3,0.2,2.1,3.2,0.671,0.636,0.9,1.2,0.727,2.2,3.4,5.6,0.8,0.7,1.1,0.5,2.2,5.4,gibsota01,175,Taj Gibson,C,35,NYK,45,3,936,5.3,8.4,0.627,0.2,0.8,0.2,5.1,7.6,0.671,2.1,2.9,0.727,5.3,8.1,13.4,1.9,1.7,2.6,1.2,5.3,12.9,,139,105,gibsota01,175,Taj Gibson,C,35,NYK,45,936,16,0.661,0.095,0.348,11.6,17.3,14.5,5.4,1.7,5,10.8,9.7,,2.1,1.7,3.8,0.195,,-0.7,2.1,1.3,0.8,gibsota01,175,Taj Gibson,C,35,NYK,45,936,,,,3%,98%,7.9,7.4,12,5,50,4,24,9,86,4,14,gibsota01,175,Taj Gibson,C,35,NYK,45,936,0.627,5.8,,0.905,0.601,0.184,0.082,0.038,0.095,,0.671,0.789,0.414,0.538,0.333,0.2,,0.604,1,,0.165,23,,0.467,0.286,,0,0,gibsota01,2021
176,Harry Giles,C,22,POR,38,0,9.2,1.1,2.6,0.433,0.2,0.6,0.348,0.9,1.9,0.459,0.474,0.4,0.7,0.593,0.8,2.7,3.5,0.8,0.2,0.3,0.5,1.4,2.8,gilesha01,176,Harry Giles,C,22,POR,38,0,348,5.9,13.6,0.433,1.1,3.2,0.348,4.8,10.4,0.459,2.2,3.8,0.593,4.3,14.3,18.6,4.1,1.1,1.8,2.8,7.6,15.1,,106,111,gilesha01,176,Harry Giles,C,22,POR,38,348,12.4,0.496,0.237,0.278,9.3,32.2,20.4,11.3,1.1,3.3,15.5,15.9,,0.1,0.4,0.5,0.069,,-3.2,0.2,-2.9,-0.1,gilesha01,176,Harry Giles,C,22,POR,38,348,,,,,100%,-8,-11.1,9,6,33,5,10,2,73,3,8,gilesha01,176,Harry Giles,C,22,POR,38,348,0.433,10.4,,0.763,0.392,0.186,0.093,0.093,0.237,,0.459,0.605,0.333,0,0.556,0.348,,0.412,1,,0.113,9,,0.174,0.75,,0,0,gilesha01,2021
177,Shai Gilgeous-Alexander,SG,22,OKC,35,35,33.7,8.2,16.1,0.508,2,4.9,0.418,6.2,11.3,0.547,0.571,5.3,6.5,0.808,0.5,4.2,4.7,5.9,0.8,0.7,3,2,23.7,gilgesh01,177,Shai Gilgeous-Alexander,SG,22,OKC,35,35,1180,11.6,22.8,0.508,2.9,6.8,0.418,8.7,15.9,0.547,7.5,9.2,0.808,0.8,5.9,6.7,8.3,1.1,0.9,4.3,2.8,33.4,,118,115,gilgesh01,177,Shai Gilgeous-Alexander,SG,22,OKC,35,1180,21.6,0.623,0.301,0.405,1.7,13.1,7.3,31.2,1.1,1.7,13.7,27.8,,2.7,0.8,3.5,0.143,,3.9,0.2,4.1,1.8,gilgesh01,177,Shai Gilgeous-Alexander,SG,22,OKC,35,1180,7%,31%,62%,1%,,-7.9,4.4,59,31,29,7,87,4,523,21,40,gilgesh01,177,Shai Gilgeous-Alexander,SG,22,OKC,35,1180,0.508,11.6,,0.699,0.333,0.225,0.097,0.044,0.301,,0.547,0.633,0.528,0.382,0.36,0.418,,0.074,0.296,,0.018,10,,0.076,0.462,,0,0,gilgesh01,2021
178,Anthony Gill,PF,28,WAS,26,4,8.4,1.2,2.3,0.5,0.3,0.9,0.292,0.9,1.4,0.639,0.558,0.5,0.6,0.813,0.6,1.3,2,0.4,0.4,0.2,0.3,1,3.1,gillan01,178,Anthony Gill,PF,28,WAS,26,4,218,6.3,12.7,0.5,1.5,5.1,0.292,4.9,7.6,0.639,2.7,3.4,0.813,3.4,7.4,10.8,2.3,2.1,0.8,1.7,5.7,16.9,,120,111,gillan01,178,Anthony Gill,PF,28,WAS,26,218,13.7,0.597,0.4,0.267,7.8,17,12.4,6.7,2.1,1.5,10.7,14.2,,0.3,0.3,0.6,0.123,,-1.6,0.3,-1.3,0,gillan01,178,Anthony Gill,PF,28,WAS,26,218,,3%,12%,74%,12%,0.1,2.1,1,4,10,2,5,6,25,2,5,gillan01,178,Anthony Gill,PF,28,WAS,26,218,0.5,12.4,,0.6,0.267,0.317,0,0.017,0.4,,0.639,0.813,0.526,,0,0.292,,0.783,0.857,,0.05,2,,0.375,0.111,,0,0,gillan01,2021
179,Freddie Gillespie,PF,23,TOR,20,2,19.6,2.2,4.2,0.524,0,0,,2.2,4.2,0.524,0.524,1.2,1.7,0.697,2.1,2.8,4.9,0.5,0.7,1,0.6,2.2,5.6,gillefr01,179,Freddie Gillespie,PF,23,TOR,20,2,392,5.4,10.4,0.524,0,0,,5.4,10.4,0.524,2.8,4.1,0.697,5.2,6.8,12,1.1,1.6,2.5,1.5,5.3,13.7,,120,111,gillefr01,179,Freddie Gillespie,PF,23,TOR,20,392,13.4,0.563,0,0.393,11.4,16,13.6,3.2,1.6,5.1,10.9,12.2,,0.5,0.5,0.9,0.116,,-3.1,-0.1,-3.2,-0.1,gillefr01,179,Freddie Gillespie,PF,23,TOR,20,392,,,3%,46%,51%,-10.2,-10.6,5,1,24,2,16,2,18,1,8,gillefr01,179,Freddie Gillespie,PF,23,TOR,20,392,0.524,4.5,,1,0.476,0.405,0.119,0,0,,0.524,0.675,0.412,0.3,,,,0.682,,,0.167,12,,,,,0,0,gillefr01,2021
180,Rudy Gobert,C,28,UTA,71,71,30.8,5.5,8.2,0.675,0,0.1,0,5.5,8.1,0.68,0.675,3.3,5.3,0.623,3.4,10.1,13.5,1.3,0.6,2.7,1.7,2.3,14.3,goberru01,180,Rudy Gobert,C,28,UTA,71,71,2187,8.7,12.9,0.675,0,0.1,0,8.7,12.8,0.68,5.2,8.3,0.623,5.3,16,21.4,2,0.9,4.2,2.6,3.6,22.6,,131,101,goberru01,180,Rudy Gobert,C,28,UTA,71,2187,23.5,0.683,0.007,0.646,12.2,33.5,23.3,6,0.9,7,13.7,17,,6.1,5.2,11.3,0.248,,2.1,2.8,4.9,3.8,goberru01,180,Rudy Gobert,C,28,UTA,71,2187,,,,,100%,16.6,19.1,26,37,81,27,182,14,233,43,41,goberru01,180,Rudy Gobert,C,28,UTA,71,2187,0.675,2.7,,0.993,0.77,0.209,0.005,0.009,0.007,,0.68,0.798,0.281,0,0.2,0,,0.767,,,0.432,231,,0.25,0,,3,0,goberru01,2021
181,Brandon Goodwin,PG,25,ATL,47,5,13.2,1.8,4.7,0.377,0.7,2.2,0.311,1.1,2.6,0.433,0.448,0.6,0.9,0.651,0.2,1.3,1.5,2,0.4,0,0.8,0.9,4.9,goodwbr01,181,Brandon Goodwin,PG,25,ATL,47,5,620,6.7,17.7,0.377,2.5,8.2,0.311,4.1,9.5,0.433,2.2,3.4,0.651,0.6,4.8,5.5,7.5,1.3,0,2.9,3.3,18.1,,101,116,goodwbr01,181,Brandon Goodwin,PG,25,ATL,47,620,9.2,0.471,0.462,0.193,1.4,10.6,6.1,21.6,1.3,0,13,19.5,,-0.2,0.4,0.2,0.013,,-2.5,-0.6,-3.1,-0.2,goodwbr01,181,Brandon Goodwin,PG,25,ATL,47,620,92%,8%,,,,-2.8,-6.5,18,11,13,5,13,3,229,3,19,goodwbr01,181,Brandon Goodwin,PG,25,ATL,47,620,0.377,16.1,,0.538,0.233,0.157,0.099,0.049,0.462,,0.433,0.481,0.4,0.455,0.273,0.311,,0.269,0.688,,0,0,,0.107,0.455,,2,0,goodwbr01,2021
182,Aaron Gordon,PF,25,TOT,50,50,27.7,4.6,10,0.463,1.2,3.5,0.335,3.4,6.5,0.533,0.522,1.9,3,0.651,1.5,4.1,5.7,3.2,0.7,0.7,1.9,1.8,12.4,gordoaa01,182,Aaron Gordon,PF,25,TOT,50,50,1384,8.2,17.7,0.463,2.1,6.2,0.335,6.1,11.4,0.533,3.4,5.3,0.651,2.7,7.3,10.1,5.7,1.2,1.2,3.4,3.2,21.9,,107,114,gordoaa01,182,Aaron Gordon,PF,25,TOT,50,1384,14.5,0.547,0.353,0.299,6,16.4,11.1,17.8,1.2,2.3,14.7,20.7,,0.7,1.2,1.9,0.066,,0.2,-0.1,0.1,0.7,gordoaa01,182,Aaron Gordon,PF,25,TOT,50,1384,,,10%,90%,,2.4,6.2,58,16,41,13,68,3,382,16,29,gordoaa01,182,Aaron Gordon,PF,25,TOT,50,1384,0.463,13.5,,0.647,0.283,0.166,0.132,0.066,0.353,,0.533,0.709,0.398,0.439,0.303,0.335,,0.494,0.831,,0.114,52,,0.188,0.333,,3,0,gordoaa01,2021
182,Aaron Gordon,PF,25,ORL,25,25,29.4,5.1,11.7,0.437,1.7,4.5,0.375,3.4,7.2,0.475,0.509,2.6,4.2,0.629,1.6,5.1,6.6,4.2,0.6,0.8,2.7,2,14.6,gordoaa01,182,Aaron Gordon,PF,25,ORL,25,25,736,8.5,19.4,0.437,2.8,7.4,0.375,5.7,12,0.475,4.4,6.9,0.629,2.6,8.4,11,6.9,1.1,1.3,4.4,3.2,24.1,,103,114,gordoaa01,182,Aaron Gordon,PF,25,ORL,25,736,14.9,0.537,0.382,0.358,5.3,18.5,11.7,23,1.1,2.5,16.5,23.8,,0,0.6,0.6,0.037,,0.5,0.1,0.6,0.5,gordoaa01,182,Aaron Gordon,PF,25,ORL,25,736,,,10%,90%,,-2.1,8.7,38,12,21,10,44,2,246,6,17,gordoaa01,182,Aaron Gordon,PF,25,ORL,25,736,0.437,14.9,,0.618,0.225,0.157,0.147,0.089,0.382,,0.475,0.667,0.326,0.442,0.308,0.375,,0.384,0.81,,0.072,19,,0.107,0.333,,2,0,gordoaa01,2021
182,Aaron Gordon,PF,25,DEN,25,25,25.9,4.1,8.2,0.5,0.7,2.6,0.266,3.4,5.7,0.606,0.541,1.2,1.8,0.705,1.5,3.2,4.7,2.2,0.7,0.6,1.2,1.6,10.2,gordoaa01,182,Aaron Gordon,PF,25,DEN,25,25,648,7.9,15.7,0.5,1.3,4.9,0.266,6.6,10.8,0.606,2.4,3.4,0.705,2.9,6.1,9,4.3,1.3,1.1,2.3,3.1,19.4,,115,113,gordoaa01,182,Aaron Gordon,PF,25,DEN,25,648,14.1,0.564,0.311,0.214,6.7,13.9,10.3,11.8,1.3,2.1,11.7,17.2,,0.7,0.6,1.3,0.099,,-0.1,-0.3,-0.4,0.3,gordoaa01,182,Aaron Gordon,PF,25,DEN,25,648,,,11%,89%,1%,7.5,3.2,20,4,20,3,24,1,136,10,12,gordoaa01,182,Aaron Gordon,PF,25,DEN,25,648,0.5,11.6,,0.689,0.364,0.18,0.112,0.034,0.311,,0.606,0.747,0.486,0.435,0.286,0.266,,0.605,0.882,,0.175,33,,0.328,0.333,,1,0,gordoaa01,2021
183,Eric Gordon,SG,32,HOU,27,13,29.2,5.9,13.6,0.433,2.6,7.8,0.329,3.3,5.8,0.573,0.527,3.5,4.2,0.825,0.3,1.9,2.1,2.6,0.5,0.5,1.9,1.6,17.8,gordoer01,183,Eric Gordon,SG,32,HOU,27,13,789,9.5,22,0.433,4.1,12.6,0.329,5.4,9.4,0.573,5.6,6.8,0.825,0.5,3,3.5,4.3,0.8,0.8,3.1,2.6,28.9,,108,119,gordoer01,183,Eric Gordon,SG,32,HOU,27,789,14.4,0.577,0.572,0.311,1,7.1,3.9,14.6,0.8,1.5,10.9,25.2,,0.6,0.2,0.8,0.048,,0.7,-1.7,-1.1,0.2,gordoer01,183,Eric Gordon,SG,32,HOU,27,789,44%,53%,3%,,,-4.7,4.4,24,13,23,8,50,0,173,10,19,gordoer01,183,Eric Gordon,SG,32,HOU,27,789,0.433,17.1,,0.428,0.248,0.153,0.022,0.005,0.572,,0.573,0.747,0.357,0.25,0,0.329,,0.311,0.754,,0.005,2,,0.048,0.5,,0,0,gordoer01,2021
184,Devonte' Graham,PG,25,CHO,55,44,30.2,4.6,12.2,0.377,3.3,8.7,0.375,1.3,3.5,0.38,0.51,2.4,2.9,0.842,0.4,2.3,2.7,5.4,0.9,0.1,1.5,1.4,14.8,grahade01,184,Devonte' Graham,PG,25,CHO,55,44,1659,7.4,19.7,0.377,5.3,14,0.375,2.1,5.7,0.38,3.9,4.7,0.842,0.6,3.7,4.4,8.7,1.4,0.2,2.5,2.3,24,,115,116,grahade01,184,Devonte' Graham,PG,25,CHO,55,1659,14.6,0.552,0.713,0.236,1.4,8.4,4.8,26.3,1.4,0.4,10.2,21.4,,2.5,0.9,3.4,0.099,,1.8,-1.1,0.7,1.1,grahade01,184,Devonte' Graham,PG,25,CHO,55,1659,100%,,,,,1.8,7.5,64,16,31,2,54,12,713,4,23,grahade01,184,Devonte' Graham,PG,25,CHO,55,1659,0.377,21.8,,0.287,0.075,0.052,0.072,0.088,0.713,,0.38,0.44,0.286,0.354,0.407,0.375,,0.397,0.771,,0.001,1,,0.103,0.49,,1,0,grahade01,2021
