Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TMP,ORtg,DRtg,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,ShootFC,OffFC,ShootFD,OffFD,PGA,And1,Blkd,Dist.,%2PFGA,0-3%FGA,3-10%FGA,10-16%FGA,16-3P%FGA,%3PFGA,0-3FG%,3-10FG%,10-16FG%,16-3PFG%,2P%A,3P%A,Dunk%FGA,Dunks,C3%3PA,C33P%,Season 
Precious Achiuwa,C,23,TOR,55,12,20.7,3.6,7.3,0.485,0.5,2,0.269,3,5.4,0.564,0.521,1.6,2.3,0.702,1.8,4.1,6,0.9,0.6,0.5,1.1,1.9,9.2,1140,112,113,15.2,0.554,0.307,9.3,24.4,16.3,6.3,1.3,2.6,11.4,19.4,0.8,1.4,2.2,0.093,-1.4,-0.8,-2.3,-0.1,,,,17%,83%,-1.5,-3.8,8,21,53,19,59,7,128,15,31,9.8,0.733,0.381,0.267,0.072,0.012,0.267,0.734,0.417,0.276,0.2,0.629,1,0.141,49,0.444,0.25,2023
Steven Adams,C,29,MEM,42,42,27,3.7,6.3,0.597,0,0,0,3.7,6.2,0.599,0.597,1.1,3.1,0.364,5.1,6.5,11.5,2.3,0.9,1.1,1.9,2.3,8.6,1133,118,108,17.5,0.564,0.49,20.1,25.3,22.7,11.2,1.5,3.7,19.8,14.6,1.3,2.1,3.4,0.144,-0.3,0.9,0.6,0.7,,,,,100%,9.5,8.3,40,10,40,23,51,7,223,15,14,2.6,0.996,0.696,0.281,0.019,0,0.004,0.645,0.5,0.4,,0.503,,0.163,41,1,0,2023
Bam Adebayo,C,25,MIA,75,75,34.6,8,14.9,0.54,0,0.2,0.083,8,14.7,0.545,0.541,4.3,5.4,0.806,2.5,6.7,9.2,3.2,1.2,0.8,2.5,2.8,20.4,2598,115,111,20.1,0.592,0.361,8,23.6,15.5,15.9,1.7,2.4,12.7,25.2,3.6,3.8,7.4,0.137,0.8,0.8,1.5,2.3,,,,,100%,1.7,5.4,61,46,86,50,196,10,587,37,49,7.4,0.989,0.298,0.38,0.265,0.047,0.011,0.714,0.478,0.498,0.288,0.601,1,0.136,140,0,,2023
Ochai Agbaji,SG,22,UTA,59,22,20.5,2.8,6.5,0.427,1.4,3.9,0.355,1.4,2.7,0.532,0.532,0.9,1.2,0.812,0.7,1.3,2.1,1.1,0.3,0.3,0.7,1.7,7.9,1209,115,121,9.5,0.561,0.179,3.9,6.9,5.4,7.5,0.6,1,9,15.8,0.9,0.4,1.3,0.053,-1.7,-1.4,-3,-0.3,38%,40%,20%,3%,,-0.5,0.9,15,8,65,9,32,3,159,4,20,16.9,0.409,0.15,0.21,0.026,0.023,0.591,0.621,0.494,0.4,0.444,0.762,0.988,0.054,17,0.412,0.457,2023
Santi Aldama,PF,22,MEM,77,20,21.8,3.2,6.8,0.47,1.2,3.5,0.353,2,3.4,0.591,0.56,1.4,1.9,0.75,1.1,3.7,4.8,1.3,0.6,0.6,0.8,1.9,9,1682,120,111,13.9,0.591,0.274,5.4,18,11.7,7.6,1.3,2.6,9.3,16,2.1,2.4,4.6,0.13,-0.3,0.8,0.5,1.1,,,2%,69%,29%,2.2,-2.4,19,20,93,11,48,11,231,12,20,14.6,0.493,0.28,0.166,0.03,0.017,0.507,0.707,0.471,0.25,0.444,0.68,0.968,0.118,54,0.391,0.365,2023
Nickeil Alexander-Walker,SG,24,TOT,59,3,15,2.2,5,0.444,1,2.7,0.384,1.2,2.3,0.515,0.547,0.7,1,0.667,0.3,1.5,1.7,1.8,0.5,0.4,0.9,1.5,6.2,884,109,116,11.6,0.565,0.203,1.9,10.5,6.3,16.7,1.7,2,14.6,17.9,0.3,0.8,1.1,0.062,-1.4,0.4,-0.9,0.2,2%,39%,51%,8%,,-2.5,-2,38,9,59,3,25,23,262,6,13,16.9,0.461,0.139,0.207,0.044,0.071,0.539,0.634,0.443,0.385,0.571,0.329,0.803,0.01,2,0.277,0.386,2023
Nickeil Alexander-Walker,SG,24,UTA,36,3,14.7,2.3,4.7,0.488,1,2.4,0.402,1.3,2.3,0.578,0.591,0.8,1.1,0.692,0.2,1.4,1.6,2.1,0.7,0.4,1.3,1.6,6.3,528,111,116,13,0.609,0.229,1.7,10.3,6,19.9,2.2,2.2,19.4,18.4,0.3,0.5,0.8,0.074,-0.6,1.1,0.5,0.3,,34%,57%,10%,,-2.2,-1.2,31,8,38,3,16,16,183,3,5,16.5,0.488,0.118,0.247,0.059,0.065,0.512,0.65,0.524,0.4,0.818,0.313,0.714,0.006,1,0.241,0.381,2023
Nickeil Alexander-Walker,SG,24,MIN,23,0,15.5,2.1,5.4,0.384,1.1,3.1,0.361,1,2.3,0.415,0.488,0.6,0.9,0.619,0.3,1.5,1.8,1.4,0.3,0.3,0.4,1.3,5.9,356,106,116,9.6,0.503,0.168,2.2,10.8,6.6,12,1.1,1.7,6.9,17.3,0,0.3,0.3,0.044,-2.5,-0.5,-3,-0.1,5%,48%,42%,5%,,-2.9,-3,7,1,21,0,9,7,79,3,8,17.4,0.424,0.168,0.152,0.024,0.08,0.576,0.619,0.263,0.333,0.3,0.364,0.923,0.016,1,0.319,0.391,2023
Grayson Allen,SG,27,MIL,72,70,27.4,3.4,7.7,0.44,2,5.1,0.399,1.4,2.7,0.518,0.571,1.6,1.8,0.905,0.8,2.4,3.3,2.3,0.9,0.2,1,1.6,10.4,1972,123,114,12.3,0.612,0.226,3.4,9,6.3,10.9,1.5,0.6,10.5,14.6,2.8,2.2,5.1,0.123,-0.6,0.7,0.1,1,5%,75%,21%,,,5.7,4.1,49,11,68,1,44,23,409,7,22,18.7,0.343,0.18,0.104,0.054,0.005,0.657,0.67,0.345,0.4,0,0.606,0.884,0.027,12,0.213,0.474,2023
Jarrett Allen,C,24,CLE,68,68,32.6,5.9,9.2,0.644,0,0.1,0.1,5.9,9.1,0.653,0.645,2.4,3.3,0.733,3.3,6.5,9.8,1.7,0.8,1.2,1.4,2.3,14.3,2220,132,108,19.9,0.67,0.353,11.7,23.6,17.7,7.5,1.2,3.5,11.4,16.4,5.5,4,9.5,0.205,1.3,1,2.4,2.4,,,,,100%,7.9,4.9,41,18,91,17,100,13,271,20,44,4.4,0.984,0.575,0.307,0.075,0.027,0.016,0.764,0.51,0.511,0.294,0.774,1,0.319,179,0.6,0,2023
Jose Alvarado,PG,24,NOP,61,10,21.5,3.3,8,0.411,1.4,4,0.336,1.9,4,0.488,0.496,1.1,1.3,0.813,0.5,1.9,2.3,3,1.1,0.2,1.3,2,9,1310,107,113,11.8,0.525,0.164,2.4,9.8,6.1,19.9,2.5,0.7,13.4,19.8,0.1,1.7,1.8,0.066,-2,0.7,-1.2,0.3,100%,,,,,4.7,3.9,46,20,61,6,33,15,430,5,30,15.6,0.495,0.186,0.243,0.051,0.014,0.505,0.67,0.395,0.36,0.143,0.381,0.94,0,0,0.287,0.38,2023
Kyle Anderson,PF,29,MIN,69,46,28.4,3.7,7.2,0.509,0.6,1.5,0.41,3,5.7,0.536,0.553,1.4,2,0.735,1,4.4,5.3,4.9,1.1,0.9,1.5,2.1,9.4,1957,120,112,14.8,0.583,0.275,3.8,16.9,10.5,22.6,1.9,2.8,15.7,14.4,2.5,2.6,5.1,0.125,0.2,2.3,2.5,2.2,,,8%,90%,2%,1.9,4,54,21,63,10,67,16,780,16,19,9.9,0.788,0.246,0.426,0.087,0.028,0.212,0.648,0.512,0.465,0.143,0.512,0.93,0.02,10,0.448,0.468,2023
Giannis Antetokounmpo,PF,28,MIL,63,63,32.1,11.2,20.3,0.553,0.7,2.7,0.275,10.5,17.6,0.596,0.572,7.9,12.3,0.645,2.2,9.6,11.8,5.7,0.8,0.8,3.9,3.1,31.1,2024,117,108,29,0.605,0.604,7.3,30,19.1,33.2,1.2,2.1,13.2,38.8,4.9,3.7,8.6,0.204,5.8,2.7,8.5,5.4,,,,59%,41%,7.4,7.8,71,62,69,59,385,5,927,98,82,8.1,0.866,0.48,0.212,0.091,0.084,0.134,0.791,0.354,0.353,0.355,0.415,0.617,0.166,198,0.023,0.25,2023
Thanasis Antetokounmpo,PF,30,MIL,37,0,5.6,0.5,1.2,0.435,0,0.2,0,0.5,1,0.526,0.435,0.3,0.6,0.5,0.4,0.8,1.2,0.4,0.1,0.1,0.3,0.6,1.4,206,98,114,6.7,0.458,0.478,7.9,14.1,11.1,9.3,0.7,1.2,17.7,13.8,-0.1,0.2,0.1,0.022,-6.5,-1.1,-7.6,-0.3,,,16%,52%,32%,-25.9,-31.1,1,2,10,4,9,0,39,0,5,7.7,0.826,0.478,0.304,0.022,0.022,0.174,0.682,0.357,0,0,0.65,,0.13,6,0.375,0,2023
Cole Anthony,PG,22,ORL,60,4,25.9,4.6,10.2,0.454,1.3,3.4,0.364,3.4,6.7,0.5,0.516,2.5,2.8,0.894,0.8,4,4.8,3.9,0.6,0.5,1.5,2.6,13,1552,117,115,16,0.57,0.279,3.4,17.6,10.5,22.9,1.2,1.9,11.7,21.5,2.1,1.7,3.7,0.116,0.7,0.5,1.3,1.3,100%,,,,,-0.6,3.6,43,28,83,6,76,8,558,20,22,14.7,0.662,0.143,0.249,0.151,0.12,0.338,0.632,0.447,0.522,0.425,0.248,0.733,0.023,11,0.083,0.353,2023
OG Anunoby,SF,25,TOR,67,67,35.6,6.3,13.2,0.476,2.1,5.5,0.387,4.2,7.7,0.539,0.556,2.1,2.5,0.838,1.4,3.5,5,2,1.9,0.7,2,3,16.8,2386,113,113,14.6,0.586,0.189,4.2,12.1,7.9,8,2.7,2,12.1,19.5,1.8,2.9,4.7,0.094,-0.3,0.7,0.4,1.5,2%,50%,48%,1%,,2.1,2.4,55,29,88,29,79,15,307,19,65,13.6,0.585,0.293,0.174,0.062,0.056,0.415,0.695,0.364,0.364,0.46,0.566,0.958,0.13,103,0.398,0.466,2023
Ryan Arcidiacono,PG,28,TOT,20,4,8.6,0.5,1.9,0.243,0.4,1.2,0.348,0.1,0.7,0.071,0.351,0,0,,0,0.8,0.8,1.2,0.3,0,0.4,0.9,1.3,172,86,121,2.7,0.351,0,0,10,5,16.9,1.4,0,15.9,11.1,-0.2,0.1,-0.2,-0.043,-7.3,-1.5,-8.8,-0.3,85%,15%,,,,-10.3,-8,4,3,10,0,0,7,53,0,2,20.2,0.378,0.027,0.189,0.108,0.054,0.622,0,0.143,0,0,1,0.875,0,0,0.043,0,2023
Ryan Arcidiacono,PG,28,NYK,11,0,2.4,0.1,0.5,0.2,0.1,0.3,0.333,0,0.2,0,0.3,0,0,,0,0.4,0.4,0.2,0.2,0,0.1,0.3,0.3,26,72,110,3.1,0.3,0,0,17,8.4,9.3,3.8,0,16.7,9.9,0,0,0,-0.012,-8.9,3.8,-5.1,0,21%,79%,,,,7.4,4.3,0,1,1,0,0,0,5,0,0,16.9,0.4,0.2,0.2,0,0,0.6,0,0,,,,1,0,0,0.333,0,2023
Ryan Arcidiacono,PG,28,POR,9,4,16.2,0.9,3.6,0.25,0.8,2.2,0.35,0.1,1.3,0.083,0.359,0,0,,0,1.2,1.2,2.3,0.3,0,0.7,1.6,2.6,146,88,122,2.6,0.359,0,0,8.7,4.3,18.3,1,0,15.8,11.3,-0.2,0,-0.1,-0.049,-7,-2.4,-9.4,-0.3,96%,4%,,,,-13.5,-10.2,4,2,9,0,0,7,48,0,2,20.7,0.375,0,0.188,0.125,0.063,0.625,,0.167,0,0,1,0.857,0,0,0,,2023
Deni Avdija,SF,22,WAS,76,40,26.6,3.3,7.6,0.437,0.9,3.1,0.297,2.4,4.6,0.53,0.497,1.6,2.2,0.739,1,5.4,6.4,2.8,0.9,0.4,1.6,2.8,9.2,2020,106,114,11.2,0.535,0.285,4.2,21.9,13.4,13.9,1.6,1.2,15.9,16.7,0,2.3,2.3,0.054,-2.8,0.5,-2.3,-0.1,,8%,62%,30%,,-0.6,1.3,62,30,129,23,78,6,502,21,36,13.3,0.599,0.278,0.263,0.038,0.021,0.401,0.714,0.395,0.227,0.333,0.538,0.942,0.057,29,0.241,0.339,2023
Deandre Ayton,C,24,PHO,67,67,30.4,7.8,13.2,0.589,0.1,0.4,0.292,7.7,12.9,0.597,0.592,2.3,3,0.76,2.6,7.4,10,1.7,0.6,0.8,1.8,2.8,18,2035,119,111,19.9,0.617,0.225,9.2,27.5,18.1,9.2,0.9,2.3,11,22.9,3.3,3,6.2,0.147,0.9,0,0.9,1.5,,,,3%,97%,-1.6,-6.8,23,41,117,35,96,0,279,24,39,7.7,0.973,0.313,0.352,0.223,0.085,0.027,0.806,0.532,0.455,0.467,0.792,0.857,0.131,110,0,,2023
Udoka Azubuike,C,23,UTA,36,4,10,1.6,2,0.819,0,0,,1.6,2,0.819,0.819,0.2,0.6,0.35,0.9,2.4,3.3,0.3,0.2,0.4,0.5,0.9,3.5,359,131,114,16.1,0.774,0.278,9.5,26.1,17.9,4.3,0.8,3.5,18.2,11.5,0.6,0.4,1,0.134,-1.2,0.5,-0.6,0.1,,,,2%,99%,-11.2,-11.1,2,5,29,2,9,0,24,2,3,2.7,1,0.625,0.375,0,0,0,0.956,0.593,,,0.864,,0.625,42,,,2023
Marvin Bagley III,C,23,DET,42,25,23.6,4.8,9.1,0.529,0.5,1.6,0.288,4.4,7.5,0.579,0.554,1.9,2.6,0.75,2.2,4.2,6.4,0.9,0.5,0.7,1.1,1.9,12,990,117,118,17.2,0.587,0.283,10.2,20.2,15.1,5.9,0.9,2.7,9.7,20.4,1.3,0.7,2,0.095,0.3,-1.2,-0.9,0.3,,,,18%,82%,-11,-3.4,13,11,54,12,51,7,94,12,17,9,0.827,0.312,0.377,0.113,0.029,0.173,0.765,0.479,0.442,0.364,0.628,0.947,0.076,28,0.288,0.316,2023
Patrick Baldwin Jr.,SF,20,GSW,31,0,7.3,1.4,3.5,0.394,1,2.7,0.381,0.4,0.8,0.44,0.541,0.1,0.2,0.667,0,1.3,1.3,0.4,0.2,0.1,0.4,0.5,3.9,226,101,114,11.3,0.546,0.055,0.5,18.6,9.7,6.9,1.3,1.6,9,22.8,-0.1,0.3,0.1,0.029,-0.7,-1.4,-2.1,0,,1%,22%,69%,9%,-11.4,-14,5,0,9,3,3,1,27,0,3,21.4,0.229,0.073,0.083,0.055,0.018,0.771,0.875,0.333,0,0.5,0.818,1,0.037,3,0.214,0.278,2023
LaMelo Ball,PG,21,CHO,36,36,35.2,8.2,20,0.411,4,10.6,0.376,4.2,9.4,0.45,0.51,2.8,3.4,0.836,1.2,5.3,6.4,8.4,1.3,0.3,3.6,3.3,23.3,1268,108,115,17.9,0.541,0.169,3.5,16.2,9.7,38.7,1.7,0.8,14.3,30,0.6,1.2,1.8,0.068,3.2,-0.8,2.4,1.4,75%,25%,,,,-5.2,0.8,71,17,51,13,40,11,686,9,27,17.7,0.469,0.169,0.162,0.085,0.053,0.531,0.598,0.316,0.443,0.395,0.25,0.653,0.004,3,0.136,0.385,2023
Mo Bamba,C,24,TOT,49,7,15.7,2.4,4.9,0.485,1,2.5,0.387,1.4,2.4,0.59,0.585,0.8,1.3,0.661,1.2,3.4,4.6,0.9,0.3,0.9,0.6,2.1,6.6,769,121,111,15.7,0.602,0.257,8.5,24.2,16.4,8.7,0.8,5.3,10.1,16.6,1.1,1.1,2.2,0.139,-0.2,0.7,0.5,0.5,,,,,100%,0.8,4.1,11,9,69,8,27,0,111,7,14,15.1,0.485,0.32,0.104,0.033,0.029,0.515,0.74,0.24,0.5,0.286,0.754,1,0.178,36,0.113,0.357,2023
Mo Bamba,C,24,ORL,40,6,17,2.7,5.4,0.495,1.1,2.7,0.398,1.6,2.7,0.594,0.596,0.9,1.3,0.686,1.2,3.4,4.6,1.1,0.3,1,0.6,2.2,7.3,681,125,112,16.3,0.613,0.238,7.8,22.8,15.3,9,0.9,5.4,8.5,16.3,1.2,0.9,2.1,0.15,0.4,0.9,1.3,0.6,,,,,100%,1.7,5.4,8,8,58,4,22,0,101,7,12,14.9,0.495,0.322,0.103,0.037,0.033,0.505,0.739,0.273,0.5,0.286,0.762,1,0.187,33,0.12,0.385,2023
Mo Bamba,C,24,LAL,9,1,9.8,1.2,3,0.407,0.6,1.8,0.313,0.7,1.2,0.545,0.5,0.7,1.2,0.545,1.2,3.3,4.6,0.4,0.1,0.6,0.9,2.1,3.7,88,100,108,11.4,0.518,0.407,13.9,35.3,24.9,6,0.5,4.8,20.1,19.1,-0.1,0.2,0.1,0.054,-5.3,-0.2,-5.5,-0.1,,,,,100%,-5.5,-6.2,3,1,11,4,5,0,10,0,2,16.1,0.407,0.296,0.111,0,0,0.593,0.75,0,,,0.667,1,0.111,3,0.063,0,2023
Paolo Banchero,PF,20,ORL,72,72,33.8,6.7,15.6,0.427,1.2,4,0.298,5.5,11.6,0.471,0.465,5.5,7.4,0.738,1.2,5.7,6.9,3.7,0.8,0.5,2.8,2.2,20,2430,105,114,14.9,0.529,0.476,3.9,19.3,11.6,17.2,1.2,1.5,12.8,27.5,-0.3,2.6,2.4,0.047,-0.7,-0.7,-1.5,0.3,,,27%,70%,3%,-4.5,-4.4,79,78,90,22,258,8,634,53,92,12.4,0.746,0.242,0.253,0.124,0.127,0.254,0.658,0.38,0.41,0.352,0.404,0.706,0.054,52,0.123,0.343,2023
Desmond Bane,SG,24,MEM,58,58,31.7,7.8,16.2,0.479,2.9,7,0.408,4.9,9.2,0.534,0.568,3.1,3.5,0.883,0.7,4.3,5,4.4,1,0.4,2.2,2.6,21.5,1841,119,113,19.1,0.606,0.218,2.5,14.3,8.4,20.8,1.4,1.1,10.9,26.1,3.5,2.3,5.8,0.151,3.3,0.1,3.5,2.5,4%,86%,10%,,,8.2,8.6,48,33,78,17,78,8,615,28,73,14.8,0.567,0.229,0.21,0.071,0.056,0.433,0.642,0.447,0.478,0.491,0.521,0.729,0.007,6,0.15,0.508,2023
Dalano Banton,PG,23,TOR,31,2,9,1.8,4.2,0.423,0.5,1.6,0.294,1.3,2.5,0.506,0.481,0.5,0.8,0.708,0.4,1.1,1.5,1.2,0.4,0.4,0.6,1.1,4.6,279,105,112,14.9,0.505,0.185,4.2,14.9,9.1,19.3,2.3,4.5,11.4,24.2,0,0.4,0.4,0.064,-1.1,0.6,-0.5,0.1,46%,49%,6%,,,-6.6,-8.4,7,7,20,1,11,0,85,2,7,14.3,0.608,0.277,0.177,0.077,0.077,0.392,0.806,0.348,0.2,0.1,0.575,0.867,0.062,8,0.235,0.25,2023
Dominick Barlow,PF,19,SAS,28,0,14.6,1.6,3.1,0.535,0,0.1,0,1.6,2.9,0.561,0.535,0.6,0.9,0.72,1.6,2,3.6,0.9,0.4,0.7,0.5,2,3.9,408,121,119,12.4,0.567,0.291,11.9,15.6,13.7,7.6,1.2,3.8,13.4,11.3,0.5,0.2,0.7,0.082,-3.7,-0.8,-4.6,-0.3,,,13%,55%,32%,-12,-2.1,5,4,40,5,12,2,59,5,8,5.5,0.953,0.523,0.256,0.14,0.035,0.047,0.711,0.409,0.25,0.667,0.739,,0.151,12,0.75,0,2023
Harrison Barnes,PF,30,SAC,82,82,32.5,4.6,9.6,0.473,1.6,4.3,0.374,3,5.3,0.553,0.556,4.3,5,0.847,1.1,3.4,4.5,1.6,0.7,0.1,1,1.3,15,2662,126,119,14.1,0.632,0.522,3.8,11.9,7.9,6.3,1,0.3,8.1,17.1,5.1,1.4,6.5,0.118,0.5,-1.5,-1,0.7,,,16%,84%,,3.9,4.8,38,24,52,11,182,23,317,31,31,13.7,0.554,0.259,0.234,0.053,0.008,0.446,0.717,0.405,0.429,0.333,0.587,0.932,0.063,47,0.365,0.395,2023
Scottie Barnes,SF,21,TOR,77,76,34.8,6,13.2,0.456,0.8,2.9,0.281,5.2,10.3,0.505,0.487,2.5,3.2,0.772,2.3,4.3,6.6,4.8,1.1,0.8,2,2.2,15.3,2678,113,115,15.5,0.524,0.242,7.1,15.2,10.8,20,1.5,2.2,12,20.3,2.3,2.7,5,0.09,0.5,-0.1,0.4,1.6,1%,15%,60%,24%,,3,5.5,99,25,80,13,119,18,888,30,47,10.8,0.78,0.277,0.321,0.099,0.083,0.22,0.687,0.448,0.297,0.369,0.493,0.841,0.087,83,0.339,0.316,2023
RJ Barrett,SG,22,NYK,73,73,33.9,7,16.1,0.434,1.7,5.3,0.31,5.3,10.8,0.495,0.485,4,5.4,0.74,0.8,4.2,5,2.8,0.4,0.2,2.2,2.5,19.6,2475,107,118,12.9,0.531,0.333,2.7,13.7,8.2,12.4,0.6,0.6,10.8,26.2,0.5,1.8,2.2,0.043,-1.2,-1.9,-3.1,-0.7,,30%,69%,1%,,-0.6,-10,73,45,88,19,205,7,486,44,94,11.5,0.668,0.299,0.287,0.06,0.023,0.332,0.642,0.401,0.3,0.259,0.424,0.926,0.029,29,0.29,0.319,2023
Will Barton,SG,32,TOT,56,2,17.7,2.5,6.5,0.379,1.2,3.2,0.367,1.3,3.3,0.391,0.47,0.7,0.8,0.787,0.3,2.2,2.4,2,0.5,0.2,0.9,1,6.8,993,102,117,10,0.493,0.129,1.7,13.5,7.7,15.4,1.4,1.1,11.1,18.9,-0.4,0.8,0.4,0.021,-2,-0.6,-2.6,-0.2,13%,67%,20%,1%,,-8.3,-9.1,27,11,36,1,18,2,263,3,25,17.8,0.505,0.118,0.198,0.093,0.096,0.495,0.581,0.306,0.324,0.4,0.458,0.742,0.022,7,0.183,0.515,2023
Will Barton,SG,32,WAS,40,0,19.6,2.8,7.1,0.386,1.3,3.5,0.377,1.5,3.7,0.395,0.477,0.9,1.1,0.778,0.3,2.5,2.8,2.4,0.4,0.3,1.1,1,7.7,782,101,117,10,0.504,0.158,1.5,13.8,7.9,16.5,1.1,1.1,12.9,19.4,-0.4,0.6,0.2,0.013,-1.7,-0.9,-2.7,-0.1,3%,72%,24%,1%,,-8.6,-9.1,27,9,27,1,17,1,219,3,21,17.7,0.516,0.116,0.211,0.091,0.098,0.484,0.576,0.3,0.308,0.464,0.379,0.75,0.025,6,0.181,0.48,2023
Will Barton,SG,32,TOR,16,2,13.2,1.8,4.9,0.354,0.9,2.6,0.333,0.9,2.3,0.378,0.443,0.1,0.1,1,0.3,1.3,1.6,1.1,0.7,0.2,0.2,1.1,4.5,211,105,114,9.9,0.451,0.025,2.5,12.2,7,11,2.6,1.4,3.6,16.7,0,0.2,0.2,0.051,-2.9,0.5,-2.5,0,51%,48%,2%,,,-7.3,-8.9,0,2,9,0,1,1,44,0,4,18.2,0.468,0.127,0.152,0.101,0.089,0.532,0.6,0.333,0.375,0.143,0.786,0.714,0.013,1,0.19,0.625,2023
Charles Bassey,C,22,SAS,35,2,14.5,2.5,3.9,0.644,0.1,0.2,0.375,2.4,3.6,0.661,0.656,0.6,1.1,0.595,2.1,3.4,5.5,1.3,0.5,0.9,1.2,2.1,5.7,508,120,114,18.8,0.658,0.274,15.5,26.4,20.7,12.9,1.5,5.4,21.3,15.6,0.7,0.6,1.3,0.122,-0.7,1.3,0.6,0.3,,,,4%,96%,-3.6,7.5,14,7,41,13,17,0,112,5,4,5.3,0.941,0.548,0.267,0.096,0.03,0.059,0.757,0.556,0.462,0.5,0.643,0.667,0.178,22,0.25,0,2023
Keita Bates-Diop,PF,27,SAS,67,42,21.7,3.5,6.9,0.508,0.8,2.1,0.394,2.7,4.8,0.557,0.568,1.8,2.2,0.793,1,2.7,3.7,1.5,0.7,0.3,0.8,0.9,9.7,1452,121,120,14.9,0.609,0.323,4.7,14.3,9.3,9.8,1.5,1.1,9.5,16.7,2.1,0.6,2.7,0.089,0.3,-0.9,-0.6,0.5,,1%,37%,62%,,-8,3.2,23,17,41,4,84,2,260,23,37,10.4,0.695,0.34,0.303,0.047,0.004,0.305,0.696,0.44,0.364,0,0.65,0.982,0.039,15,0.43,0.377,2023
Nicolas Batum,PF,34,LAC,78,19,21.9,2.1,4.9,0.42,1.6,4.1,0.391,0.5,0.8,0.563,0.583,0.4,0.6,0.708,0.8,3,3.8,1.6,0.7,0.6,0.6,1.9,6.1,1709,120,114,11,0.594,0.126,4.1,15.4,9.8,9.4,1.5,2.3,11.1,11.5,1.7,1.9,3.6,0.101,-0.8,1.2,0.5,1,,,,60%,41%,4.8,7.4,30,5,67,8,21,5,302,5,5,21.6,0.168,0.094,0.039,0.016,0.018,0.832,0.694,0.533,0.333,0.143,0.611,0.992,0.024,8,0.391,0.435,2023
Darius Bazley,C,22,TOT,43,1,14.3,1.9,4.3,0.454,0.5,1.2,0.377,1.5,3,0.485,0.508,0.9,1.6,0.543,0.8,2.4,3.2,0.9,0.5,0.8,0.6,1,5.2,616,107,111,13.1,0.524,0.383,5.8,18.5,12.1,8.3,1.7,5.1,11.2,16.4,0.1,0.9,1,0.078,-2,1,-1,0.2,,,,16%,84%,-2.9,-4.3,12,9,24,1,38,3,96,6,26,9.9,0.71,0.448,0.175,0.071,0.016,0.29,0.598,0.281,0.385,0,0.794,0.95,0.186,30,0.358,0.474,2023
Darius Bazley,C,22,OKC,36,1,15.4,2,4.4,0.449,0.5,1.3,0.4,1.5,3.1,0.469,0.506,1,1.8,0.554,0.8,2.6,3.4,0.9,0.5,0.8,0.6,1,5.4,555,108,111,12.9,0.525,0.411,5.5,18.3,11.8,7.6,1.6,4.8,10.5,15.7,0.1,0.8,0.9,0.079,-1.8,0.8,-1,0.1,,,,15%,85%,-0.1,-1.4,10,6,17,1,35,3,80,5,24,9.8,0.715,0.468,0.158,0.07,0.019,0.285,0.554,0.28,0.455,0,0.792,0.944,0.171,23,0.378,0.471,2023
Darius Bazley,C,22,PHO,7,0,8.7,1.7,3.6,0.48,0.3,1.1,0.25,1.4,2.4,0.588,0.52,0.3,0.7,0.4,0.7,1.6,2.3,0.9,0.4,0.7,0.7,1.3,4,61,101,106,15.5,0.515,0.2,8.9,20.4,14.5,14.5,2.4,7.3,15.5,22.5,0,0.1,0.1,0.066,-3.7,3.3,-0.4,0,,,,28%,72%,-28.1,-30.4,2,3,7,0,3,0,16,1,2,10.7,0.68,0.32,0.28,0.08,0,0.32,1,0.286,0,,0.8,1,0.28,7,0.25,0.5,2023
Bradley Beal,SG,29,WAS,50,50,33.5,8.9,17.6,0.506,1.6,4.4,0.365,7.3,13.2,0.552,0.551,3.8,4.6,0.842,0.8,3.1,3.9,5.4,0.9,0.7,2.9,2.1,23.2,1673,114,117,19.7,0.593,0.26,2.8,9.9,6.5,26.6,1.3,1.7,12.9,29.2,2.2,1.2,3.4,0.099,2.9,-1.2,1.8,1.6,10%,82%,8%,,,0.8,3.6,79,45,57,12,104,7,651,26,33,12.9,0.751,0.197,0.256,0.164,0.133,0.249,0.786,0.462,0.472,0.479,0.401,0.713,0.016,14,0.201,0.364,2023
Malik Beasley,SG,26,TOT,81,27,25.8,4.6,11.6,0.395,2.9,8.1,0.357,1.7,3.4,0.484,0.52,0.6,0.8,0.769,0.4,3.1,3.5,1.5,0.8,0.1,1.1,1.3,12.7,2093,105,117,10.9,0.531,0.069,1.8,12.5,7.3,8.4,1.5,0.4,8.5,21.1,-0.2,1.6,1.4,0.032,-0.9,-1,-2,0,29%,63%,9%,,,-2.8,-3.2,48,29,56,6,26,6,302,10,26,21,0.298,0.036,0.131,0.073,0.058,0.702,0.706,0.528,0.353,0.407,0.511,0.855,0.006,4,0.167,0.373,2023
