Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TMP,ORtg,DRtg,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,ShootFC,OffFC,ShootFD,OffFD,PGA,And1,Blkd,Dist.,%2PFGA,0-3%FGA,3-10%FGA,10-16%FGA,16-3P%FGA,%3PFGA,0-3FG%,3-10FG%,10-16FG%,16-3PFG%,2P%A,3P%A,Dunk%FGA,Dunks,C3%3PA,C33P%,Season 
Jalen McDaniels,SF,25,CHO,56,21,26.7,3.9,8.8,0.447,1.2,3.6,0.322,2.8,5.2,0.534,0.513,1.6,1.9,0.846,0.8,4,4.8,2,1.2,0.5,1.4,2.8,10.6,1494,106,114,11.6,0.551,0.211,3.1,16.5,9.6,10.5,2.1,1.7,12.9,17.5,0.1,1.7,1.8,0.057,-2.7,0.7,-2,0,,,80%,20%,,-5.1,1.1,31,27,80,12,55,13,270,17,34,13.1,0.591,0.298,0.206,0.071,0.016,0.409,0.673,0.392,0.4,0.375,0.526,0.969,0.073,29,0.376,0.329,2023
Jalen McDaniels,SF,25,PHI,24,3,17.5,2.5,5.1,0.488,0.5,1.3,0.4,2,3.9,0.516,0.537,1.2,1.4,0.824,0.8,2.4,3.2,0.8,0.7,0.2,0.5,2.1,6.7,419,117,113,12.5,0.58,0.276,5.5,15.8,10.7,6.5,2,1.1,8.6,16.1,0.4,0.5,1,0.109,-2.5,-0.1,-2.6,-0.1,,1%,65%,35%,,5.4,0.7,5,3,21,3,19,2,42,7,5,9.5,0.756,0.39,0.244,0.106,0.016,0.244,0.563,0.5,0.385,0.5,0.75,1,0.089,8,0.5,0.333,2023
Doug McDermott,SF,31,SAS,64,0,20.5,3.7,8.2,0.457,1.9,4.7,0.413,1.8,3.5,0.516,0.575,0.8,1.1,0.757,0.4,1.8,2.2,1.4,0.2,0.1,0.9,1.8,10.2,1314,113,124,11.2,0.59,0.134,1.9,9.9,5.8,9.8,0.5,0.4,9.5,19.2,1,0,1,0.035,-0.7,-2.5,-3.2,-0.4,,8%,52%,40%,1%,-10.6,-0.8,29,10,71,9,28,4,215,7,24,17.3,0.43,0.176,0.163,0.054,0.038,0.57,0.707,0.412,0.393,0.25,0.845,0.984,0.027,14,0.198,0.407,2023
JaVale McGee,C,35,DAL,42,7,8.5,1.9,3,0.64,0,0.1,0.4,1.9,2.9,0.65,0.648,0.6,1,0.585,0.7,1.8,2.5,0.3,0.1,0.6,0.9,1.3,4.4,355,108,112,17.2,0.65,0.328,9.7,25.5,17.5,5.2,0.6,6.5,20.1,22.8,0.1,0.5,0.6,0.076,-3.6,-0.1,-3.7,-0.1,,,,,100%,-7.4,-8.5,10,6,30,14,20,2,25,5,8,4,0.96,0.56,0.368,0.032,0,0.04,0.814,0.413,0.5,,0.808,1,0.296,34,0,,2023
Bryce McGowens,SG,20,CHO,46,7,17.1,1.7,4.4,0.396,0.6,1.7,0.325,1.2,2.7,0.443,0.46,1.3,1.7,0.75,0.4,1.6,2,1.2,0.3,0.1,0.9,1,5.3,787,100,119,7.2,0.519,0.396,2.7,10.1,6.3,9.1,0.9,0.7,15.3,15,-0.4,0.4,0.1,0.005,-4.6,-1.4,-6,-0.8,3%,63%,35%,,,-8.4,-3.3,19,12,23,7,40,11,122,10,19,13,0.604,0.327,0.193,0.059,0.025,0.396,0.576,0.333,0.25,0,0.648,0.923,0.059,9,0.35,0.357,2023
Rodney McGruder,SG,31,DET,32,12,16.4,1.9,4.8,0.408,1.3,3,0.423,0.7,1.7,0.382,0.543,0.6,0.7,0.818,0.6,1.7,2.3,0.9,0.5,0,0.3,1.2,5.7,524,119,121,10.7,0.566,0.145,4.1,11.8,7.8,7.6,1.5,0.2,6.4,14,0.5,0.2,0.7,0.068,-0.8,-0.7,-1.5,0.1,,56%,40%,4%,,-5,4.1,8,2,23,1,9,10,65,1,9,18.1,0.362,0.125,0.158,0.072,0.007,0.638,0.737,0.167,0.273,0,0.667,0.951,0.007,1,0.443,0.372,2023
Jordan McLaughlin,PG,26,MIN,43,0,15.8,1.4,3.4,0.421,0.6,1.8,0.308,0.9,1.6,0.552,0.503,0.3,0.4,0.833,0.3,1.1,1.4,3.4,0.7,0.1,0.8,0.7,3.7,678,118,115,11.8,0.526,0.124,2.5,7.6,5.1,27.4,2.2,0.5,17.7,11.7,0.7,0.6,1.3,0.094,-1.3,0.6,-0.7,0.2,100%,,,,,6.9,8.6,28,3,22,0,7,6,342,1,8,16.7,0.462,0.166,0.241,0.034,0.021,0.538,0.708,0.457,0.4,0.667,0.73,0.833,0,0,0.295,0.391,2023
De'Anthony Melton,SG,24,PHI,77,58,27.9,3.6,8.5,0.425,2,5.2,0.39,1.6,3.2,0.484,0.546,0.9,1.1,0.793,0.9,3.2,4.1,2.6,1.6,0.5,1.3,2.5,10.1,2150,111,111,12.7,0.566,0.134,3.9,13.1,8.6,12.9,2.9,1.8,12.9,16.4,1.1,3.1,4.2,0.095,-0.7,1.6,0.9,1.6,22%,60%,18%,,,2.9,-4,58,26,95,9,30,8,492,5,25,18,0.381,0.186,0.131,0.037,0.028,0.619,0.628,0.329,0.292,0.5,0.483,0.879,0.011,6,0.246,0.374,2023
Sam Merrill,SG,26,CLE,5,0,11.8,1.8,4.4,0.409,1,3.6,0.278,0.8,0.8,1,0.523,0.4,0.4,1,0,1.8,1.8,1,0.8,0,0,0.6,5,59,121,107,15.5,0.546,0.091,0,18,9,12,3.4,0,0,17.3,0.1,0.1,0.2,0.16,-1.2,2.5,1.2,0,5%,95%,,,,-3.4,-9.2,0,0,1,0,0,0,13,0,0,22.3,0.182,0.091,0.045,0,0.045,0.818,1,1,,1,1,1,0,0,0.056,0,2023
Chimezie Metu,PF,25,SAC,66,0,10.4,2,3.3,0.589,0.1,0.6,0.237,1.8,2.7,0.663,0.61,0.8,1.1,0.74,0.7,2.3,3,0.6,0.3,0.3,0.5,1.2,4.9,689,124,113,17.3,0.639,0.333,7.8,24.9,16.4,8.1,1.5,2.7,11.3,17.6,1.2,0.8,2.1,0.143,-0.3,0.2,-0.1,0.3,,,1%,68%,31%,7.1,5.9,11,13,49,4,35,2,101,8,11,7.5,0.826,0.479,0.279,0.055,0.014,0.174,0.81,0.492,0.25,0.667,0.783,1,0.329,64,0.079,0,2023
