,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional,Rk.1,Player.1,Pos.1,Age.1,Tm.1,G.1,GS.1,MP.1,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,2P.1,2PA.1,2P%.1,FT.1,FTA.1,FT%.1,ORB.1,DRB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,PTS.1,Player-additional.1,ORtg,DRtg,Player-additional.2,Rk.2,Player.2,Pos.2,Age.2,Tm.2,G.2,MP.2,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 83,OWS,DWS,WS,WS/48,Unnamed: 88,OBPM,DBPM,BPM,VORP,Player-additional.3,Rk.3,Player.3,Pos.3,Age.3,Tm.3,G.3,MP.3,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot.1,Off..1,PGA,And1,Blkd,-9999,Rk.4,Player.4,Pos.4,Age.4,Tm.4,G.4,MP.4,FG%.2,Dist.,Unnamed: 127,2P.2,0-3,10-Mar,16-Oct,16-3P,3P.2,Unnamed: 134,2P.3,0-3.1,10-Mar.1,16-Oct.1,16-3P.1,3P.3,Unnamed: 141,2P.4,3P.4,Unnamed: 144,%FGA,#,Unnamed: 147,%3PA,3P%.2,Unnamed: 150,Att.,#.1,-9999.1
18,15,Carmelo Anthony,SF,23,DEN,77,77,36.4,9.5,19.2,0.492,0.8,2.1,0.354,8.7,17.1,0.509,0.511,6.0,7.7,0.786,2.3,5.1,7.4,3.4,1.3,0.5,3.3,3.3,25.7,anthoca01,15,Carmelo Anthony,SF,23,DEN,77,77,2806,9.3,19.0,0.492,0.7,2.1,0.354,8.6,16.9,0.509,6.0,7.6,0.786,2.3,5.0,7.3,3.3,1.3,0.5,3.2,3.2,25.4,anthoca01,109.0,107.0,anthoca01,15,Carmelo Anthony,SF,23,DEN,77,2806,21.1,0.568,0.111,0.398,7.0,14.9,11.0,16.1,1.7,1.0,12.7,30.2,,5.2,3.0,8.2,0.14,,2.5,-0.9,1.6,2.5,anthoca01,15,Carmelo Anthony,SF,23,DEN,77,2806,,16%,82%,2%,,2.6,-3.3,68,63,77,55,224,12,567,43,94,anthoca01,15,Carmelo Anthony,SF,23,DEN,77,2806,0.492,10.9,,0.889,0.375,0.084,0.146,0.285,0.111,,0.509,0.65,0.323,0.366,0.45,0.354,,0.554,0.966,,0.088,123,,0.098,0.375,,8,0,anthoca01
19,16,Joel Anthony,PF,25,MIA,24,1,20.8,1.2,2.5,0.467,0.0,0.0,,1.2,2.5,0.467,0.467,1.2,2.0,0.592,1.6,2.3,3.9,0.1,0.4,1.3,0.7,2.3,3.5,anthojo01,16,Joel Anthony,PF,25,MIA,24,1,498,2.0,4.3,0.467,0.0,0.0,,2.0,4.3,0.467,2.1,3.5,0.592,2.7,4.0,6.7,0.2,0.7,2.2,1.2,4.0,6.1,anthojo01,104.0,109.0,anthojo01,16,Joel Anthony,PF,25,MIA,24,498,8.8,0.521,0.0,0.817,9.0,13.4,11.2,0.9,1.0,5.0,17.2,9.4,,0.1,0.4,0.6,0.054,,-5.3,-0.3,-5.5,-0.4,anthojo01,16,Joel Anthony,PF,25,MIA,24,498,,,,43%,57%,-13.6,-4.7,2,8,37,4,20,4,9,4,9,anthojo01,16,Joel Anthony,PF,25,MIA,24,498,0.467,4.5,,1.0,0.533,0.3,0.117,0.05,0.0,,0.467,0.656,0.389,0.0,0.0,,,0.571,,,0.15,6,,,,,0,0,anthojo01
20,17,Gilbert Arenas,PG,26,WAS,13,8,32.7,6.0,15.1,0.398,1.7,6.0,0.282,4.3,9.1,0.475,0.454,5.7,7.4,0.771,0.5,3.5,3.9,5.1,1.8,0.1,3.8,2.3,19.4,arenagi01,17,Gilbert Arenas,PG,26,WAS,13,8,425,6.6,16.6,0.398,1.9,6.6,0.282,4.7,10.0,0.475,6.3,8.1,0.771,0.5,3.8,4.3,5.6,1.9,0.1,4.2,2.5,21.3,arenagi01,102.0,109.0,arenagi01,17,Gilbert Arenas,PG,26,WAS,13,425,18.2,0.529,0.398,0.49,1.6,12.8,7.0,27.4,2.9,0.2,17.1,31.1,,0.2,0.4,0.6,0.07,,2.3,0.1,2.4,0.5,arenagi01,17,Gilbert Arenas,PG,26,WAS,13,425,100%,,,,,0.3,0.9,26,15,9,4,40,0,147,11,6,arenagi01,17,Gilbert Arenas,PG,26,WAS,13,425,0.398,17.3,,0.602,0.204,0.036,0.066,0.296,0.398,,0.475,0.575,0.429,0.462,0.414,0.282,,0.321,0.5,,0.0,0,,0.051,0.25,,0,0,arenagi01
21,18,Trevor Ariza,SF,22,TOT,35,3,15.6,2.0,3.9,0.507,0.1,0.5,0.278,1.8,3.4,0.542,0.526,1.4,2.1,0.653,0.9,2.2,3.1,1.3,0.9,0.3,0.7,1.3,5.5,arizatr01,18,Trevor Ariza,SF,22,TOT,35,3,546,4.5,9.0,0.507,0.3,1.2,0.278,4.2,7.8,0.542,3.2,4.9,0.653,2.0,5.1,7.1,2.9,2.0,0.7,1.5,3.0,12.7,arizatr01,116.0,103.0,arizatr01,18,Trevor Ariza,SF,22,TOT,35,546,16.1,0.568,0.132,0.551,6.4,15.4,11.1,11.8,2.9,1.5,12.0,15.6,,0.9,0.9,1.8,0.157,,0.4,2.3,2.8,0.7,arizatr01,18,Trevor Ariza,SF,22,TOT,35,546,,3%,94%,3%,,2.7,-5.2,13,2,22,3,31,4,103,5,6,arizatr01,18,Trevor Ariza,SF,22,TOT,35,546,0.507,7.9,,0.868,0.544,0.059,0.103,0.162,0.132,,0.542,0.703,0.375,0.214,0.273,0.278,,0.734,1.0,,0.154,21,,0.778,0.357,,0,0,arizatr01
24,19,Darrell Armstrong,PG,39,NJN,50,2,11.0,0.8,2.2,0.364,0.5,1.4,0.333,0.3,0.8,0.415,0.468,0.4,0.6,0.667,0.3,1.0,1.3,1.5,0.6,0.0,0.8,1.1,2.5,armstda01,19,Darrell Armstrong,PG,39,NJN,50,2,549,2.6,7.2,0.364,1.5,4.5,0.333,1.1,2.7,0.415,1.3,2.0,0.667,1.1,3.3,4.4,4.8,1.8,0.1,2.7,3.5,8.1,armstda01,95.0,109.0,armstda01,19,Darrell Armstrong,PG,39,NJN,50,549,8.7,0.499,0.627,0.273,3.6,10.6,7.1,20.5,2.7,0.3,25.0,13.7,,-0.2,0.5,0.3,0.024,,-3.5,0.8,-2.7,-0.1,armstda01,19,Darrell Armstrong,PG,39,NJN,50,549,100%,,,,,-9.2,-4.0,28,7,8,3,5,11,163,1,6,armstda01,19,Darrell Armstrong,PG,39,NJN,50,549,0.364,23.1,,0.373,0.1,0.018,0.055,0.2,0.627,,0.415,0.364,0.5,0.667,0.364,0.333,,0.412,0.957,,0.0,0,,0.246,0.529,,6,0,armstda01
25,20,Hilton Armstrong,C,23,NOH,65,3,11.3,1.0,2.3,0.453,0.0,0.0,,1.0,2.3,0.453,0.453,0.7,1.1,0.629,1.0,1.5,2.5,0.4,0.2,0.5,0.9,2.0,2.7,armsthi01,20,Hilton Armstrong,C,23,NOH,65,3,732,3.3,7.3,0.453,0.0,0.0,,3.3,7.3,0.453,2.2,3.4,0.629,3.2,4.8,8.0,1.1,0.7,1.7,2.9,6.4,8.8,armsthi01,92.0,105.0,armsthi01,20,Hilton Armstrong,C,23,NOH,65,732,7.7,0.498,0.0,0.473,10.1,16.0,13.0,4.4,1.1,3.6,24.8,15.1,,-0.5,1.0,0.5,0.032,,-6.3,0.5,-5.8,-0.7,armsthi01,20,Hilton Armstrong,C,23,NOH,65,732,,,,5%,95%,-1.8,-9.6,7,21,65,18,34,5,50,5,23,armsthi01,20,Hilton Armstrong,C,23,NOH,65,732,0.453,4.1,,1.0,0.635,0.169,0.142,0.054,0.0,,0.453,0.564,0.28,0.238,0.25,,,0.463,,,0.182,22,,,,,0,0,armsthi01
26,21,Carlos Arroyo,PG,28,ORL,62,20,20.5,2.5,5.6,0.451,0.5,1.4,0.345,2.1,4.3,0.485,0.493,1.4,1.6,0.853,0.2,1.7,1.8,3.5,0.4,0.0,1.2,1.4,6.9,arroyca01,21,Carlos Arroyo,PG,28,ORL,62,20,1269,4.5,9.9,0.451,0.8,2.4,0.345,3.6,7.5,0.485,2.5,2.9,0.853,0.3,2.9,3.2,6.2,0.7,0.1,2.2,2.4,12.2,arroyca01,111.0,109.0,arroyca01,21,Carlos Arroyo,PG,28,ORL,62,1269,12.8,0.547,0.241,0.293,0.9,9.0,5.1,26.6,1.1,0.1,16.4,17.0,,1.7,1.1,2.8,0.107,,-0.5,-0.4,-0.9,0.3,arroyca01,21,Carlos Arroyo,PG,28,ORL,62,1269,100%,,,,,5.1,-1.2,41,15,38,8,41,14,541,11,14,arroyca01,21,Carlos Arroyo,PG,28,ORL,62,1269,0.451,15.0,,0.759,0.233,0.046,0.118,0.362,0.241,,0.485,0.519,0.563,0.439,0.468,0.345,,0.164,0.586,,0.0,0,,0.286,0.333,,0,0,arroyca01
27,22,Chucky Atkins,SG,33,DEN,24,0,14.7,1.8,5.1,0.344,1.0,3.3,0.316,0.7,1.8,0.395,0.447,0.2,0.4,0.444,0.1,1.2,1.3,2.0,0.4,0.0,0.4,1.1,4.7,atkinch01,22,Chucky Atkins,SG,33,DEN,24,0,352,4.3,12.5,0.344,2.6,8.1,0.316,1.7,4.4,0.395,0.4,0.9,0.444,0.3,2.9,3.2,4.8,0.9,0.1,1.0,2.8,11.6,atkinch01,101.0,111.0,atkinch01,22,Chucky Atkins,SG,33,DEN,24,352,8.9,0.449,0.648,0.074,0.9,8.4,4.8,18.7,1.2,0.2,7.4,16.4,,0.1,0.2,0.3,0.04,,-1.8,-1.1,-3.0,-0.1,atkinch01,22,Chucky Atkins,SG,33,DEN,24,352,89%,11%,,,,-3.6,-7.8,9,0,10,1,4,1,104,1,3,atkinch01,22,Chucky Atkins,SG,33,DEN,24,352,0.344,20.5,,0.352,0.148,0.008,0.041,0.156,0.648,,0.395,0.5,0.0,0.4,0.316,0.316,,0.353,0.92,,0.0,0,,0.152,0.583,,3,0,atkinch01
28,23,James Augustine,PF,23,ORL,25,0,6.0,0.7,1.4,0.529,0.0,0.0,,0.7,1.4,0.529,0.529,0.2,0.3,0.5,0.6,0.6,1.2,0.1,0.2,0.1,0.2,0.7,1.6,augusja01,23,James Augustine,PF,23,ORL,25,0,149,4.3,8.2,0.529,0.0,0.0,,4.3,8.2,0.529,1.0,1.9,0.5,3.9,3.4,7.2,0.5,1.2,0.5,1.4,4.3,9.7,augusja01,109.0,106.0,augusja01,23,James Augustine,PF,23,ORL,25,149,10.8,0.533,0.0,0.235,12.9,10.4,11.6,2.1,1.7,1.0,13.8,13.4,,0.1,0.2,0.3,0.098,,-2.5,-0.3,-2.8,0.0,augusja01,23,James Augustine,PF,23,ORL,25,149,,,,80%,20%,1.0,-5.1,3,1,10,0,4,0,5,2,3,augusja01,23,James Augustine,PF,23,ORL,25,149,0.529,4.8,,1.0,0.676,0.088,0.118,0.118,0.0,,0.529,0.609,0.333,0.75,0.0,,,0.667,,,0.059,2,,,,,0,0,augusja01
29,24,Kelenna Azubuike,SG,24,GSW,81,17,21.4,3.2,7.2,0.445,0.9,2.4,0.364,2.3,4.8,0.485,0.505,1.2,1.7,0.717,1.3,2.7,4.0,0.9,0.6,0.4,0.7,2.0,8.5,azubuke01,24,Kelenna Azubuike,SG,24,GSW,81,17,1732,5.4,12.2,0.445,1.5,4.1,0.364,3.9,8.1,0.485,2.1,2.9,0.717,2.2,4.5,6.7,1.6,0.9,0.7,1.2,3.3,14.4,azubuke01,112.0,111.0,azubuke01,24,Kelenna Azubuike,SG,24,GSW,81,1732,13.5,0.534,0.332,0.235,6.4,14.0,10.0,6.1,1.3,1.4,8.2,17.2,,2.3,1.1,3.4,0.094,,0.0,-0.9,-0.8,0.5,azubuke01,24,Kelenna Azubuike,SG,24,GSW,81,1732,,48%,51%,1%,,-0.1,-3.6,19,19,81,10,58,9,182,14,44,azubuke01,24,Kelenna Azubuike,SG,24,GSW,81,1732,0.445,12.3,,0.668,0.346,0.147,0.07,0.106,0.332,,0.485,0.562,0.43,0.366,0.387,0.364,,0.547,0.972,,0.036,20,,0.354,0.362,,0,0,azubuke01
30,25,Renaldo Balkman,SF,23,NYK,65,0,14.6,1.4,2.9,0.489,0.0,0.2,0.083,1.4,2.7,0.517,0.492,0.6,1.5,0.432,1.3,2.0,3.3,0.6,0.7,0.5,0.6,2.0,3.4,balkmre01,25,Renaldo Balkman,SF,23,NYK,65,0,952,3.4,7.0,0.489,0.0,0.5,0.083,3.4,6.6,0.517,1.6,3.6,0.432,3.1,5.0,8.2,1.5,1.7,1.1,1.4,5.0,8.5,balkmre01,104.0,108.0,balkmre01,25,Renaldo Balkman,SF,23,NYK,65,952,11.5,0.492,0.065,0.511,9.6,16.4,12.9,6.5,2.4,2.4,14.0,12.5,,0.4,0.9,1.3,0.065,,-2.9,1.0,-1.8,0.0,balkmre01,25,Renaldo Balkman,SF,23,NYK,65,952,,10%,64%,26%,,-3.3,5.3,11,7,77,10,43,9,95,5,19,balkmre01,25,Renaldo Balkman,SF,23,NYK,65,952,0.489,3.8,,0.935,0.774,0.059,0.027,0.075,0.065,,0.517,0.597,0.0,0.2,0.214,0.083,,0.589,1.0,,0.183,27,,0.417,0.0,,0,0,balkmre01
31,26,Marcus Banks,PG,26,TOT,36,3,15.8,2.4,5.3,0.45,1.1,2.8,0.392,1.3,2.5,0.517,0.555,0.8,1.0,0.771,0.1,1.1,1.3,1.7,0.4,0.4,1.0,1.8,6.6,banksma01,26,Marcus Banks,PG,26,TOT,36,3,569,5.4,12.1,0.45,2.5,6.5,0.392,2.9,5.6,0.517,1.7,2.2,0.771,0.3,2.6,2.8,3.9,0.9,0.8,2.3,4.1,15.1,banksma01,106.0,111.0,banksma01,26,Marcus Banks,PG,26,TOT,36,569,12.6,0.579,0.534,0.183,0.9,8.3,4.6,17.7,1.3,1.6,15.2,19.7,,0.5,0.3,0.8,0.068,,-0.8,-0.7,-1.5,0.1,banksma01,26,Marcus Banks,PG,26,TOT,36,569,89%,11%,1%,,,-7.6,-7.0,19,6,24,1,10,7,141,4,8,banksma01,26,Marcus Banks,PG,26,TOT,36,569,0.45,17.2,,0.466,0.262,0.01,0.037,0.157,0.534,,0.517,0.66,0.5,0.286,0.333,0.392,,0.261,0.9,,0.01,2,,0.167,0.588,,1,0,banksma01
