,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional,Rk.1,Player.1,Pos.1,Age.1,Tm.1,G.1,GS.1,MP.1,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,2P.1,2PA.1,2P%.1,FT.1,FTA.1,FT%.1,ORB.1,DRB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,PTS.1,Player-additional.1,ORtg,DRtg,Player-additional.2,Rk.2,Player.2,Pos.2,Age.2,Tm.2,G.2,MP.2,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 83,OWS,DWS,WS,WS/48,Unnamed: 88,OBPM,DBPM,BPM,VORP,Player-additional.3,Rk.3,Player.3,Pos.3,Age.3,Tm.3,G.3,MP.3,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot.1,Off..1,PGA,And1,Blkd,-9999,Rk.4,Player.4,Pos.4,Age.4,Tm.4,G.4,MP.4,FG%.2,Dist.,Unnamed: 127,2P.2,0-3,10-Mar,16-Oct,16-3P,3P.2,Unnamed: 134,2P.3,0-3.1,10-Mar.1,16-Oct.1,16-3P.1,3P.3,Unnamed: 141,2P.4,3P.4,Unnamed: 144,%FGA,#,Unnamed: 147,%3PA,3P%.2,Unnamed: 150,Att.,#.1,-9999.1
1,2,Arron Afflalo,SG,22,DET,75,9,12.9,1.3,3.2,0.411,0.1,0.6,0.208,1.2,2.6,0.461,0.432,0.9,1.2,0.782,0.5,1.3,1.8,0.7,0.4,0.1,0.5,1.1,3.7,afflaar01,2,Arron Afflalo,SG,22,DET,75,9,970,3.7,8.9,0.411,0.4,1.8,0.208,3.3,7.2,0.461,2.5,3.2,0.782,1.3,3.7,5.1,1.9,1.2,0.3,1.3,3.1,10.2,afflaar01,104.0,104.0,afflaar01,2,Arron Afflalo,SG,22,DET,75,970,10.2,0.494,0.199,0.361,4.4,12.5,8.4,8.1,1.8,0.7,10.9,15.2,,0.5,1.4,1.9,0.092,,-2.6,1.0,-1.5,0.1,afflaar01,2,Arron Afflalo,SG,22,DET,75,970,,95%,5%,,,8.7,0.2,10,8,32,6,33,2,113,7,31,afflaar01,2,Arron Afflalo,SG,22,DET,75,970,0.411,12.7,,0.801,0.332,0.054,0.129,0.286,0.199,,0.461,0.525,0.308,0.419,0.435,0.208,,0.652,0.8,,0.008,2,,0.458,0.091,,1,0,afflaar01
2,3,Maurice Ager,SG,23,TOT,26,3,6.3,0.8,2.5,0.323,0.1,0.7,0.158,0.7,1.8,0.391,0.346,0.2,0.5,0.5,0.2,0.3,0.5,0.3,0.0,0.0,0.2,0.7,2.0,agerma01,3,Maurice Ager,SG,23,TOT,26,3,165,4.6,14.2,0.323,0.7,4.1,0.158,3.9,10.0,0.391,1.3,2.6,0.5,0.9,2.0,2.8,1.7,0.0,0.2,1.3,3.7,11.1,agerma01,77.0,114.0,agerma01,3,Maurice Ager,SG,23,TOT,26,165,1.8,0.363,0.292,0.185,2.8,6.3,4.6,8.0,0.0,0.4,7.9,21.3,,-0.4,0.0,-0.4,-0.114,,-6.8,-4.2,-11.1,-0.4,agerma01,3,Maurice Ager,SG,23,TOT,26,165,,55%,35%,10%,,-11.8,-11.4,2,1,9,3,6,3,17,2,7,agerma01,3,Maurice Ager,SG,23,TOT,26,165,0.323,13.7,,0.708,0.338,0.062,0.046,0.262,0.292,,0.391,0.455,0.25,0.0,0.412,0.158,,0.722,1.0,,0.077,5,,0.211,0.25,,0,0,agerma01
5,4,Blake Ahearn,PG,23,MIA,12,0,14.8,1.3,4.8,0.263,0.8,2.8,0.294,0.4,1.9,0.217,0.351,2.5,2.6,0.968,0.1,1.5,1.6,1.6,0.5,0.0,1.3,1.7,5.8,ahearbl01,4,Blake Ahearn,PG,23,MIA,12,0,177,3.1,11.6,0.263,2.0,6.9,0.294,1.0,4.7,0.217,6.1,6.3,0.968,0.2,3.7,3.9,3.9,1.2,0.0,3.3,4.1,14.2,ahearbl01,94.0,111.0,ahearbl01,4,Blake Ahearn,PG,23,MIA,12,177,9.0,0.495,0.596,0.544,0.7,12.4,6.4,17.2,1.8,0.0,18.5,23.2,,-0.1,0.1,0.0,-0.006,,-3.5,-1.3,-4.8,-0.1,ahearbl01,4,Blake Ahearn,PG,23,MIA,12,177,57%,43%,,,,-23.9,-15.1,11,5,9,0,8,2,43,2,3,ahearbl01,4,Blake Ahearn,PG,23,MIA,12,177,0.263,18.6,,0.404,0.14,0.07,0.088,0.105,0.596,,0.217,0.25,0.5,0.2,0.0,0.294,,0.2,1.0,,0.0,0,,0.235,0.375,,0,0,ahearbl01
6,5,LaMarcus Aldridge,PF,22,POR,76,76,34.9,7.4,15.3,0.484,0.0,0.1,0.143,7.4,15.2,0.486,0.484,3.0,3.9,0.762,2.9,4.7,7.6,1.6,0.7,1.2,1.7,3.2,17.8,aldrila01,5,LaMarcus Aldridge,PF,22,POR,76,76,2649,7.6,15.8,0.484,0.0,0.1,0.143,7.6,15.7,0.486,3.1,4.0,0.762,3.0,4.9,7.9,1.7,0.7,1.3,1.7,3.3,18.3,aldrila01,108.0,107.0,aldrila01,5,LaMarcus Aldridge,PF,22,POR,76,2649,18.5,0.523,0.006,0.257,9.8,15.8,12.8,8.8,1.1,2.8,8.9,25.3,,3.5,2.8,6.2,0.113,,0.6,-0.4,0.2,1.5,aldrila01,5,LaMarcus Aldridge,PF,22,POR,76,2649,,,,73%,27%,-0.3,2.9,22,46,123,37,144,13,294,29,46,aldrila01,5,LaMarcus Aldridge,PF,22,POR,76,2649,0.484,10.9,,0.994,0.197,0.272,0.218,0.308,0.006,,0.486,0.693,0.463,0.443,0.403,0.143,,0.645,1.0,,0.079,86,,0.143,0.0,,2,0,aldrila01
7,6,Malik Allen,PF,29,TOT,73,16,15.0,2.2,4.5,0.48,0.0,0.0,0.5,2.1,4.5,0.48,0.482,0.3,0.3,0.92,0.9,1.8,2.7,0.6,0.3,0.4,0.6,2.0,4.6,allenma01,6,Malik Allen,PF,29,TOT,73,16,1096,5.2,10.7,0.48,0.0,0.1,0.5,5.1,10.7,0.48,0.8,0.8,0.92,2.2,4.3,6.4,1.4,0.6,1.0,1.5,4.9,11.1,allenma01,100.0,109.0,allenma01,6,Malik Allen,PF,29,TOT,73,1096,9.8,0.5,0.006,0.076,7.0,13.6,10.4,6.8,0.9,2.2,11.7,16.1,,0.1,0.9,1.0,0.045,,-3.4,0.0,-3.5,-0.4,allenma01,6,Malik Allen,PF,29,TOT,73,1096,,,,79%,20%,-1.6,0.8,12,16,90,7,10,10,105,3,11,allenma01,6,Malik Allen,PF,29,TOT,73,1096,0.48,14.8,,0.994,0.128,0.07,0.196,0.599,0.006,,0.48,0.524,0.174,0.469,0.51,0.5,,0.75,1.0,,0.009,3,,0.0,,,1,0,allenma01
10,7,Ray Allen*,SG,32,BOS,73,73,35.9,6.0,13.5,0.445,2.5,6.2,0.398,3.5,7.3,0.485,0.537,2.9,3.2,0.907,1.0,2.6,3.7,3.1,0.9,0.2,1.7,2.0,17.4,allenra02,7,Ray Allen*,SG,32,BOS,73,73,2624,6.0,13.5,0.445,2.5,6.2,0.398,3.6,7.3,0.485,2.9,3.3,0.907,1.0,2.6,3.7,3.1,0.9,0.2,1.7,2.0,17.5,allenra02,116.0,103.0,allenra02,7,Ray Allen*,SG,32,BOS,73,2624,16.4,0.584,0.458,0.24,3.6,8.3,6.1,14.6,1.3,0.5,10.4,21.6,,5.6,4.1,9.7,0.177,,2.9,0.2,3.0,3.3,allenra02,7,Ray Allen*,SG,32,BOS,73,2624,,85%,14%,,,12.6,3.3,59,42,80,13,71,13,501,11,45,allenra02,7,Ray Allen*,SG,32,BOS,73,2624,0.445,16.7,,0.542,0.2,0.08,0.092,0.169,0.458,,0.485,0.604,0.329,0.33,0.503,0.398,,0.537,0.806,,0.009,9,,0.263,0.403,,3,0,allenra02
11,8,Tony Allen,SG,26,BOS,75,11,18.3,2.3,5.2,0.434,0.2,0.8,0.316,2.0,4.4,0.455,0.458,1.8,2.4,0.762,0.5,1.8,2.2,1.5,0.8,0.3,1.5,2.2,6.6,allento01,8,Tony Allen,SG,26,BOS,75,11,1373,4.4,10.2,0.434,0.5,1.5,0.316,4.0,8.7,0.455,3.6,4.7,0.762,0.9,3.5,4.4,3.0,1.6,0.6,2.9,4.4,13.0,allento01,98.0,99.0,allento01,8,Tony Allen,SG,26,BOS,75,1373,10.7,0.527,0.147,0.465,3.1,11.0,7.3,13.1,2.4,1.3,18.9,19.6,,-0.1,2.8,2.7,0.093,,-3.4,1.7,-1.7,0.1,allento01,8,Tony Allen,SG,26,BOS,75,1373,5%,89%,6%,,,9.8,-2.7,34,40,74,16,79,8,266,13,32,allento01,8,Tony Allen,SG,26,BOS,75,1373,0.434,8.6,,0.853,0.491,0.149,0.067,0.147,0.147,,0.455,0.524,0.379,0.346,0.351,0.316,,0.49,1.0,,0.049,17,,0.456,0.385,,1,0,allento01
14,11,Rafer Alston,PG,31,HOU,74,74,34.1,4.9,12.5,0.394,1.9,5.5,0.351,3.0,7.0,0.427,0.471,1.3,1.9,0.715,0.4,3.1,3.5,5.3,1.3,0.2,2.2,1.9,13.1,alstora01,11,Rafer Alston,PG,31,HOU,74,74,2526,5.2,13.2,0.394,2.0,5.8,0.351,3.1,7.4,0.427,1.4,2.0,0.715,0.4,3.3,3.7,5.6,1.4,0.3,2.3,2.0,13.8,alstora01,102.0,103.0,alstora01,11,Rafer Alston,PG,31,HOU,74,2526,13.2,0.492,0.44,0.148,1.3,10.2,5.8,25.2,2.1,0.5,14.0,20.7,,1.0,4.0,5.0,0.095,,-0.5,1.0,0.5,1.6,alstora01,11,Rafer Alston,PG,31,HOU,74,2526,96%,4%,,,,7.2,4.7,111,26,47,8,55,3,866,8,33,alstora01,11,Rafer Alston,PG,31,HOU,74,2526,0.394,16.0,,0.56,0.214,0.126,0.054,0.166,0.44,,0.427,0.505,0.422,0.4,0.34,0.351,,0.217,0.846,,0.0,0,,0.091,0.351,,0,0,alstora01
15,12,Lou Amundson,PF,25,PHI,16,0,4.0,0.5,1.0,0.5,0.0,0.0,,0.5,1.0,0.5,0.5,0.1,0.4,0.286,0.4,0.3,0.8,0.0,0.1,0.1,0.1,0.8,1.1,amundlo01,12,Lou Amundson,PF,25,PHI,16,0,64,4.5,9.0,0.5,0.0,0.0,,4.5,9.0,0.5,1.1,3.9,0.286,3.9,2.8,6.8,0.0,0.6,0.6,1.1,7.3,10.1,amundlo01,101.0,110.0,amundlo01,12,Lou Amundson,PF,25,PHI,16,64,7.4,0.472,0.0,0.438,12.9,9.4,11.1,0.0,0.8,1.2,9.5,14.9,,0.0,0.0,0.1,0.043,,-6.3,-2.1,-8.5,-0.1,amundlo01,12,Lou Amundson,PF,25,PHI,16,64,,,,62%,38%,-3.6,-3.8,1,1,8,0,4,1,0,1,2,amundlo01,12,Lou Amundson,PF,25,PHI,16,64,0.5,2.3,,1.0,0.75,0.188,0.063,0.0,0.0,,0.5,0.583,0.333,0.0,,,,0.75,,,0.0,0,,,,,0,0,amundlo01
17,14,Derek Anderson,SG,33,CHA,28,0,14.1,1.7,4.5,0.376,0.7,1.9,0.365,1.0,2.6,0.384,0.452,1.0,1.4,0.737,0.3,1.5,1.9,1.6,0.4,0.0,0.9,1.8,5.0,anderde01,14,Derek Anderson,SG,33,CHA,28,0,396,4.3,11.4,0.376,1.7,4.7,0.365,2.5,6.6,0.384,2.5,3.5,0.737,0.8,3.9,4.7,4.0,1.1,0.1,2.3,4.5,12.8,anderde01,99.0,111.0,anderde01,14,Derek Anderson,SG,33,CHA,28,396,10.0,0.497,0.416,0.304,2.6,12.6,7.5,17.8,1.6,0.2,15.0,19.3,,0.0,0.3,0.3,0.032,,-2.6,-0.7,-3.2,-0.1,anderde01,14,Derek Anderson,SG,33,CHA,28,396,15%,75%,10%,,,-13.8,-9.8,15,6,30,2,14,3,94,2,3,anderde01,14,Derek Anderson,SG,33,CHA,28,396,0.376,17.2,,0.584,0.176,0.032,0.104,0.272,0.416,,0.384,0.5,0.25,0.385,0.324,0.365,,0.357,0.947,,0.0,0,,0.288,0.533,,0,0,anderde01
