Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional,ORtg,DRtg,Player-additional,Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,-9999,Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,10-Mar,16-Oct,16-3P,3P,,2P,0-3,10-Mar,16-Oct,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#,-9999
1,Shareef Abdur-Rahim,PF,29,SAC,72,30,27.2,4.6,8.8,0.525,0.1,0.3,0.227,4.5,8.5,0.536,0.529,3,3.9,0.784,1.5,3.5,5,2.1,0.7,0.6,1.5,3.2,12.3,abdursh01,1,Shareef Abdur-Rahim,PF,29,SAC,72,30,1961,6.1,11.6,0.525,0.1,0.4,0.227,6,11.2,0.536,4,5.1,0.784,1.9,4.6,6.6,2.7,0.9,0.8,2,4.2,16.3,abdursh01,115,105,abdursh01,1,Shareef Abdur-Rahim,PF,29,SAC,72,1961,17.2,0.588,0.035,0.44,6.4,14.8,10.6,13.2,1.3,1.6,12.5,20.1,,4,2.2,6.2,0.152,,0.5,0.4,0.9,1.4,abdursh01,1,Shareef Abdur-Rahim,PF,29,SAC,72,1961,,,,70%,30%,4,4.4,36,39,113,18,117,8,347,28,65,abdursh01,1,Shareef Abdur-Rahim,PF,29,SAC,72,1961,0.525,7.9,,0.965,0.392,0.29,0.071,0.212,0.035,,0.536,0.657,0.464,0.4,0.455,0.227,,0.535,1,,0.111,65,,0.182,0.25,,0,0,abdursh01
2,Alex Acker,SG,23,DET,5,0,7,0.8,3.2,0.25,0.2,1,0.2,0.6,2.2,0.273,0.281,0,0,,0.2,0.8,1,0.8,0.2,0,0.8,0.8,1.8,ackeral01,2,Alex Acker,SG,23,DET,5,0,35,4.1,16.5,0.25,1,5.1,0.2,3.1,11.3,0.273,0,0,,1,4.1,5.1,4.1,1,0,4.1,4.1,9.3,ackeral01,61,105,ackeral01,2,Alex Acker,SG,23,DET,5,35,-2.4,0.281,0.313,0,3.4,13.7,8.5,17.9,1.6,0,20,27.2,,-0.2,0,-0.2,-0.23,,-11,-4.2,-15.3,-0.1,ackeral01,2,Alex Acker,SG,23,DET,5,35,63%,37%,,,,-43.4,-52,3,1,3,0,0,0,9,0,2,ackeral01,2,Alex Acker,SG,23,DET,5,35,0.25,16.1,,0.688,0.188,0,0.313,0.188,0.313,,0.273,0,,0.4,0.333,0.2,,0.333,0,,0,0,,0.2,0,,0,0,ackeral01
3,Malik Allen,PF,27,CHI,54,20,13,2.2,4.6,0.49,0,0,1,2.2,4.6,0.488,0.492,0.4,0.7,0.605,0.8,1.8,2.6,0.4,0.3,0.3,0.6,1.7,4.9,allenma01,3,Malik Allen,PF,27,CHI,54,20,701,6.2,12.7,0.49,0.1,0.1,1,6.2,12.6,0.488,1.2,2,0.605,2.3,4.9,7.2,1,0.7,0.8,1.7,4.7,13.7,allenma01,98,104,allenma01,3,Malik Allen,PF,27,CHI,54,701,11.5,0.504,0.004,0.154,7.2,15.7,11.5,4.9,1,1.8,11.4,19.2,,0,1,1,0.068,,-3,0.3,-2.7,-0.1,allenma01,3,Malik Allen,PF,27,CHI,54,701,,,,64%,36%,3.2,2.7,9,9,54,9,13,15,44,3,14,allenma01,3,Malik Allen,PF,27,CHI,54,701,0.49,11.5,,0.996,0.186,0.186,0.291,0.332,0.004,,0.488,0.435,0.522,0.472,0.512,1,,0.725,0,,0.028,6,,0,,,0,0,allenma01
4,Ray Allen*,SG,30,SEA,78,78,38.7,8.7,19.2,0.454,3.4,8.4,0.412,5.3,10.9,0.486,0.544,4.2,4.6,0.903,0.9,3.3,4.3,3.7,1.3,0.2,2.4,1.9,25.1,allenra02,4,Ray Allen*,SG,30,SEA,78,78,3022,8.1,17.9,0.454,3.2,7.8,0.412,4.9,10.1,0.486,3.9,4.3,0.903,0.8,3.1,4,3.4,1.3,0.2,2.2,1.8,23.3,allenra02,118,116,allenra02,4,Ray Allen*,SG,30,SEA,78,3022,22.2,0.59,0.435,0.239,2.8,10.6,6.6,17.2,1.8,0.4,10.2,27.4,,9.8,-0.3,9.5,0.15,,6.4,-2,4.4,4.9,allenra02,4,Ray Allen*,SG,30,SEA,78,3022,3%,94%,4%,,,-1.2,8.8,88,64,64,23,125,15,635,29,50,allenra02,4,Ray Allen*,SG,30,SEA,78,3022,0.454,17.2,,0.565,0.145,0.1,0.123,0.197,0.435,,0.486,0.628,0.4,0.451,0.447,0.412,,0.337,0.751,,0.011,16,,0.17,0.432,,4,0,allenra02
5,Tony Allen,PG,24,BOS,51,9,19.2,2.5,5.4,0.471,0.2,0.7,0.324,2.3,4.7,0.492,0.491,2,2.6,0.746,0.6,1.5,2.2,1.3,1,0.4,1.3,2.5,7.2,allento01,5,Tony Allen,PG,24,BOS,51,9,978,4.7,10.1,0.471,0.4,1.3,0.324,4.3,8.8,0.492,3.7,4.9,0.746,1.2,2.9,4.1,2.5,1.9,0.7,2.5,4.6,13.6,allento01,103,106,allento01,5,Tony Allen,PG,24,BOS,51,978,12.9,0.554,0.124,0.489,4.1,9.6,6.9,11.2,2.7,1.4,16.8,18.8,,0.6,1,1.7,0.082,,-2.3,0.9,-1.4,0.1,allento01,5,Tony Allen,PG,24,BOS,51,978,21%,74%,5%,,,-2.4,-1,26,25,57,7,66,6,149,18,27,allento01,5,Tony Allen,PG,24,BOS,51,978,0.471,7.4,,0.876,0.544,0.153,0.058,0.12,0.124,,0.492,0.617,0.31,0.25,0.273,0.324,,0.466,0.909,,0.044,12,,0.471,0.438,,0,0,allento01
6,Rafer Alston,PG,29,HOU,63,63,38.6,4.4,11.7,0.379,1.6,5,0.327,2.8,6.8,0.418,0.449,1.6,2.3,0.692,0.6,3.5,4,6.7,1.6,0.2,2.5,3.1,12.1,alstora01,6,Rafer Alston,PG,29,HOU,63,63,2431,4.1,10.9,0.379,1.5,4.6,0.327,2.6,6.3,0.418,1.5,2.1,0.692,0.5,3.2,3.8,6.3,1.5,0.2,2.3,2.9,11.3,alstora01,99,104,alstora01,6,Rafer Alston,PG,29,HOU,63,2431,12.6,0.475,0.423,0.194,1.8,10.4,6.1,30.8,2.3,0.5,16.4,18.8,,0.2,3.1,3.4,0.067,,-1,0.6,-0.4,1,alstora01,6,Rafer Alston,PG,29,HOU,63,2431,98%,2%,,,,-2,-1.4,103,34,85,3,44,7,932,7,20,alstora01,6,Rafer Alston,PG,29,HOU,63,2431,0.379,15.7,,0.577,0.225,0.117,0.041,0.195,0.423,,0.418,0.53,0.419,0.233,0.326,0.327,,0.174,0.912,,0,0,,0.212,0.439,,1,0,alstora01
7,Chris Andersen,C,27,NOK,32,2,17.8,1.8,3.1,0.571,0,0,,1.8,3.1,0.571,0.571,1.5,3.2,0.476,1.9,2.9,4.8,0.2,0.3,1.3,0.8,2.6,5,anderch01,7,Chris Andersen,C,27,NOK,32,2,570,3.5,6.2,0.571,0,0,,3.5,6.2,0.571,3.1,6.5,0.476,3.9,5.9,9.8,0.4,0.5,2.6,1.6,5.3,10.2,anderch01,109,104,anderch01,7,Chris Andersen,C,27,NOK,32,570,14.1,0.562,0,1.051,12.4,20.2,16.2,1.7,0.8,5.9,15.4,13.9,,0.6,0.7,1.3,0.112,,-2,0.9,-1.2,0.1,anderch01,7,Chris Andersen,C,27,NOK,32,570,,,,30%,70%,1.2,5,10,5,39,8,45,14,14,9,9,anderch01,7,Chris Andersen,C,27,NOK,32,570,0.571,2.7,,1,0.827,0.031,0.051,0.092,0,,0.571,0.617,0.333,0.4,0.333,,,0.536,,,0.245,20,,,,,0,0,anderch01
8,Alan Anderson,SF,23,CHA,36,7,15.7,2.1,5,0.414,0.7,1.6,0.414,1.4,3.4,0.415,0.481,0.9,1.1,0.805,0.6,1.3,1.9,0.9,0.3,0.1,0.9,1.3,5.8,anderal01,8,Alan Anderson,SF,23,CHA,36,7,564,4.8,11.6,0.414,1.5,3.7,0.414,3.3,7.9,0.415,2.1,2.6,0.805,1.5,3,4.5,2,0.7,0.3,2,3.1,13.2,anderal01,101,111,anderal01,8,Alan Anderson,SF,23,CHA,36,564,10.4,0.52,0.32,0.227,4.4,10.3,7.2,9.3,1,0.6,13.9,18.2,,0.2,0.3,0.4,0.037,,-1.7,-1.7,-3.3,-0.2,anderal01,8,Alan Anderson,SF,23,CHA,36,564,,20%,54%,25%,,0.1,5.2,16,8,17,4,20,1,72,4,18,anderal01,8,Alan Anderson,SF,23,CHA,36,564,0.414,12.6,,0.68,0.37,0.083,0.044,0.182,0.32,,0.415,0.537,0.267,0.375,0.242,0.414,,0.569,0.875,,0.066,11,,0.621,0.472,,0,0,anderal01
9,Derek Anderson,SG,31,TOT,43,11,24.3,2.5,7,0.356,0.9,3.1,0.299,1.6,3.9,0.402,0.422,2.2,2.6,0.838,0.5,2.8,3.3,2.3,0.5,0.1,1.3,2.3,8.1,anderde01,9,Derek Anderson,SG,31,TOT,43,11,1047,3.7,10.4,0.356,1.4,4.6,0.299,2.3,5.8,0.402,3.2,3.8,0.838,0.7,4.2,4.9,3.5,0.8,0.2,1.9,3.4,12,anderde01,102,106,anderde01,9,Derek Anderson,SG,31,TOT,43,1047,10.8,0.496,0.442,0.366,2.4,13.3,8,15.7,1.2,0.5,13.3,18.2,,0.5,1.1,1.6,0.074,,-1.3,0.1,-1.2,0.2,anderde01,9,Derek Anderson,SG,31,TOT,43,1047,14%,53%,31%,2%,,-2.1,-3.5,26,14,36,8,29,15,224,4,10,anderde01,9,Derek Anderson,SG,31,TOT,43,1047,0.356,17.9,,0.558,0.125,0.059,0.109,0.264,0.442,,0.402,0.579,0.278,0.394,0.35,0.299,,0.382,0.875,,0.007,2,,0.291,0.385,,0,0,anderde01
9,Derek Anderson,SG,31,HOU,20,8,29.1,3.4,8.7,0.393,1,3.4,0.284,2.5,5.3,0.462,0.448,3.1,3.7,0.836,0.6,3.6,4.2,2.7,0.8,0.2,1.9,2.5,10.8,anderde01,9,Derek Anderson,SG,31,HOU,20,8,582,4.2,10.7,0.393,1.2,4.1,0.284,3,6.6,0.462,3.8,4.5,0.836,0.7,4.4,5.1,3.3,0.9,0.2,2.3,3,13.4,anderde01,102,105,anderde01,9,Derek Anderson,SG,31,HOU,20,582,12.5,0.527,0.387,0.422,2.5,14.1,8.4,16.1,1.4,0.6,15.3,19.8,,0.3,0.7,1,0.084,,-0.4,0.7,0.3,0.3,anderde01,9,Derek Anderson,SG,31,HOU,20,582,,45%,51%,3%,,-1.3,0.2,18,8,16,6,19,5,123,4,4,anderde01,9,Derek Anderson,SG,31,HOU,20,582,0.393,17.7,,0.613,0.127,0.064,0.104,0.318,0.387,,0.462,0.682,0.455,0.444,0.382,0.284,,0.408,0.789,,0.012,2,,0.194,0.385,,0,0,anderde01
