,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional,Rk.1,Player.1,Pos.1,Age.1,Tm.1,G.1,GS.1,MP.1,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,2P.1,2PA.1,2P%.1,FT.1,FTA.1,FT%.1,ORB.1,DRB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,PTS.1,Unnamed: 60,ORtg,DRtg,Player-additional.1,Rk.2,Player.2,Pos.2,Age.2,Tm.2,G.2,MP.2,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 83,OWS,DWS,WS,WS/48,Unnamed: 88,OBPM,DBPM,BPM,VORP,Player-additional.2,Rk.3,Player.3,Pos.3,Age.3,Tm.3,G.3,MP.3,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot.1,Off..1,PGA,And1,Blkd,-9999,Rk.4,Player.4,Pos.4,Age.4,Tm.4,G.4,MP.4,FG%.2,Dist.,Unnamed: 127,2P.2,0-3,10-Mar,16-Oct,16-3P,3P.2,Unnamed: 134,2P.3,0-3.1,10-Mar.1,16-Oct.1,16-3P.1,3P.3,Unnamed: 141,2P.4,3P.4,Unnamed: 144,%FGA,#,Unnamed: 147,%3PA,3P%.2,Unnamed: 150,Att.,#.1,-9999.1,Season
16,13,Thanasis Antetokounmpo,SF,29,MIL,48,6,9.9,1.5,2.7,0.547,0.0,0.3,0.143,1.4,2.4,0.596,0.555,0.6,1.0,0.63,0.8,1.3,2.1,0.5,0.3,0.3,0.5,1.4,3.6,antetth01,13,Thanasis Antetokounmpo,SF,29,MIL,48,6,473,7.1,13.0,0.547,0.2,1.4,0.143,6.9,11.6,0.596,2.9,4.7,0.63,4.1,6.2,10.3,2.2,1.6,1.2,2.6,6.9,17.4,,113.0,112,antetth01,13,Thanasis Antetokounmpo,SF,29,MIL,48,473,12.5,0.577,0.109,0.359,9.2,13.4,11.3,6.5,1.6,2.4,14.9,15.7,,0.4,0.5,0.9,0.095,,-3.5,-0.1,-3.5,-0.2,antetth01,13,Thanasis Antetokounmpo,SF,29,MIL,48,473,1%,27%,51%,20%,1%,-10.6,-15.6,8,6,33,4,20,7,53,2,13,antetth01,13,Thanasis Antetokounmpo,SF,29,MIL,48,473,0.547,5.3,,0.891,0.672,0.172,0.039,0.008,0.109,,0.596,0.686,0.318,0.2,1.0,0.143,,0.632,0.5,,0.227,25,,0.429,0.167,,1,0,antetth01,2022
17,14,Carmelo Anthony,PF,37,LAL,69,3,26.0,4.6,10.5,0.441,2.2,5.8,0.375,2.5,4.7,0.521,0.544,1.9,2.3,0.83,0.9,3.3,4.2,1.0,0.7,0.8,0.9,2.4,13.3,anthoca01,14,Carmelo Anthony,PF,37,LAL,69,3,1793,8.5,19.3,0.441,4.0,10.6,0.375,4.5,8.7,0.521,3.5,4.3,0.83,1.7,6.0,7.7,1.8,1.3,1.4,1.6,4.4,24.6,,114.0,114,anthoca01,14,Carmelo Anthony,PF,37,LAL,69,1793,14.8,0.579,0.549,0.22,3.7,13.5,8.6,5.6,1.3,2.6,6.9,20.4,,2.2,1.4,3.6,0.097,,0.4,-0.8,-0.5,0.7,anthoca01,14,Carmelo Anthony,PF,37,LAL,69,1793,,,14%,74%,12%,-3.0,0.3,20,9,87,22,60,2,167,13,18,anthoca01,14,Carmelo Anthony,PF,37,LAL,69,1793,0.441,19.1,,0.451,0.101,0.066,0.152,0.131,0.549,,0.521,0.671,0.417,0.5,0.484,0.375,,0.482,0.919,,0.019,11,,0.171,0.412,,0,0,anthoca01,2022
18,15,Cole Anthony,PG,21,ORL,65,65,31.7,5.5,14.0,0.391,2.0,6.0,0.338,3.5,8.0,0.432,0.464,3.3,3.9,0.854,0.5,4.9,5.4,5.7,0.7,0.3,2.6,2.6,16.3,anthoco01,15,Cole Anthony,PG,21,ORL,65,65,2059,8.4,21.4,0.391,3.1,9.2,0.338,5.3,12.2,0.432,5.1,5.9,0.854,0.8,7.4,8.2,8.7,1.1,0.4,4.0,4.0,24.9,,103.0,114,anthoco01,15,Cole Anthony,PG,21,ORL,65,2059,13.5,0.519,0.429,0.277,1.6,16.2,8.9,28.9,1.1,0.8,14.2,25.1,,-0.1,1.7,1.6,0.038,,-0.6,-0.6,-1.2,0.4,anthoco01,15,Cole Anthony,PG,21,ORL,65,2059,99%,1%,,,,-5.9,4.9,106,48,90,4,93,20,902,21,44,anthoco01,15,Cole Anthony,PG,21,ORL,65,2059,0.391,16.2,,0.571,0.147,0.214,0.095,0.115,0.429,,0.432,0.59,0.385,0.448,0.305,0.338,,0.24,0.667,,0.025,14,,0.087,0.324,,2,0,anthoco01,2022
19,16,OG Anunoby,SF,24,TOR,48,48,36.0,6.4,14.5,0.443,2.4,6.6,0.363,4.0,7.9,0.511,0.526,1.9,2.5,0.754,1.5,4.0,5.5,2.6,1.5,0.5,1.7,2.7,17.1,anunoog01,16,OG Anunoby,SF,24,TOR,48,48,1728,8.9,20.2,0.443,3.3,9.2,0.363,5.6,11.0,0.511,2.6,3.4,0.754,2.1,5.5,7.6,3.6,2.1,0.7,2.3,3.8,23.8,,112.0,111,anunoog01,16,OG Anunoby,SF,24,TOR,48,1728,14.8,0.549,0.455,0.169,4.4,12.6,8.3,11.0,2.1,1.4,9.7,20.5,,1.8,1.9,3.7,0.104,,0.4,0.1,0.5,1.1,anunoog01,16,OG Anunoby,SF,24,TOR,48,1728,3%,27%,61%,9%,,3.9,3.1,37,25,55,11,47,5,309,9,49,anunoog01,16,OG Anunoby,SF,24,TOR,48,1728,0.443,15.1,,0.545,0.263,0.125,0.08,0.077,0.455,,0.511,0.689,0.356,0.393,0.278,0.363,,0.464,0.87,,0.109,62,,0.293,0.484,,0,0,anunoog01,2022
21,18,Trevor Ariza,SF,36,LAL,24,11,19.3,1.4,4.1,0.333,0.8,3.1,0.27,0.5,1.0,0.52,0.434,0.4,0.8,0.556,0.4,3.0,3.4,1.1,0.5,0.3,0.5,0.8,4.0,arizatr01,18,Trevor Ariza,SF,36,LAL,24,11,462,3.4,10.3,0.333,2.1,7.7,0.27,1.3,2.6,0.52,1.0,1.9,0.556,1.0,7.5,8.5,2.8,1.3,0.6,1.1,2.1,10.0,,97.0,114,arizatr01,18,Trevor Ariza,SF,36,LAL,24,462,7.0,0.449,0.747,0.182,2.3,16.7,9.5,7.5,1.3,1.2,9.3,11.0,,-0.2,0.4,0.2,0.02,,-3.3,-0.2,-3.4,-0.2,arizatr01,18,Trevor Ariza,SF,36,LAL,24,462,,,44%,55%,2%,-4.8,-1.9,5,3,13,0,6,4,72,3,3,arizatr01,18,Trevor Ariza,SF,36,LAL,24,462,0.333,19.3,,0.253,0.162,0.081,0.01,0.0,0.747,,0.52,0.688,0.25,0.0,,0.27,,0.769,1.0,,0.01,1,,0.365,0.185,,0,0,arizatr01,2022
22,19,D.J. Augustin,PG,34,TOT,55,2,16.1,1.7,4.0,0.423,1.2,3.0,0.415,0.5,1.1,0.448,0.577,0.7,0.8,0.884,0.2,1.0,1.2,1.9,0.3,0.0,1.0,0.7,5.3,augusdj01,19,D.J. Augustin,PG,34,TOT,55,2,883,5.1,12.0,0.423,3.7,8.9,0.415,1.4,3.1,0.448,2.1,2.3,0.884,0.6,3.1,3.7,5.8,0.9,0.1,3.0,2.1,15.9,,112.0,120,augusdj01,19,D.J. Augustin,PG,34,TOT,55,883,9.7,0.61,0.739,0.194,1.4,7.0,4.2,16.8,0.9,0.1,18.9,14.3,,0.7,0.1,0.8,0.043,,-1.2,-2.4,-3.6,-0.4,augusdj01,19,D.J. Augustin,PG,34,TOT,55,883,100%,,,,,-11.7,-5.8,44,8,20,1,11,2,265,3,10,augusdj01,19,D.J. Augustin,PG,34,TOT,55,883,0.423,20.3,,0.261,0.131,0.086,0.018,0.027,0.739,,0.448,0.586,0.368,0.25,0.167,0.415,,0.308,0.824,,0.0,0,,0.238,0.462,,0,0,augusdj01,2022
25,20,Deni Avdija,SF,21,WAS,82,8,24.2,3.0,7.1,0.432,1.0,3.2,0.317,2.0,3.9,0.525,0.503,1.3,1.7,0.757,0.6,4.5,5.2,2.0,0.7,0.5,1.1,2.3,8.4,avdijde01,20,Deni Avdija,SF,21,WAS,82,8,1984,6.2,14.4,0.432,2.0,6.5,0.317,4.2,8.0,0.525,2.6,3.4,0.757,1.3,9.3,10.6,4.2,1.5,1.1,2.2,4.7,17.1,,106.0,113,avdijde01,20,Deni Avdija,SF,21,WAS,82,1984,11.6,0.536,0.447,0.235,3.0,20.5,11.9,11.8,1.5,1.9,12.0,16.3,,0.6,1.8,2.4,0.058,,-2.1,0.4,-1.7,0.1,avdijde01,20,Deni Avdija,SF,21,WAS,82,1984,,7%,69%,24%,,-0.7,5.2,55,20,105,4,52,2,387,11,39,avdijde01,20,Deni Avdija,SF,21,WAS,82,1984,0.432,14.4,,0.553,0.221,0.261,0.04,0.031,0.447,,0.525,0.633,0.464,0.435,0.389,0.317,,0.589,0.939,,0.022,7,,0.247,0.266,,1,0,avdijde01,2022
27,22,Deandre Ayton,C,23,PHO,58,58,29.5,7.6,12.0,0.634,0.1,0.3,0.368,7.5,11.7,0.642,0.639,1.8,2.4,0.746,2.6,7.7,10.2,1.4,0.7,0.7,1.6,2.4,17.2,aytonde01,22,Deandre Ayton,C,23,PHO,58,58,1713,12.4,19.6,0.634,0.2,0.5,0.368,12.2,19.0,0.642,3.0,4.0,0.746,4.2,12.5,16.7,2.4,1.1,1.1,2.6,4.0,28.0,,124.0,105,aytonde01,22,Deandre Ayton,C,23,PHO,58,1713,21.9,0.656,0.027,0.204,9.6,27.1,18.6,7.6,1.1,2.1,10.7,21.4,,4.1,3.1,7.3,0.203,,2.2,0.6,2.8,2.1,aytonde01,22,Deandre Ayton,C,23,PHO,58,1713,,,,,100%,9.8,3.7,19,34,89,23,71,2,210,17,37,aytonde01,22,Deandre Ayton,C,23,PHO,58,1713,0.634,7.0,,0.973,0.333,0.397,0.184,0.059,0.027,,0.642,0.793,0.588,0.555,0.415,0.368,,0.809,1.0,,0.145,95,,0.0,,,0,0,aytonde01,2022
28,23,Udoka Azubuike,C,22,UTA,17,6,11.5,2.2,2.9,0.755,0.0,0.0,,2.2,2.9,0.755,0.755,0.4,0.6,0.545,1.1,3.1,4.2,0.0,0.1,0.6,0.7,1.5,4.7,azubuud01,23,Udoka Azubuike,C,22,UTA,17,6,195,9.4,12.4,0.755,0.0,0.0,,9.4,12.4,0.755,1.5,2.8,0.545,4.6,13.4,18.0,0.0,0.3,2.8,3.0,6.3,20.3,,124.0,107,azubuud01,23,Udoka Azubuike,C,22,UTA,17,195,17.6,0.743,0.0,0.224,10.5,28.8,19.9,0.0,0.3,5.0,18.2,14.7,,0.3,0.3,0.6,0.157,,-1.8,0.4,-1.4,0.0,azubuud01,23,Udoka Azubuike,C,22,UTA,17,195,,,,,100%,-0.1,-6.5,2,2,15,5,5,0,0,3,2,azubuud01,23,Udoka Azubuike,C,22,UTA,17,195,0.755,2.8,,1.0,0.694,0.286,0.02,0.0,0.0,,0.755,0.824,0.643,0.0,,,,0.892,,,0.571,26,,,,,0,0,azubuud01,2022
29,24,Marvin Bagley III,PF,22,TOT,48,25,24.0,4.7,9.3,0.504,0.5,2.0,0.237,4.2,7.3,0.579,0.53,1.4,2.1,0.663,2.2,4.9,7.0,0.8,0.5,0.4,0.8,1.9,11.3,baglema01,24,Marvin Bagley III,PF,22,TOT,48,25,1153,9.5,18.8,0.504,1.0,4.1,0.237,8.5,14.7,0.579,2.8,4.3,0.663,4.4,9.8,14.3,1.5,0.9,0.8,1.6,3.9,22.8,,112.0,114,baglema01,24,Marvin Bagley III,PF,22,TOT,48,1153,15.7,0.551,0.217,0.226,9.7,22.6,16.0,5.2,0.9,1.4,7.4,19.8,,1.2,0.9,2.0,0.084,,-0.5,-1.8,-2.3,-0.1,baglema01,24,Marvin Bagley III,PF,22,TOT,48,1153,,,,71%,29%,-5.9,0.8,9,5,57,14,55,9,95,19,30,baglema01,24,Marvin Bagley III,PF,22,TOT,48,1153,0.504,9.2,,0.783,0.327,0.363,0.081,0.011,0.217,,0.579,0.795,0.457,0.306,0.2,0.237,,0.658,0.913,,0.126,52,,0.485,0.213,,1,0,baglema01,2022
