,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional,Rk.1,Player.1,Pos.1,Age.1,Tm.1,G.1,GS.1,MP.1,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,2P.1,2PA.1,2P%.1,FT.1,FTA.1,FT%.1,ORB.1,DRB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,PTS.1,Unnamed: 60,ORtg,DRtg,Player-additional.1,Rk.2,Player.2,Pos.2,Age.2,Tm.2,G.2,MP.2,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 83,OWS,DWS,WS,WS/48,Unnamed: 88,OBPM,DBPM,BPM,VORP,Player-additional.2,Rk.3,Player.3,Pos.3,Age.3,Tm.3,G.3,MP.3,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot.1,Off..1,PGA,And1,Blkd,-9999,Rk.4,Player.4,Pos.4,Age.4,Tm.4,G.4,MP.4,FG%.2,Dist.,Unnamed: 127,2P.2,0-3,10-Mar,16-Oct,16-3P,3P.2,Unnamed: 134,2P.3,0-3.1,10-Mar.1,16-Oct.1,16-3P.1,3P.3,Unnamed: 141,2P.4,3P.4,Unnamed: 144,%FGA,#,Unnamed: 147,%3PA,3P%.2,Unnamed: 150,Att.,#.1,-9999.1,Season
0,1,Precious Achiuwa,C,22,TOR,73,28,23.6,3.6,8.3,0.439,0.8,2.1,0.359,2.9,6.1,0.468,0.486,1.1,1.8,0.595,2.0,4.5,6.5,1.1,0.5,0.6,1.2,2.1,9.1,achiupr01,1,Precious Achiuwa,C,22,TOR,73,28,1725,7.7,17.5,0.439,1.6,4.5,0.359,6.1,13.0,0.468,2.3,3.8,0.595,4.2,9.5,13.7,2.4,1.1,1.2,2.4,4.4,19.2,,105.0,110,achiupr01,1,Precious Achiuwa,C,22,TOR,73,1725,12.7,0.503,0.259,0.217,8.7,21.7,14.9,6.9,1.1,2.3,11.3,18.5,,0.4,2.1,2.5,0.07,,-2.0,-0.6,-2.6,-0.2,achiupr01,1,Precious Achiuwa,C,22,TOR,73,1725,,,,2%,98%,2.2,0.0,19,26,70,24,64,10,200,15,51,achiupr01,1,Precious Achiuwa,C,22,TOR,73,1725,0.439,10.2,,0.741,0.348,0.274,0.085,0.035,0.259,,0.468,0.614,0.345,0.373,0.19,0.359,,0.598,0.964,,0.143,67,,0.429,0.313,,0,0,achiupr01,2022
1,2,Steven Adams,C,28,MEM,76,75,26.3,2.8,5.1,0.547,0.0,0.0,0.0,2.8,5.0,0.548,0.547,1.4,2.6,0.543,4.6,5.4,10.0,3.4,0.9,0.8,1.5,2.0,6.9,adamsst01,2,Steven Adams,C,28,MEM,76,75,1999,5.0,9.2,0.547,0.0,0.0,0.0,5.0,9.2,0.548,2.6,4.8,0.543,8.4,9.8,18.2,6.1,1.6,1.4,2.8,3.7,12.6,,125.0,108,adamsst01,2,Steven Adams,C,28,MEM,76,1999,17.6,0.56,0.003,0.518,17.9,22.0,19.9,16.1,1.6,2.7,19.6,12.0,,3.8,3.0,6.8,0.163,,1.0,1.0,2.0,2.0,adamsst01,2,Steven Adams,C,28,MEM,76,1999,,,,,100%,7.9,4.2,71,15,78,19,83,13,569,23,44,adamsst01,2,Steven Adams,C,28,MEM,76,1999,0.547,2.9,,0.997,0.693,0.26,0.042,0.003,0.003,,0.548,0.632,0.35,0.438,0.0,0.0,,0.49,,,0.143,48,,0.0,,,1,0,adamsst01,2022
2,3,Bam Adebayo,C,24,MIA,56,56,32.6,7.3,13.0,0.557,0.0,0.1,0.0,7.3,12.9,0.562,0.557,4.6,6.1,0.753,2.4,7.6,10.1,3.4,1.4,0.8,2.6,3.1,19.1,adebaba01,3,Bam Adebayo,C,24,MIA,56,56,1825,11.1,20.0,0.557,0.0,0.2,0.0,11.1,19.8,0.562,7.0,9.3,0.753,3.8,11.7,15.5,5.2,2.2,1.2,4.1,4.7,29.3,,117.0,104,adebaba01,3,Bam Adebayo,C,24,MIA,56,1825,21.8,0.608,0.008,0.466,8.7,26.1,17.5,17.5,2.2,2.6,14.4,25.0,,3.6,3.5,7.2,0.188,,1.7,2.1,3.8,2.7,adebaba01,3,Bam Adebayo,C,24,MIA,56,1825,,,,2%,98%,7.6,5.5,59,39,72,38,173,8,480,48,40,adebaba01,3,Bam Adebayo,C,24,MIA,56,1825,0.557,7.0,,0.992,0.395,0.309,0.2,0.088,0.008,,0.562,0.771,0.467,0.404,0.313,0.0,,0.608,,,0.181,119,,0.0,,,2,0,adebaba01,2022
3,4,Santi Aldama,PF,21,MEM,32,0,11.3,1.7,4.1,0.402,0.2,1.5,0.125,1.5,2.6,0.56,0.424,0.6,1.0,0.625,1.0,1.7,2.7,0.7,0.2,0.3,0.5,1.1,4.1,aldamsa01,4,Santi Aldama,PF,21,MEM,32,0,360,7.0,17.5,0.402,0.8,6.4,0.125,6.2,11.2,0.56,2.7,4.3,0.625,4.4,7.2,11.6,2.8,0.8,1.3,2.1,4.8,17.5,,101.0,111,aldamsa01,4,Santi Aldama,PF,21,MEM,32,360,10.2,0.452,0.364,0.242,9.4,16.1,12.6,7.7,0.8,2.5,9.9,18.4,,-0.1,0.4,0.3,0.044,,-4.2,-1.5,-5.7,-0.3,aldamsa01,4,Santi Aldama,PF,21,MEM,32,360,,,3%,49%,49%,2.3,-3.8,7,3,16,5,16,1,58,5,5,aldamsa01,4,Santi Aldama,PF,21,MEM,32,360,0.402,12.0,,0.636,0.333,0.205,0.091,0.008,0.364,,0.56,0.682,0.444,0.417,0.0,0.125,,0.638,1.0,,0.076,10,,0.229,0.364,,0,0,aldamsa01,2022
4,5,LaMarcus Aldridge,C,36,BRK,47,12,22.3,5.4,9.7,0.55,0.3,1.0,0.304,5.1,8.8,0.578,0.566,1.9,2.2,0.873,1.6,3.9,5.5,0.9,0.3,1.0,0.9,1.7,12.9,aldrila01,5,LaMarcus Aldridge,C,36,BRK,47,12,1050,11.6,21.1,0.55,0.6,2.1,0.304,11.0,19.0,0.578,4.1,4.7,0.873,3.4,8.5,11.9,1.9,0.6,2.2,2.0,3.6,28.0,,119.0,112,aldrila01,5,LaMarcus Aldridge,C,36,BRK,47,1050,19.6,0.604,0.1,0.223,7.8,18.7,13.4,6.3,0.6,4.0,8.0,22.4,,2.1,1.0,3.1,0.141,,1.3,-0.6,0.7,0.7,aldrila01,5,LaMarcus Aldridge,C,36,BRK,47,1050,,,,,100%,1.5,0.1,12,11,46,12,56,0,110,22,11,aldrila01,5,LaMarcus Aldridge,C,36,BRK,47,1050,0.55,12.3,,0.9,0.21,0.17,0.24,0.279,0.1,,0.578,0.729,0.513,0.509,0.563,0.304,,0.748,1.0,,0.039,18,,0.283,0.308,,0,0,aldrila01,2022
5,6,Nickeil Alexander-Walker,SG,23,TOT,65,21,22.6,3.9,10.5,0.372,1.6,5.2,0.311,2.3,5.3,0.433,0.449,1.2,1.7,0.743,0.6,2.3,2.9,2.4,0.7,0.4,1.4,1.6,10.6,alexani01,6,Nickeil Alexander-Walker,SG,23,TOT,65,21,1466,8.5,22.9,0.372,3.5,11.4,0.311,5.0,11.5,0.433,2.7,3.7,0.743,1.2,5.1,6.3,5.3,1.5,0.8,3.1,3.5,23.3,,98.0,114,alexani01,6,Nickeil Alexander-Walker,SG,23,TOT,65,1466,10.5,0.475,0.497,0.16,2.7,11.5,7.1,16.1,1.5,1.5,11.3,24.1,,-1.1,1.1,0.1,0.003,,-1.8,-1.1,-2.9,-0.3,alexani01,6,Nickeil Alexander-Walker,SG,23,TOT,65,1466,3%,42%,41%,14%,,-4.1,-5.6,63,18,48,7,47,11,373,7,43,alexani01,6,Nickeil Alexander-Walker,SG,23,TOT,65,1466,0.372,15.8,,0.503,0.213,0.162,0.071,0.057,0.497,,0.433,0.579,0.318,0.375,0.282,0.311,,0.399,0.876,,0.015,8,,0.24,0.37,,2,0,alexani01,2022
8,7,Grayson Allen,SG,26,MIL,66,61,27.3,3.9,8.6,0.448,2.4,5.9,0.409,1.5,2.7,0.533,0.588,1.0,1.1,0.865,0.5,2.9,3.4,1.5,0.7,0.3,0.7,1.5,11.1,allengr01,7,Grayson Allen,SG,26,MIL,66,61,1805,6.8,15.1,0.448,4.2,10.4,0.409,2.6,4.8,0.533,1.7,2.0,0.865,0.9,5.1,5.9,2.7,1.2,0.5,1.1,2.6,19.5,,122.0,114,allengr01,7,Grayson Allen,SG,26,MIL,66,1805,12.7,0.609,0.684,0.13,1.9,10.9,6.5,7.6,1.2,1.0,6.7,15.2,,2.8,1.4,4.2,0.11,,0.6,-0.2,0.4,1.1,allengr01,7,Grayson Allen,SG,26,MIL,66,1805,6%,84%,11%,,,5.6,4.4,27,7,46,5,30,8,242,6,25,allengr01,7,Grayson Allen,SG,26,MIL,66,1805,0.448,19.2,,0.316,0.158,0.097,0.047,0.014,0.684,,0.533,0.678,0.4,0.37,0.375,0.409,,0.646,0.912,,0.023,10,,0.26,0.455,,0,0,allengr01,2022
9,8,Jarrett Allen,C,23,CLE,56,56,32.3,6.6,9.7,0.677,0.0,0.2,0.1,6.6,9.6,0.688,0.678,2.9,4.2,0.708,3.4,7.3,10.8,1.6,0.8,1.3,1.7,1.7,16.1,allenja01,8,Jarrett Allen,C,23,CLE,56,56,1810,10.2,15.0,0.677,0.0,0.3,0.1,10.2,14.8,0.688,4.6,6.4,0.708,5.3,11.3,16.6,2.5,1.2,2.1,2.6,2.7,25.0,,132.0,106,allenja01,8,Jarrett Allen,C,23,CLE,56,1810,23.0,0.698,0.018,0.428,12.0,24.5,18.4,8.2,1.2,3.7,12.7,18.1,,5.4,3.0,8.5,0.224,,2.7,1.2,3.9,2.7,allenja01,8,Jarrett Allen,C,23,CLE,56,1810,,,,,100%,4.4,4.2,36,36,58,11,112,16,219,32,36,allenja01,8,Jarrett Allen,C,23,CLE,56,1810,0.677,3.8,,0.982,0.624,0.294,0.046,0.018,0.018,,0.688,0.809,0.469,0.48,0.6,0.1,,0.734,0.0,,0.343,164,,0.6,0.0,,0,0,allenja01,2022
10,9,Jose Alvarado,PG,23,NOP,54,1,15.4,2.4,5.4,0.446,0.6,2.0,0.291,1.8,3.4,0.538,0.5,0.7,1.0,0.679,0.5,1.4,1.9,2.8,1.3,0.1,0.7,1.4,6.1,alvarjo01,9,Jose Alvarado,PG,23,NOP,54,1,834,7.8,17.4,0.446,1.9,6.5,0.291,5.9,10.9,0.538,2.1,3.1,0.679,1.5,4.4,5.9,9.0,4.2,0.4,2.4,4.3,19.5,,114.0,109,alvarjo01,9,Jose Alvarado,PG,23,NOP,54,834,16.4,0.52,0.374,0.18,3.2,10.2,6.6,26.9,4.2,0.8,11.2,18.4,,1.0,1.1,2.1,0.121,,-0.5,2.4,1.9,0.8,alvarjo01,9,Jose Alvarado,PG,23,NOP,54,834,100%,,,,,8.1,11.7,26,11,34,2,20,14,354,4,19,alvarjo01,9,Jose Alvarado,PG,23,NOP,54,834,0.446,13.6,,0.626,0.235,0.248,0.099,0.044,0.374,,0.538,0.609,0.507,0.483,0.462,0.291,,0.303,0.969,,0.0,0,,0.227,0.32,,1,0,alvarjo01,2022
11,10,Justin Anderson,SF,28,TOT,16,6,19.8,2.3,5.9,0.379,0.9,3.7,0.254,1.3,2.3,0.583,0.458,0.9,1.2,0.789,0.3,2.6,2.9,2.1,0.5,0.4,0.5,1.4,6.4,anderju01,10,Justin Anderson,SF,28,TOT,16,6,316,5.6,14.8,0.379,2.3,9.2,0.254,3.3,5.6,0.583,2.3,3.0,0.789,0.6,6.5,7.1,5.1,1.2,0.9,1.2,3.4,15.9,,109.0,116,anderju01,10,Justin Anderson,SF,28,TOT,16,316,10.4,0.493,0.621,0.2,1.4,15.0,8.1,14.2,1.2,1.7,7.2,15.1,,0.2,0.2,0.4,0.054,,-1.9,-1.3,-3.2,-0.1,anderju01,10,Justin Anderson,SF,28,TOT,16,316,,1%,43%,55%,,-1.8,1.1,5,2,13,0,10,1,87,5,5,anderju01,10,Justin Anderson,SF,28,TOT,16,316,0.379,18.9,,0.379,0.147,0.095,0.042,0.095,0.621,,0.583,0.714,0.444,0.25,0.667,0.254,,0.667,0.933,,0.032,1,,0.339,0.4,,0,0,anderju01,2022
14,11,Kyle Anderson,PF,28,MEM,69,11,21.5,3.0,6.8,0.446,0.5,1.6,0.33,2.5,5.2,0.481,0.484,1.0,1.5,0.638,1.0,4.3,5.3,2.7,1.1,0.7,1.0,1.6,7.6,anderky01,11,Kyle Anderson,PF,28,MEM,69,11,1484,6.7,15.1,0.446,1.2,3.5,0.33,5.6,11.6,0.481,2.2,3.4,0.638,2.2,9.6,11.9,5.9,2.5,1.5,2.3,3.5,16.8,,110.0,106,anderky01,11,Kyle Anderson,PF,28,MEM,69,1484,14.4,0.506,0.232,0.224,4.8,21.6,13.0,16.2,2.5,2.7,12.1,16.2,,1.0,2.5,3.5,0.113,,-0.9,2.1,1.2,1.2,anderky01,11,Kyle Anderson,PF,28,MEM,69,1484,,,8%,62%,30%,3.0,-4.5,33,19,44,10,46,6,440,14,25,anderky01,11,Kyle Anderson,PF,28,MEM,69,1484,0.446,10.7,,0.768,0.279,0.303,0.141,0.045,0.232,,0.481,0.641,0.437,0.333,0.238,0.33,,0.514,0.972,,0.043,19,,0.422,0.435,,0,0,anderky01,2022
15,12,Giannis Antetokounmpo,PF,27,MIL,67,67,32.9,10.3,18.6,0.553,1.1,3.6,0.293,9.2,15.0,0.616,0.582,8.3,11.4,0.722,2.0,9.6,11.6,5.8,1.1,1.4,3.3,3.2,29.9,antetgi01,12,Giannis Antetokounmpo,PF,27,MIL,67,67,2204,15.0,27.1,0.553,1.5,5.3,0.293,13.5,21.9,0.616,12.1,16.7,0.722,2.9,14.0,17.0,8.5,1.6,2.0,4.8,4.6,43.6,,124.0,106,antetgi01,12,Giannis Antetokounmpo,PF,27,MIL,67,2204,32.1,0.633,0.194,0.615,6.6,30.4,18.7,31.7,1.6,4.0,12.2,34.9,,9.2,3.7,12.9,0.281,,7.6,3.5,11.2,7.4,antetgi01,12,Giannis Antetokounmpo,PF,27,MIL,67,2204,,,1%,65%,34%,8.0,11.0,72,67,87,48,367,3,1020,86,63,antetgi01,12,Giannis Antetokounmpo,PF,27,MIL,67,2204,0.553,10.0,,0.806,0.406,0.198,0.12,0.082,0.194,,0.616,0.808,0.421,0.416,0.431,0.293,,0.432,0.423,,0.152,179,,0.025,0.167,,2,0,antetgi01,2022
