Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional,ORtg,DRtg,Player-additional,Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,-9999,Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,10-Mar,16-Oct,16-3P,3P,,2P,0-3,10-Mar,16-Oct,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#,-9999
1,Mahmoud Abdul-Rauf,PG,31,VAN,41,0,11.9,2.9,6,0.488,0.1,0.3,0.286,2.8,5.7,0.5,0.496,0.5,0.7,0.759,0.1,0.5,0.6,1.9,0.2,0,0.6,1.2,6.5,abdulma02,1,Mahmoud Abdul-Rauf,PG,31,VAN,41,0,486,8.9,18.2,0.488,0.3,1,0.286,8.6,17.2,0.5,1.6,2.1,0.759,0.4,1.5,1.9,5.6,0.7,0.1,1.9,3.7,19.7,abdulma02,104,111,abdulma02,1,Mahmoud Abdul-Rauf,PG,31,VAN,41,486,16.7,0.514,0.057,0.118,1.2,4.7,2.9,32.7,1,0.1,9.1,26.8,,0.7,0,0.7,0.07,,1.1,-2.1,-1,0.1,abdulma02,1,Mahmoud Abdul-Rauf,PG,31,VAN,41,486,100%,,,,,-1.5,5.2,15,7,23,1,8,,162,0,6,abdulma02,1,Mahmoud Abdul-Rauf,PG,31,VAN,41,486,0.488,17.7,,0.943,0.028,0.049,0.171,0.695,0.057,,0.5,0.571,0.25,0.571,0.497,0.286,,0.543,0.5,,0,0,,0.071,0,,0,0,abdulma02
2,Tariq Abdul-Wahad,SG,26,DEN,29,12,14.5,1.5,3.8,0.387,0.1,0.3,0.4,1.3,3.5,0.386,0.405,0.7,1.2,0.583,0.5,1.6,2,0.8,0.5,0.4,1.2,1.9,3.8,abdulta01,2,Tariq Abdul-Wahad,SG,26,DEN,29,12,420,3.7,9.5,0.387,0.3,0.9,0.4,3.3,8.7,0.386,1.8,3.1,0.583,1.2,3.9,5.1,1.9,1.2,1.1,2.9,4.6,9.5,abdulta01,79,106,abdulta01,2,Tariq Abdul-Wahad,SG,26,DEN,29,420,5.8,0.438,0.09,0.324,3.6,11.8,7.6,8.1,1.7,2.1,21.1,17.1,,-0.7,0.3,-0.4,-0.049,,-5.6,-0.3,-5.8,-0.4,abdulta01,2,Tariq Abdul-Wahad,SG,26,DEN,29,420,,96%,4%,,,-9.9,-8.5,13,12,23,7,13,,45,2,10,abdulta01,2,Tariq Abdul-Wahad,SG,26,DEN,29,420,0.387,11.4,,0.91,0.288,0.171,0.135,0.315,0.09,,0.386,0.594,0.211,0.2,0.371,0.4,,0.641,1,,0.027,3,,0.2,1,,0,0,abdulta01
3,Shareef Abdur-Rahim,SF,24,VAN,81,81,40,7.5,15.8,0.472,0.1,0.8,0.188,7.3,15,0.487,0.477,5.5,6.6,0.834,2.2,6.9,9.1,3.1,1.1,1,2.9,2.9,20.5,abdursh01,3,Shareef Abdur-Rahim,SF,24,VAN,81,81,3241,6.7,14.2,0.472,0.1,0.7,0.188,6.6,13.5,0.487,4.9,5.9,0.834,1.9,6.2,8.2,2.8,1,0.9,2.6,2.6,18.5,abdursh01,106,104,abdursh01,3,Shareef Abdur-Rahim,SF,24,VAN,81,3241,19.1,0.549,0.05,0.415,6.2,19.6,13,14.3,1.5,1.6,13.2,24.6,,5.6,2.9,8.5,0.126,,1.7,0.1,1.8,3.1,abdursh01,3,Shareef Abdur-Rahim,SF,24,VAN,81,3241,,2%,78%,21%,,-7,-5.1,70,81,93,41,198,,556,48,151,abdursh01,3,Shareef Abdur-Rahim,SF,24,VAN,81,3241,0.472,10.1,,0.95,0.28,0.273,0.128,0.27,0.05,,0.487,0.693,0.372,0.415,0.423,0.188,,0.672,0.917,,0.073,84,,0.406,0.154,,2,0,abdursh01
4,Cory Alexander,PG,27,ORL,26,0,8.7,0.7,2.2,0.321,0.2,0.6,0.25,0.5,1.5,0.35,0.357,0.5,0.7,0.667,0,1,1,1.4,0.6,0,1,1.1,2,alexaco01,4,Cory Alexander,PG,27,ORL,26,0,227,2.9,8.9,0.321,0.6,2.5,0.25,2.2,6.3,0.35,1.9,2.9,0.667,0,4,4,5.7,2.5,0,4,4.6,8.2,alexaco01,77,100,alexaco01,4,Cory Alexander,PG,27,ORL,26,227,6.3,0.407,0.286,0.321,0,12.5,6.1,23.5,3.6,0,28.1,17.3,,-0.5,0.3,-0.1,-0.031,,-7.2,1.2,-6,-0.2,alexaco01,4,Cory Alexander,PG,27,ORL,26,227,74%,26%,,,,-8.6,-10.2,21,3,15,0,6,,80,2,2,alexaco01,4,Cory Alexander,PG,27,ORL,26,227,0.321,16.8,,0.714,0.161,0.071,0.143,0.339,0.286,,0.35,0.222,0.75,0.25,0.368,0.25,,0.286,1,,0,0,,0.125,0,,1,0,alexaco01
5,Courtney Alexander,PG,23,TOT,65,24,21.3,3.7,8.8,0.417,0.3,0.7,0.37,3.4,8.1,0.421,0.432,1.9,2.3,0.82,0.6,1.6,2.2,1,0.7,0.1,1.2,2.1,9.5,alexaco02,5,Courtney Alexander,PG,23,TOT,65,24,1382,6.2,14.9,0.417,0.4,1.2,0.37,5.8,13.7,0.421,3.2,3.9,0.82,1.1,2.6,3.7,1.6,1.2,0.1,2,3.6,16.1,alexaco02,96,109,alexaco02,5,Courtney Alexander,PG,23,TOT,65,1382,11.6,0.484,0.08,0.262,3.5,8.4,5.9,8,1.7,0.3,10.5,23.2,,0.3,0.5,0.8,0.027,,-2.4,-1.9,-4.3,-0.8,alexaco02,5,Courtney Alexander,PG,23,TOT,65,1382,16%,72%,13%,,,-10.3,-8.3,25,31,54,9,58,,131,15,35,alexaco02,5,Courtney Alexander,PG,23,TOT,65,1382,0.417,13.6,,0.92,0.18,0.117,0.232,0.391,0.08,,0.421,0.505,0.388,0.346,0.438,0.37,,0.581,0.588,,0.005,3,,0.174,0.125,,0,0,alexaco02
5,Courtney Alexander,PG,23,DAL,38,6,12.4,1.6,4.7,0.348,0.1,0.3,0.3,1.6,4.4,0.351,0.357,0.9,1.2,0.733,0.5,1.1,1.7,0.6,0.4,0.1,0.6,2,4.2,alexaco02,5,Courtney Alexander,PG,23,DAL,38,6,472,4.7,13.6,0.348,0.2,0.8,0.3,4.5,12.8,0.351,2.5,3.4,0.733,1.5,3.3,4.8,1.6,1.2,0.2,1.6,5.8,12.2,alexaco02,86,104,alexaco02,5,Courtney Alexander,PG,23,DAL,38,472,6.8,0.404,0.056,0.253,4.9,9.9,7.5,6.9,1.7,0.5,9.6,21.1,,-0.5,0.4,-0.1,-0.013,,-5.5,-0.8,-6.2,-0.5,alexaco02,5,Courtney Alexander,PG,23,DAL,38,472,39%,49%,13%,,,-11.2,-17.9,8,5,23,4,20,,46,5,12,alexaco02,5,Courtney Alexander,PG,23,DAL,38,472,0.348,12.3,,0.944,0.242,0.09,0.298,0.315,0.056,,0.351,0.465,0.25,0.264,0.375,0.3,,0.627,0.667,,0,0,,0.2,0,,0,0,alexaco02
5,Courtney Alexander,PG,23,WAS,27,18,33.7,6.6,14.6,0.448,0.5,1.3,0.389,6,13.3,0.454,0.466,3.3,3.9,0.857,0.8,2.1,3,1.5,1.1,0.1,2,2.3,17,alexaco02,5,Courtney Alexander,PG,23,WAS,27,18,910,7,15.6,0.448,0.6,1.4,0.389,6.4,14.2,0.454,3.6,4.2,0.857,0.9,2.3,3.2,1.6,1.1,0.1,2.1,2.5,18.1,alexaco02,101,111,alexaco02,5,Courtney Alexander,PG,23,WAS,27,910,14.2,0.519,0.091,0.266,2.8,7.6,5.1,8.6,1.7,0.2,10.9,24.3,,0.9,0.1,0.9,0.048,,-0.8,-2.5,-3.3,-0.3,alexaco02,5,Courtney Alexander,PG,23,WAS,27,910,4%,83%,13%,,,-9.8,-3.4,17,26,31,5,38,,85,10,23,alexaco02,5,Courtney Alexander,PG,23,WAS,27,910,0.448,14.2,,0.909,0.152,0.129,0.203,0.425,0.091,,0.454,0.533,0.431,0.4,0.458,0.389,,0.564,0.571,,0.008,3,,0.167,0.167,,0,0,alexaco02
6,Ray Allen*,SG,25,MIL,82,82,38.2,7.7,16,0.48,2.5,5.7,0.433,5.2,10.3,0.506,0.557,4.2,4.8,0.888,1.2,4,5.2,4.6,1.5,0.2,2.5,2.3,22,allenra02,6,Ray Allen*,SG,25,MIL,82,82,3129,7.2,15.1,0.48,2.3,5.4,0.433,4.9,9.7,0.506,4,4.5,0.888,1.2,3.8,4.9,4.3,1.4,0.2,2.3,2.2,20.8,allenra02,119,106,allenra02,6,Ray Allen*,SG,25,MIL,82,3129,22.9,0.61,0.357,0.299,3.7,11.8,7.8,20.4,2.1,0.5,12.1,24.4,,11.5,2.2,13.7,0.211,,5.7,-0.3,5.5,5.9,allenra02,6,Ray Allen*,SG,25,MIL,82,3129,,90%,10%,,,5.4,6.3,96,76,100,17,139,,846,32,54,allenra02,6,Ray Allen*,SG,25,MIL,82,3129,0.48,14.7,,0.643,0.235,0.086,0.183,0.14,0.357,,0.506,0.659,0.429,0.418,0.41,0.433,,0.437,0.856,,0.027,31,,0.27,0.5,,1,0,allenra02
7,Rafer Alston,PG,24,MIL,37,2,7.8,0.8,2.3,0.357,0.2,0.8,0.267,0.6,1.5,0.407,0.405,0.2,0.4,0.692,0.1,0.7,0.8,1.8,0.4,0,0.5,0.7,2.1,alstora01,7,Rafer Alston,PG,24,MIL,37,2,288,3.7,10.5,0.357,1,3.7,0.267,2.7,6.8,0.407,1.1,1.6,0.692,0.5,3.4,3.9,8.5,1.6,0,2.5,3.4,9.6,alstora01,98,106,alstora01,7,Rafer Alston,PG,24,MIL,37,288,12.1,0.429,0.357,0.155,1.6,10.6,6.1,34.6,2.4,0,18.2,17.2,,0.1,0.2,0.3,0.055,,-1.6,-0.5,-2.1,0,alstora01,7,Rafer Alston,PG,24,MIL,37,288,46%,54%,,,,-5.8,-10.7,13,3,12,2,7,,155,3,3,alstora01,7,Rafer Alston,PG,24,MIL,37,288,0.357,15.8,,0.643,0.179,0.107,0.107,0.25,0.357,,0.407,0.533,0.333,0.667,0.238,0.267,,0.455,1,,0,0,,0.233,0.286,,0,0,alstora01
8,John Amaechi,C,30,ORL,82,36,20.9,2.9,7.2,0.4,0,0.1,0,2.9,7.1,0.405,0.4,2.1,3.4,0.631,0.9,2.3,3.3,0.9,0.3,0.4,1.5,2.1,7.9,amaecjo01,8,John Amaechi,C,30,ORL,82,36,1710,5,12.5,0.4,0,0.1,0,5,12.3,0.405,3.7,5.9,0.631,1.6,4,5.6,1.6,0.6,0.6,2.6,3.7,13.7,amaecjo01,89,105,amaecjo01,8,John Amaechi,C,30,ORL,82,1710,8.7,0.455,0.012,0.471,4.9,12.7,8.7,7,0.8,1.2,14.8,21.7,,-1.3,1.4,0,0.001,,-4.3,-1.8,-6.1,-1.7,amaecjo01,8,John Amaechi,C,30,ORL,82,1710,,,,25%,76%,-5.8,-11.9,52,40,109,18,121,,171,25,65,amaecjo01,8,John Amaechi,C,30,ORL,82,1710,0.4,8.3,,0.988,0.4,0.203,0.122,0.264,0.012,,0.405,0.54,0.317,0.306,0.314,0,,0.519,,,0.017,9,,0,,,1,0,amaecjo01
