Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional,ORtg,DRtg,Player-additional,Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,-9999,Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,10-Mar,16-Oct,16-3P,3P,,2P,0-3,10-Mar,16-Oct,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#,-9999
1,Quincy Acy,PF,25,SAC,59,29,14.8,2,3.6,0.556,0.3,0.8,0.388,1.7,2.8,0.606,0.6,0.8,1.2,0.735,1.1,2.1,3.2,0.5,0.5,0.4,0.5,1.7,5.2,acyqu01,1,Quincy Acy,PF,25,SAC,59,29,876,4.9,8.8,0.556,0.8,2,0.388,4.1,6.8,0.606,2.1,2.8,0.735,2.7,5.1,7.7,1.1,1.2,1,1.1,4.2,12.6,acyqu01,124,108,acyqu01,1,Quincy Acy,PF,25,SAC,59,876,14.7,0.629,0.229,0.318,8.1,15.1,11.6,4.4,1.6,2.2,10,13.1,,1.8,0.7,2.5,0.137,,-0.2,0.2,-0.1,0.4,acyqu01,1,Quincy Acy,PF,25,SAC,59,876,,,19%,79%,3%,-7.1,-5.5,8,6,52,5,28,5,62,9,6,acyqu01,1,Quincy Acy,PF,25,SAC,59,876,0.556,9.7,,0.771,0.458,0.121,0.037,0.154,0.229,,0.606,0.735,0.385,0.5,0.424,0.388,,0.71,0.947,,0.215,43,,0.347,0.529,,0,0,acyqu01
2,Jordan Adams,SG,21,MEM,2,0,7.5,1,3,0.333,0,0.5,0,1,2.5,0.4,0.333,1.5,2.5,0.6,0,1,1,1.5,1.5,0,1,1,3.5,adamsjo01,2,Jordan Adams,SG,21,MEM,2,0,15,4.8,14.4,0.333,0,2.4,0,4.8,12,0.4,7.2,12,0.6,0,4.8,4.8,7.2,7.2,0,4.8,4.8,16.8,adamsjo01,84,90,adamsjo01,2,Jordan Adams,SG,21,MEM,2,15,17.3,0.427,0.167,0.833,0,15.9,7.6,31.9,10.3,0,19.6,30.5,,0,0,0,0.015,,-2.5,9.4,6.9,0,adamsjo01,2,Jordan Adams,SG,21,MEM,2,15,,59%,41%,,,9.3,11.7,0,2,0,0,2,0,6,1,0,adamsjo01,2,Jordan Adams,SG,21,MEM,2,15,0.333,10.8,,0.833,0.333,0,0.5,0,0.167,,0.4,0.5,,0.333,,0,,0.5,,,0,0,,0,,,0,0,adamsjo01
3,Steven Adams,C,22,OKC,80,80,25.2,3.3,5.3,0.613,0,0,,3.3,5.3,0.613,0.613,1.4,2.5,0.582,2.7,3.9,6.7,0.8,0.5,1.1,1.1,2.8,8,adamsst01,3,Steven Adams,C,22,OKC,80,80,2014,4.7,7.6,0.613,0,0,,4.7,7.6,0.613,2,3.5,0.582,3.9,5.6,9.5,1.1,0.8,1.6,1.5,4,11.4,adamsst01,123,105,adamsst01,3,Steven Adams,C,22,OKC,80,2014,15.5,0.621,0,0.46,12.5,16.1,14.4,4.3,1,3.3,14.1,12.6,,4.2,2.3,6.5,0.155,,0,0.2,0.2,1.1,adamsst01,3,Steven Adams,C,22,OKC,80,2014,,,,,100%,11.3,8.2,24,22,110,23,83,7,144,20,31,adamsst01,3,Steven Adams,C,22,OKC,80,2014,0.613,2.2,,1,0.721,0.258,0.016,0.005,0,,0.613,0.655,0.5,0.571,0.5,,,0.762,,,0.277,101,,,,,0,0,adamsst01
4,Arron Afflalo,SG,30,NYK,71,57,33.4,5,11.3,0.443,1.3,3.4,0.382,3.7,7.9,0.469,0.5,1.5,1.8,0.84,0.3,3.4,3.7,2,0.4,0.1,1.2,2,12.8,afflaar01,4,Arron Afflalo,SG,30,NYK,71,57,2371,5.4,12.1,0.443,1.4,3.6,0.382,4,8.5,0.469,1.7,2,0.84,0.3,3.7,4,2.2,0.4,0.2,1.2,2.2,13.8,afflaar01,105,112,afflaar01,4,Arron Afflalo,SG,30,NYK,71,2371,10.9,0.531,0.298,0.164,1.1,11,6.1,9.9,0.5,0.3,8.7,17.9,,1.8,0.9,2.7,0.055,,-1.3,-1.6,-2.9,-0.5,afflaar01,4,Arron Afflalo,SG,30,NYK,71,2371,1%,81%,18%,,,-3.6,-1.9,27,25,53,13,68,4,337,23,47,afflaar01,4,Arron Afflalo,SG,30,NYK,71,2371,0.443,14.8,,0.702,0.115,0.178,0.193,0.217,0.298,,0.469,0.609,0.458,0.455,0.416,0.382,,0.49,0.912,,0.003,2,,0.424,0.446,,0,0,afflaar01
5,Alexis Ajinça,C,27,NOP,59,17,14.6,2.5,5.3,0.476,0,0,0,2.5,5.3,0.478,0.476,0.9,1.1,0.839,1.3,3.3,4.6,0.5,0.3,0.6,0.9,2.3,6,ajincal01,5,Alexis Ajinça,C,27,NOP,59,17,861,6.3,13.2,0.476,0,0,0,6.3,13.1,0.478,2.2,2.6,0.839,3.1,8.1,11.2,1.3,0.8,1.5,2.3,5.6,14.7,ajincal01,100,107,ajincal01,5,Alexis Ajinça,C,27,NOP,59,861,13.8,0.514,0.003,0.197,9.3,25.9,17.3,5.8,1.1,3.4,13.6,20.4,,0.2,0.9,1,0.058,,-3.4,-0.6,-4,-0.4,ajincal01,5,Alexis Ajinça,C,27,NOP,59,861,,,,,100%,-3.3,0.7,13,21,62,13,29,7,77,6,12,ajincal01,5,Alexis Ajinça,C,27,NOP,59,861,0.476,9.4,,0.997,0.283,0.257,0.108,0.346,0.003,,0.478,0.674,0.346,0.324,0.468,0,,0.767,,,0.098,27,,0,,,0,0,ajincal01
6,Cole Aldrich,C,27,LAC,60,5,13.3,2.2,3.8,0.596,0,0,,2.2,3.8,0.596,0.596,1,1.4,0.714,1.4,3.4,4.8,0.8,0.8,1.1,1.1,2.3,5.5,aldrico01,6,Cole Aldrich,C,27,LAC,60,5,800,6,10.1,0.596,0,0,,6,10.1,0.596,2.7,3.8,0.714,3.9,9.1,13,2.3,2.1,3.1,2.9,6.3,14.8,aldrico01,113,94,aldrico01,6,Cole Aldrich,C,27,LAC,60,800,21.3,0.626,0,0.373,11.9,27.1,19.6,10,2.9,6.7,19.6,18.4,,1.4,2,3.5,0.209,,-0.9,3.4,2.4,0.9,aldrico01,6,Cole Aldrich,C,27,LAC,60,800,,,,3%,97%,0.3,-5,20,16,79,19,40,2,125,6,18,aldrico01,6,Cole Aldrich,C,27,LAC,60,800,0.596,2.8,,1,0.56,0.427,0.013,0,0,,0.596,0.667,0.521,0,,,,0.776,,,0.093,17,,,,,0,0,aldrico01
7,LaMarcus Aldridge,PF,30,SAS,74,74,30.6,7.2,14.1,0.513,0,0.2,0,7.2,13.9,0.521,0.513,3.5,4.1,0.858,2.4,6.2,8.5,1.5,0.5,1.1,1.3,2,18,aldrila01,7,LaMarcus Aldridge,PF,30,SAS,74,74,2261,8.5,16.6,0.513,0,0.3,0,8.5,16.4,0.521,4.1,4.8,0.858,2.8,7.3,10.1,1.8,0.6,1.3,1.6,2.4,21.2,aldrila01,114,99,aldrila01,7,LaMarcus Aldridge,PF,30,SAS,74,2261,22.4,0.565,0.015,0.289,9.2,22.2,15.9,8.1,0.9,2.8,7.8,25.9,,5.6,4.5,10.1,0.215,,2,0.3,2.3,2.5,aldrila01,7,LaMarcus Aldridge,PF,30,SAS,74,2261,,,,54%,46%,11.6,0.1,34,32,92,12,146,5,261,27,37,aldrila01,7,LaMarcus Aldridge,PF,30,SAS,74,2261,0.513,10,,0.985,0.279,0.191,0.211,0.303,0.015,,0.521,0.733,0.465,0.427,0.426,0,,0.66,,,0.047,47,,0.5,0,,0,0,aldrila01
8,Cliff Alexander,PF,20,POR,8,0,4.5,0.6,1.3,0.5,0,0,,0.6,1.3,0.5,0.5,0,0,,0.3,0.5,0.8,0,0.1,0.3,0.1,0.1,1.3,alexacl01,8,Cliff Alexander,PF,20,POR,8,0,36,5,10,0.5,0,0,,5,10,0.5,0,0,,2,4,6,0,1,2,1,1,10,alexacl01,100,107,alexacl01,8,Cliff Alexander,PF,20,POR,8,36,11.6,0.5,0,0,6,12.1,9,0,1.4,4.4,9.1,13.3,,0,0,0,0.052,,-0.5,0.5,0,0,alexacl01,8,Cliff Alexander,PF,20,POR,8,36,,,,42%,58%,-17,-17.9,0,1,1,0,0,0,0,0,1,alexacl01,8,Cliff Alexander,PF,20,POR,8,36,0.5,7.4,,1,0.4,0.3,0.1,0.2,0,,0.5,1,0,0,0.5,,,0.4,,,0.2,2,,,,,0,0,alexacl01
9,Lavoy Allen,PF,26,IND,79,28,20.2,2.4,4.7,0.516,0,0,,2.4,4.7,0.516,0.516,0.6,0.9,0.63,2.1,3.3,5.4,1,0.3,0.5,0.9,1.9,5.4,allenla01,9,Lavoy Allen,PF,26,IND,79,28,1599,4.3,8.3,0.516,0,0,,4.3,8.3,0.516,1,1.6,0.63,3.6,5.9,9.5,1.7,0.6,0.9,1.6,3.3,9.6,allenla01,110,104,allenla01,9,Lavoy Allen,PF,26,IND,79,1599,12.4,0.532,0,0.197,11.1,17.8,14.5,7.1,0.8,2.1,14.6,13,,1.6,2.1,3.7,0.11,,-1.7,0.1,-1.6,0.2,allenla01,9,Lavoy Allen,PF,26,IND,79,1599,,,1%,89%,11%,6.3,7.3,39,11,95,11,32,3,183,7,22,allenla01,9,Lavoy Allen,PF,26,IND,79,1599,0.516,7.6,,1,0.381,0.273,0.103,0.243,0,,0.516,0.709,0.446,0.289,0.389,,,0.691,,,0.081,28,,,,,0,0,allenla01
10,Tony Allen,SG,34,MEM,64,57,25.3,3.4,7.3,0.458,0.2,0.7,0.357,3.1,6.7,0.468,0.474,1.4,2.2,0.652,1.6,3,4.6,1.1,1.7,0.3,1.2,2.7,8.4,allento01,10,Tony Allen,SG,34,MEM,64,57,1620,4.8,10.4,0.458,0.3,0.9,0.357,4.4,9.5,0.468,2,3.1,0.652,2.3,4.3,6.6,1.6,2.4,0.4,1.7,3.9,11.9,allento01,101,105,allento01,10,Tony Allen,SG,34,MEM,64,1620,12.9,0.505,0.09,0.294,7,14.1,10.4,6.9,3.5,1,12.8,16.8,,0.5,1.9,2.4,0.072,,-2.2,1.2,-1,0.4,allento01,10,Tony Allen,SG,34,MEM,64,1620,6%,93%,2%,,,-0.6,3,34,25,68,8,64,4,151,14,59,allento01,10,Tony Allen,SG,34,MEM,64,1620,0.458,6.3,,0.91,0.582,0.168,0.047,0.113,0.09,,0.468,0.575,0.203,0.364,0.358,0.357,,0.58,0.933,,0.051,23,,0.714,0.367,,0,0,allento01
