Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional,ORtg,DRtg,Player-additional,Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,-9999,Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,10-Mar,16-Oct,16-3P,3P,,2P,0-3,10-Mar,16-Oct,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#,-9999
1,Alex Acker,SG,26,TOT,25,0,8,1.2,3,0.395,0.3,0.8,0.35,0.9,2.2,0.411,0.441,0.2,0.4,0.5,0.3,0.6,1,0.5,0.2,0.2,0.3,0.4,2.9,ackeral01,1,Alex Acker,SG,26,TOT,25,0,199,5.4,13.7,0.395,1.3,3.6,0.35,4.2,10.1,0.411,0.9,1.8,0.5,1.4,2.9,4.3,2.2,0.9,0.7,1.3,1.6,13,ackeral01,94,114,ackeral01,1,Alex Acker,SG,26,TOT,25,199,10.4,0.448,0.263,0.132,4.5,9.6,7,10.2,1.3,1.5,8,20.1,,-0.1,0.1,0,-0.011,,-1.8,-1.7,-3.6,-0.1,ackeral01,1,Alex Acker,SG,26,TOT,25,199,15%,75%,10%,,,-0.3,8.9,1,5,5,1,5,1,29,0,3,ackeral01,1,Alex Acker,SG,26,TOT,25,199,0.395,14.7,,0.737,0.224,0.066,0.118,0.329,0.263,,0.411,0.294,0.4,0.556,0.44,0.35,,0.478,0.714,,0.013,0,,0.45,0.222,,0,0,ackeral01
1,Alex Acker,SG,26,DET,7,0,2.9,0.6,1.6,0.364,0,0.6,0,0.6,1,0.571,0.364,0.1,0.3,0.5,0,0.3,0.3,0.1,0.3,0.1,0,0,1.3,ackeral01,1,Alex Acker,SG,26,DET,7,0,20,7.2,19.8,0.364,0,7.2,0,7.2,12.6,0.571,1.8,3.6,0.5,0,3.6,3.6,1.8,3.6,1.8,0,0,16.2,ackeral01,86,98,ackeral01,1,Alex Acker,SG,26,DET,7,20,16,0.379,0.364,0.182,0,12,5.9,9.1,5.5,3.9,0,28.3,,0,0,0,0.009,,-0.9,4.7,3.8,0,ackeral01,1,Alex Acker,SG,26,DET,7,20,,100%,,,,44,44.7,0,0,0,0,1,1,3,0,0,ackeral01,1,Alex Acker,SG,26,DET,7,20,0.364,17.8,,0.636,0.091,0.091,0.091,0.364,0.364,,0.571,1,0,0,0.75,0,,0.5,,,0,0,,0.5,0,,0,0,ackeral01
1,Alex Acker,SG,26,LAC,18,0,9.9,1.4,3.6,0.4,0.4,0.9,0.438,1.1,2.7,0.388,0.454,0.2,0.4,0.5,0.4,0.8,1.2,0.6,0.2,0.2,0.4,0.5,3.5,ackeral01,1,Alex Acker,SG,26,LAC,18,0,179,5.2,13.1,0.4,1.4,3.2,0.438,3.8,9.9,0.388,0.8,1.6,0.5,1.6,2.8,4.4,2.2,0.6,0.6,1.4,1.8,12.7,ackeral01,95,115,ackeral01,1,Alex Acker,SG,26,LAC,18,179,9.8,0.46,0.246,0.123,5,9.3,7.1,10.3,0.9,1.2,9.3,19.2,,-0.1,0,0,-0.013,,-1.9,-2.5,-4.4,-0.1,ackeral01,1,Alex Acker,SG,26,LAC,18,179,17%,72%,11%,,,-5.3,4.9,1,5,5,1,4,0,26,0,3,ackeral01,1,Alex Acker,SG,26,LAC,18,179,0.4,14.1,,0.754,0.246,0.062,0.123,0.323,0.246,,0.388,0.25,0.5,0.625,0.381,0.438,,0.474,0.714,,0.015,0,,0.438,0.286,,0,0,ackeral01
2,Hassan Adams,SG,24,TOR,12,0,4.3,0.3,1.1,0.308,0,0,,0.3,1.1,0.308,0.308,0.3,0.5,0.5,0.1,0.5,0.6,0.1,0.1,0.1,0.3,0.3,0.9,adamsha01,2,Hassan Adams,SG,24,TOR,12,0,52,2.8,9,0.308,0,0,,2.8,9,0.308,2.1,4.2,0.5,0.7,4.2,4.8,0.7,0.7,0.7,2.8,2.8,7.6,adamsha01,63,111,adamsha01,2,Hassan Adams,SG,24,TOR,12,52,0.4,0.352,0,0.462,2.3,13.4,7.9,2.8,1,1.5,20.4,17.4,,-0.2,0,-0.2,-0.144,,-7.5,-1.9,-9.4,-0.1,adamsha01,2,Hassan Adams,SG,24,TOR,12,52,,35%,65%,,,-15,-12.2,2,1,3,0,3,1,2,0,4,adamsha01,2,Hassan Adams,SG,24,TOR,12,52,0.308,7.9,,1,0.462,0.154,0.154,0.231,0,,0.308,0.333,0,0,0.667,,,0.5,,,0.077,1,,,,,0,0,adamsha01
3,Arron Afflalo,SG,23,DET,74,8,16.7,1.8,4.1,0.437,0.6,1.4,0.402,1.2,2.6,0.456,0.508,0.8,1,0.817,0.4,1.4,1.8,0.6,0.4,0.2,0.6,1.9,4.9,afflaar01,3,Arron Afflalo,SG,23,DET,74,8,1234,3.8,8.8,0.437,1.3,3.1,0.402,2.6,5.6,0.456,1.7,2.1,0.817,0.9,3,3.9,1.3,0.8,0.4,1.3,4.2,10.6,afflaar01,107,110,afflaar01,3,Arron Afflalo,SG,23,DET,74,1234,8.9,0.548,0.357,0.237,2.8,10.1,6.4,5.5,1.3,0.8,11.5,14.5,,0.8,1,1.8,0.069,,-2.8,0.2,-2.6,-0.2,afflaar01,3,Arron Afflalo,SG,23,DET,74,1234,,55%,45%,,,0.1,0.8,14,10,77,3,25,1,95,7,14,afflaar01,3,Arron Afflalo,SG,23,DET,74,1234,0.437,15.8,,0.643,0.24,0.023,0.07,0.31,0.357,,0.456,0.625,0.429,0.333,0.355,0.402,,0.534,0.93,,0.003,1,,0.654,0.429,,0,0,afflaar01
4,Maurice Ager,SG,24,NJN,20,0,4.9,0.8,2.2,0.349,0,0.3,0,0.8,1.9,0.405,0.349,0.2,0.4,0.5,0.2,0.4,0.5,0.2,0.1,0.1,0.2,0.9,1.7,agerma01,4,Maurice Ager,SG,24,NJN,20,0,97,5.6,16,0.349,0,2.2,0,5.6,13.7,0.405,1.5,3,0.5,1.1,2.6,3.7,1.1,0.4,0.7,1.5,6.3,12.6,agerma01,77,115,agerma01,4,Maurice Ager,SG,24,NJN,20,97,2.2,0.365,0.14,0.186,3.6,8.7,6.1,5.3,0.6,1.7,7.9,24.4,,-0.3,0,-0.3,-0.133,,-7.9,-2.8,-10.7,-0.2,agerma01,4,Maurice Ager,SG,24,NJN,20,97,71%,28%,2%,,,-5.6,-2.9,3,0,8,1,4,2,7,0,4,agerma01,4,Maurice Ager,SG,24,NJN,20,97,0.349,11.2,,0.86,0.442,0.023,0.047,0.349,0.14,,0.405,0.632,0,0,0.2,0,,0.467,,,0.047,1,,0,,,0,0,agerma01
5,Blake Ahearn,PG,24,SAS,3,0,6.3,0.7,2,0.333,0.7,1.3,0.5,0,0.7,0,0.5,0.7,0.7,1,0,0.3,0.3,0.7,0.3,0,0.3,1,2.7,ahearbl01,5,Blake Ahearn,PG,24,SAS,3,0,19,3.8,11.4,0.333,3.8,7.6,0.5,0,3.8,0,3.8,3.8,1,0,1.9,1.9,3.8,1.9,0,1.9,5.7,15.2,ahearbl01,113,104,ahearbl01,5,Blake Ahearn,PG,24,SAS,3,19,12.9,0.581,0.667,0.333,0,6.2,3.1,16,2.9,0,12.7,20.1,,0,0,0.1,0.149,,-2.2,1.4,-0.9,0,ahearbl01,5,Blake Ahearn,PG,24,SAS,3,19,100%,,,,,18.6,14.6,0,1,3,0,0,0,5,0,1,ahearbl01,5,Blake Ahearn,PG,24,SAS,3,19,0.333,18.4,,0.333,0.167,0.167,0,0,0.667,,0,0,0,,,0.5,,,1,,0,0,,0.25,1,,0,0,ahearbl01
6,Alexis Ajinça,PF,20,CHA,31,4,5.9,0.8,2.2,0.362,0,0.1,0,0.8,2.2,0.373,0.362,0.6,0.9,0.714,0.3,0.7,1,0.1,0.2,0.2,0.4,1.1,2.3,ajincal01,6,Alexis Ajinça,PF,20,CHA,31,4,182,4.9,13.6,0.362,0,0.4,0,4.9,13.3,0.373,4,5.5,0.714,1.8,4.2,5.9,0.6,1.4,1.2,2.4,6.7,13.8,ajincal01,86,104,ajincal01,6,Alexis Ajinça,PF,20,CHA,31,182,7,0.43,0.029,0.406,6.2,14.2,10.2,2.8,2.1,2.7,12.9,24.2,,-0.3,0.3,-0.1,-0.018,,-7.6,0.1,-7.5,-0.3,ajincal01,6,Alexis Ajinça,PF,20,CHA,31,182,,,,72%,28%,1.2,2.7,4,2,14,3,8,4,7,0,5,ajincal01,6,Alexis Ajinça,PF,20,CHA,31,182,0.362,13.3,,0.971,0.174,0.159,0.159,0.478,0.029,,0.373,0.417,0.364,0.273,0.394,0,,0.72,,,0.058,3,,0,,,0,0,ajincal01
7,LaMarcus Aldridge,PF,23,POR,81,81,37.1,7.4,15.3,0.484,0.1,0.3,0.25,7.3,15,0.489,0.486,3.2,4.1,0.781,2.9,4.6,7.5,1.9,1,1,1.5,2.6,18.1,aldrila01,7,LaMarcus Aldridge,PF,23,POR,81,81,3004,7.2,14.9,0.484,0.1,0.3,0.25,7.1,14.6,0.489,3.1,4,0.781,2.8,4.4,7.3,1.9,0.9,0.9,1.5,2.5,17.6,aldrila01,115,108,aldrila01,7,LaMarcus Aldridge,PF,23,POR,81,3004,19.1,0.529,0.023,0.269,9.5,15.6,12.5,9.3,1.4,2,8,23.7,,6.1,3.3,9.5,0.151,,1.7,-0.4,1.3,2.5,aldrila01,7,LaMarcus Aldridge,PF,23,POR,81,3004,,,,82%,18%,8.8,10.2,27,42,113,34,156,3,398,33,51,aldrila01,7,LaMarcus Aldridge,PF,23,POR,81,3004,0.484,11,,0.977,0.245,0.211,0.179,0.343,0.023,,0.489,0.671,0.45,0.422,0.418,0.25,,0.567,1,,0.098,108,,0.643,0.389,,3,0,aldrila01
8,Joe Alexander,SF,22,MIL,59,0,12.1,1.7,4.2,0.416,0.3,0.8,0.348,1.5,3.4,0.432,0.449,1,1.4,0.699,0.7,1.2,1.9,0.7,0.3,0.5,0.9,1.8,4.7,alexajo01,8,Joe Alexander,SF,22,MIL,59,0,716,5.1,12.3,0.416,0.8,2.3,0.348,4.3,10,0.432,2.9,4.2,0.699,2.2,3.6,5.8,2.1,0.8,1.5,2.6,5.4,14,alexajo01,96,108,alexajo01,8,Joe Alexander,SF,22,MIL,59,716,10.1,0.494,0.188,0.339,6.9,12.3,9.5,9.5,1.1,3.4,15.6,20.9,,-0.3,0.7,0.4,0.03,,-3.4,-0.1,-3.5,-0.3,alexajo01,8,Joe Alexander,SF,22,MIL,59,716,,4%,60%,35%,1%,-3.3,-2.5,25,13,60,7,38,11,90,6,20,alexajo01,8,Joe Alexander,SF,22,MIL,59,716,0.416,12.2,,0.812,0.302,0.094,0.18,0.237,0.188,,0.432,0.622,0.217,0.341,0.345,0.348,,0.709,0.938,,0.061,14,,0.37,0.353,,0,0,alexajo01
