Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional,ORtg,DRtg,Player-additional,Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,-9999,Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,10-Mar,16-Oct,16-3P,3P,,2P,0-3,10-Mar,16-Oct,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#,-9999
1,Álex Abrines,SG,24,OKC,75,8,15.1,1.5,3.9,0.395,1.1,2.9,0.38,0.4,0.9,0.443,0.54,0.5,0.6,0.848,0.3,1.2,1.5,0.4,0.5,0.1,0.3,1.7,4.7,abrinal01,1,Álex Abrines,SG,24,OKC,75,8,1134,3.7,9.2,0.395,2.7,7,0.38,1,2.2,0.443,1.2,1.5,0.848,0.8,2.8,3.6,0.9,1.2,0.3,0.8,3.9,11.2,abrinal01,116,110,abrinal01,1,Álex Abrines,SG,24,OKC,75,1134,9,0.567,0.759,0.158,2.5,8.9,5.6,3.4,1.7,0.6,7.4,12.7,,1.3,1,2.2,0.094,,-1.9,0.4,-1.5,0.1,abrinal01,1,Álex Abrines,SG,24,OKC,75,1134,2%,88%,11%,,,0.1,-4.4,14,7,68,1,15,3,66,4,9,abrinal01,1,Álex Abrines,SG,24,OKC,75,1134,0.395,20.3,,0.241,0.127,0.041,0.027,0.041,0.759,,0.443,0.595,0.25,0.625,0.083,0.38,,0.548,1,,0.034,9,,0.253,0.375,,1,0,abrinal01
2,Quincy Acy,PF,27,BRK,70,8,19.4,1.9,5.2,0.356,1.5,4.2,0.349,0.4,1,0.384,0.496,0.7,0.9,0.817,0.6,3.1,3.7,0.8,0.5,0.4,0.9,2.1,5.9,acyqu01,2,Quincy Acy,PF,27,BRK,70,8,1359,3.4,9.7,0.356,2.7,7.7,0.349,0.7,1.9,0.384,1.3,1.6,0.817,1.1,5.7,6.8,1.5,0.9,0.8,1.6,3.9,10.9,acyqu01,99,110,acyqu01,2,Quincy Acy,PF,27,BRK,70,1359,8.2,0.525,0.8,0.164,3.1,17.1,10,6,1.2,1.6,13.3,14.4,,-0.1,1.1,1,0.036,,-2.6,0.1,-2.5,-0.2,acyqu01,2,Quincy Acy,PF,27,BRK,70,1359,,,,58%,42%,-2.7,1.8,21,13,67,15,23,9,145,1,13,acyqu01,2,Quincy Acy,PF,27,BRK,70,1359,0.356,20.7,,0.2,0.115,0.027,0.025,0.033,0.8,,0.384,0.5,0,0.333,0.333,0.349,,0.857,0.99,,0.036,9,,0.305,0.404,,0,0,acyqu01
3,Steven Adams,C,24,OKC,76,76,32.7,5.9,9.4,0.629,0,0,0,5.9,9.3,0.631,0.629,2.1,3.8,0.559,5.1,4,9,1.2,1.2,1,1.7,2.8,13.9,adamsst01,3,Steven Adams,C,24,OKC,76,76,2487,6.5,10.3,0.629,0,0,0,6.5,10.3,0.631,2.3,4.1,0.559,5.6,4.4,9.9,1.3,1.3,1.1,1.9,3.1,15.3,adamsst01,125,107,adamsst01,3,Steven Adams,C,24,OKC,76,2487,20.6,0.63,0.003,0.402,16.6,13.9,15.3,5.5,1.8,2.8,13.3,16.7,,6.7,3,9.7,0.187,,1.7,-0.6,1.1,2,adamsst01,3,Steven Adams,C,24,OKC,76,2487,,,,,100%,5.8,6.8,26,34,76,41,112,4,213,32,47,adamsst01,3,Steven Adams,C,24,OKC,76,2487,0.629,2.6,,0.997,0.708,0.233,0.052,0.004,0.003,,0.631,0.688,0.494,0.514,0,0,,0.69,,,0.242,150,,0,,,2,0,adamsst01
4,Bam Adebayo,C,20,MIA,69,19,19.8,2.5,4.9,0.512,0,0.1,0,2.5,4.8,0.523,0.512,1.9,2.6,0.721,1.7,3.8,5.5,1.5,0.5,0.6,1,2,6.9,adebaba01,4,Bam Adebayo,C,20,MIA,69,19,1368,4.6,8.9,0.512,0,0.2,0,4.6,8.8,0.523,3.4,4.7,0.721,3.1,6.9,10,2.7,0.8,1.1,1.7,3.6,12.6,adebaba01,116,105,adebaba01,4,Bam Adebayo,C,20,MIA,69,1368,15.7,0.57,0.021,0.526,9.7,21.6,15.6,11,1.2,2.5,13.6,15.9,,2.3,1.9,4.2,0.148,,-1.1,0.7,-0.4,0.6,adebaba01,4,Bam Adebayo,C,20,MIA,69,1368,,,,4%,96%,0.5,-0.7,16,24,67,18,81,10,260,19,29,adebaba01,4,Bam Adebayo,C,20,MIA,69,1368,0.512,4.3,,0.979,0.624,0.232,0.082,0.041,0.021,,0.523,0.642,0.329,0.321,0.214,0,,0.701,,,0.294,91,,0,,,4,0,adebaba01
5,Arron Afflalo,SG,32,ORL,53,3,12.9,1.2,3.1,0.401,0.5,1.3,0.386,0.7,1.7,0.413,0.485,0.4,0.5,0.846,0.1,1.2,1.2,0.6,0.1,0.2,0.4,1.1,3.4,afflaar01,5,Arron Afflalo,SG,32,ORL,53,3,682,3.4,8.6,0.401,1.4,3.7,0.386,2,4.9,0.413,1.2,1.4,0.846,0.2,3.3,3.5,1.6,0.2,0.5,1.1,3,9.4,afflaar01,98,115,afflaar01,5,Arron Afflalo,SG,32,ORL,53,682,5.8,0.516,0.432,0.16,0.6,10.1,5.3,6.2,0.3,1.1,10.8,12.5,,-0.1,0.2,0.1,0.009,,-3.8,-1.5,-5.4,-0.6,afflaar01,5,Arron Afflalo,SG,32,ORL,53,682,5%,77%,18%,,,-6.4,-1.7,10,3,31,4,11,2,76,0,8,afflaar01,5,Arron Afflalo,SG,32,ORL,53,682,0.401,17.1,,0.568,0.093,0.123,0.154,0.198,0.432,,0.413,0.733,0.45,0.36,0.281,0.386,,0.632,0.926,,0,0,,0.414,0.276,,0,0,afflaar01
6,Cole Aldrich,C,29,MIN,21,0,2.3,0.2,0.7,0.333,0,0,,0.2,0.7,0.333,0.333,0.1,0.3,0.333,0.1,0.6,0.7,0.1,0.1,0,0,0.5,0.6,aldrico01,6,Cole Aldrich,C,29,MIN,21,0,49,3.7,11,0.333,0,0,,3.7,11,0.333,1.5,4.4,0.333,2.2,8.8,11,2.2,1.5,0.7,0.7,8.1,8.8,aldrico01,85,107,aldrico01,6,Cole Aldrich,C,29,MIN,21,49,6,0.34,0,0.4,7,28.6,17.6,8.2,2,1.8,5.4,16.8,,-0.1,0.1,0,-0.013,,-6.8,-0.7,-7.5,-0.1,aldrico01,6,Cole Aldrich,C,29,MIN,21,49,,,,,100%,-2,-4.6,0,0,2,1,2,0,7,0,1,aldrico01,6,Cole Aldrich,C,29,MIN,21,49,0.333,3.2,,1,0.533,0.467,0,0,0,,0.333,0.25,0.429,,,,,0.8,,,0.067,1,,,,,0,0,aldrico01
7,LaMarcus Aldridge,C,32,SAS,75,75,33.5,9.2,18,0.51,0.4,1.2,0.293,8.8,16.7,0.526,0.52,4.5,5.3,0.837,3.3,5.2,8.5,2,0.6,1.2,1.5,2.1,23.1,aldrila01,7,LaMarcus Aldridge,C,32,SAS,75,75,2509,9.9,19.3,0.51,0.4,1.3,0.293,9.5,18,0.526,4.8,5.7,0.837,3.5,5.6,9.1,2.2,0.6,1.3,1.6,2.3,24.9,aldrila01,118,105,aldrila01,7,LaMarcus Aldridge,C,32,SAS,75,2509,25,0.57,0.068,0.296,10.8,17.3,14,11.3,0.9,3,6.8,29.1,,7.4,3.5,10.9,0.209,,4.3,-0.4,3.9,3.7,aldrila01,7,LaMarcus Aldridge,C,32,SAS,75,2509,,,,38%,62%,5.5,6.7,34,35,96,18,185,3,373,53,44,aldrila01,7,LaMarcus Aldridge,C,32,SAS,75,2509,0.51,9.8,,0.932,0.275,0.212,0.256,0.189,0.068,,0.526,0.735,0.446,0.438,0.431,0.293,,0.502,0.963,,0.036,46,,0.163,0.467,,1,0,aldrila01
8,Jarrett Allen,C,19,BRK,72,31,20,3.3,5.5,0.589,0.1,0.2,0.333,3.2,5.3,0.599,0.596,1.6,2,0.776,2,3.4,5.4,0.7,0.4,1.2,1.1,2,8.2,allenja01,8,Jarrett Allen,C,19,BRK,72,31,1441,5.8,9.9,0.589,0.1,0.4,0.333,5.7,9.5,0.599,2.8,3.7,0.776,3.6,6.1,9.7,1.2,0.7,2.2,2,3.7,14.7,allenja01,119,108,allenja01,8,Jarrett Allen,C,19,BRK,72,1441,17.5,0.636,0.038,0.37,10.5,18.1,14.3,5.4,0.9,4.6,15.1,16.3,,2.7,1.5,4.2,0.141,,-0.9,0.1,-0.8,0.5,allenja01,8,Jarrett Allen,C,19,BRK,72,1441,,,,2%,98%,-4.1,-0.2,28,22,95,23,71,1,122,11,39,allenja01,8,Jarrett Allen,C,19,BRK,72,1441,0.589,3.7,,0.962,0.668,0.232,0.038,0.023,0.038,,0.599,0.698,0.38,0.333,0.333,0.333,,0.843,1,,0.353,117,,0.867,0.385,,2,1,allenja01
9,Kadeem Allen,PG,25,BOS,18,1,5.9,0.3,1.2,0.273,0,0.6,0,0.3,0.6,0.545,0.273,0.4,0.5,0.778,0.2,0.4,0.6,0.7,0.2,0.1,0.5,0.8,1.1,allenka01,9,Kadeem Allen,PG,25,BOS,18,1,107,2,7.4,0.273,0,3.7,0,2,3.7,0.545,2.4,3,0.778,1.3,2.4,3.7,4,1,0.7,3,5,6.4,allenka01,78,106,allenka01,9,Kadeem Allen,PG,25,BOS,18,107,2.6,0.366,0.5,0.409,4.1,7.1,5.6,15.2,1.4,1.6,25.7,14.6,,-0.2,0.1,-0.1,-0.038,,-8.3,0.6,-7.7,-0.2,allenka01,9,Kadeem Allen,PG,25,BOS,18,107,69%,31%,,,,-5.6,-9.5,5,1,7,3,3,1,27,1,1,allenka01,9,Kadeem Allen,PG,25,BOS,18,107,0.273,14.4,,0.5,0.318,0.091,0.091,0,0.5,,0.545,0.571,0.5,0.5,,0,,0.5,,,0.045,1,,0.364,0,,0,0,allenka01
10,Tony Allen,SF,36,NOP,22,0,12.4,2,4.1,0.484,0.2,0.5,0.333,1.8,3.6,0.506,0.505,0.5,1,0.524,0.9,1.2,2.1,0.4,0.5,0.1,0.9,2.2,4.7,allento01,10,Tony Allen,SF,36,NOP,22,0,273,5.8,12,0.484,0.5,1.6,0.333,5.3,10.4,0.506,1.5,2.8,0.524,2.6,3.6,6.2,1.2,1.5,0.4,2.5,6.5,13.6,allento01,95,110,allento01,10,Tony Allen,SF,36,NOP,22,273,8.7,0.514,0.132,0.231,8.2,10.4,9.3,4.6,1.9,0.9,15.9,18.9,,-0.2,0.2,0.1,0.017,,-5.2,-0.3,-5.5,-0.2,allento01,10,Tony Allen,SF,36,NOP,22,273,,18%,73%,9%,,3,1.3,10,2,22,4,11,3,20,1,11,allento01,10,Tony Allen,SF,36,NOP,22,273,0.484,6.1,,0.868,0.659,0.154,0,0.055,0.132,,0.506,0.567,0.357,,0.2,0.333,,0.7,1,,0.022,2,,0.333,0.75,,1,0,allento01
