,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional,Rk.1,Player.1,Pos.1,Age.1,Tm.1,G.1,GS.1,MP.1,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,2P.1,2PA.1,2P%.1,FT.1,FTA.1,FT%.1,ORB.1,DRB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,PTS.1,Unnamed: 60,ORtg,DRtg,Player-additional.1,Rk.2,Player.2,Pos.2,Age.2,Tm.2,G.2,MP.2,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 83,OWS,DWS,WS,WS/48,Unnamed: 88,OBPM,DBPM,BPM,VORP,Player-additional.2,Rk.3,Player.3,Pos.3,Age.3,Tm.3,G.3,MP.3,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot.1,Off..1,PGA,And1,Blkd,-9999,Rk.4,Player.4,Pos.4,Age.4,Tm.4,G.4,MP.4,FG%.2,Dist.,Unnamed: 127,2P.2,0-3,10-Mar,16-Oct,16-3P,3P.2,Unnamed: 134,2P.3,0-3.1,10-Mar.1,16-Oct.1,16-3P.1,3P.3,Unnamed: 141,2P.4,3P.4,Unnamed: 144,%FGA,#,Unnamed: 147,%3PA,3P%.2,Unnamed: 150,Att.,#.1,-9999.1,Season
223,170,Darius Garland,SG,20,CLE,59,59,30.9,4.7,11.8,0.401,1.8,5.0,0.355,3.0,6.8,0.434,0.476,1.1,1.2,0.875,0.5,1.4,1.9,3.9,0.7,0.1,2.6,1.6,12.3,garlada01,170,Darius Garland,SG,20,CLE,59,59,1824,7.5,18.6,0.401,2.8,7.9,0.355,4.7,10.7,0.434,1.7,1.9,0.875,0.7,2.2,3.0,6.1,1.1,0.1,4.0,2.5,19.4,,96.0,119,garlada01,170,Darius Garland,SG,20,CLE,59,1824,8.5,0.498,0.423,0.103,1.6,5.2,3.4,18.5,1.1,0.2,17.1,20.7,,-1.3,0.0,-1.3,-0.034,,-2.7,-2.8,-5.5,-1.7,garlada01,170,Darius Garland,SG,20,CLE,59,1824,25%,75%,,,,-8.9,-2.1,90,32,49,5,32,15,550,5,38,garlada01,170,Darius Garland,SG,20,CLE,59,1824,0.401,16.0,,0.577,0.18,0.153,0.149,0.094,0.423,,0.434,0.468,0.439,0.423,0.379,0.355,,0.28,0.733,,0.0,0,,0.182,0.389,,0,0,garlada01,2020
224,171,Marc Gasol,C,35,TOR,44,43,26.4,2.7,6.3,0.427,1.3,3.4,0.385,1.4,3.0,0.473,0.529,0.8,1.1,0.735,0.7,5.5,6.3,3.3,0.8,0.9,1.3,2.8,7.5,gasolma01,171,Marc Gasol,C,35,TOR,44,43,1161,4.9,11.4,0.427,2.3,6.1,0.385,2.5,5.4,0.473,1.5,2.0,0.735,1.3,10.0,11.3,6.0,1.4,1.6,2.4,5.1,13.6,,110.0,103,gasolma01,171,Marc Gasol,C,35,TOR,44,1161,11.8,0.551,0.53,0.176,2.9,21.7,12.5,17.3,1.4,3.2,16.4,13.2,,0.8,2.2,3.0,0.124,,-1.2,2.8,1.6,1.1,gasolma01,171,Marc Gasol,C,35,TOR,44,1161,,,,,100%,10.6,5.9,28,9,61,12,14,9,357,5,7,gasolma01,171,Marc Gasol,C,35,TOR,44,1161,0.427,17.3,,0.47,0.125,0.179,0.115,0.05,0.53,,0.473,0.629,0.54,0.375,0.071,0.385,,0.661,1.0,,0.032,8,,0.095,0.429,,0,0,gasolma01,2020
225,172,Rudy Gay,PF,33,SAS,67,5,21.8,4.0,8.9,0.446,1.1,3.3,0.336,2.9,5.6,0.511,0.508,1.8,2.0,0.882,0.9,4.5,5.4,1.7,0.5,0.5,1.3,1.5,10.8,gayru01,172,Rudy Gay,PF,33,SAS,67,5,1461,8.7,19.5,0.446,2.4,7.2,0.336,6.3,12.3,0.511,3.9,4.4,0.882,2.0,9.8,11.8,3.7,1.1,1.1,2.9,3.4,23.7,,107.0,113,gayru01,172,Rudy Gay,PF,33,SAS,67,1461,15.4,0.553,0.369,0.228,4.5,22.2,13.4,11.3,1.1,2.0,11.8,22.0,,0.9,1.1,2.1,0.068,,0.0,-0.9,-0.8,0.4,gayru01,172,Rudy Gay,PF,33,SAS,67,1461,,,1%,92%,8%,-0.4,1.3,32,36,55,7,60,8,263,11,22,gayru01,172,Rudy Gay,PF,33,SAS,67,1461,0.446,15.3,,0.631,0.168,0.156,0.193,0.114,0.369,,0.511,0.72,0.366,0.47,0.471,0.336,,0.49,0.851,,0.047,23,,0.268,0.288,,1,0,gayru01,2020
226,173,Paul George,SF,29,LAC,48,48,29.6,7.1,16.3,0.439,3.3,7.9,0.412,3.9,8.4,0.464,0.539,4.0,4.5,0.876,0.5,5.2,5.7,3.9,1.4,0.4,2.6,2.4,21.5,georgpa01,173,Paul George,SF,29,LAC,48,48,1419,11.4,26.1,0.439,5.2,12.7,0.412,6.2,13.4,0.464,6.3,7.2,0.876,0.8,8.3,9.1,6.2,2.3,0.7,4.2,3.8,34.4,,112.0,106,georgpa01,173,Paul George,SF,29,LAC,48,1419,21.1,0.589,0.487,0.277,1.8,17.7,10.0,21.1,2.3,1.2,12.5,29.6,,2.5,2.3,4.8,0.161,,3.8,1.1,4.9,2.5,georgpa01,173,Paul George,SF,29,LAC,48,1419,,4%,83%,13%,,8.3,3.1,70,33,50,18,84,17,448,17,38,georgpa01,173,Paul George,SF,29,LAC,48,1419,0.439,17.4,,0.513,0.15,0.125,0.113,0.125,0.487,,0.464,0.684,0.357,0.409,0.357,0.412,,0.339,0.65,,0.02,15,,0.181,0.565,,2,0,georgpa01,2020
227,174,Taj Gibson,C,34,NYK,62,56,16.5,2.7,4.6,0.584,0.1,0.2,0.286,2.6,4.4,0.599,0.591,0.7,0.9,0.732,1.8,2.5,4.3,0.8,0.4,0.5,0.8,2.0,6.1,gibsota01,174,Taj Gibson,C,34,NYK,62,56,1025,7.9,13.6,0.584,0.2,0.7,0.286,7.7,12.9,0.599,1.9,2.7,0.732,5.3,7.4,12.7,2.5,1.3,1.4,2.2,5.8,18.0,,121.0,113,gibsota01,174,Taj Gibson,C,34,NYK,62,1025,16.1,0.61,0.049,0.196,11.2,16.7,13.9,7.6,1.3,2.8,13.1,14.8,,1.8,0.8,2.6,0.12,,-0.8,-0.3,-1.1,0.2,gibsota01,174,Taj Gibson,C,34,NYK,62,1025,,,,,100%,-12.0,-8.3,7,12,56,19,29,3,131,10,17,gibsota01,174,Taj Gibson,C,34,NYK,62,1025,0.584,6.7,,0.951,0.577,0.136,0.08,0.157,0.049,,0.599,0.703,0.436,0.478,0.422,0.286,,0.724,1.0,,0.14,34,,0.571,0.25,,0,0,gibsota01,2020
228,175,Harry Giles,C,21,SAC,46,17,14.5,3.0,5.5,0.554,0.0,0.0,0.0,3.0,5.4,0.558,0.554,0.8,1.1,0.776,0.9,3.2,4.1,1.3,0.5,0.4,1.0,2.6,6.9,gilesha01,175,Harry Giles,C,21,SAC,46,17,667,10.1,18.3,0.554,0.0,0.1,0.0,10.1,18.1,0.558,2.8,3.6,0.776,3.1,10.5,13.7,4.4,1.6,1.3,3.2,8.7,23.0,,111.0,109,gilesha01,175,Harry Giles,C,21,SAC,46,667,16.4,0.58,0.008,0.195,7.1,25.1,15.9,14.2,1.6,2.6,13.9,20.6,,0.8,0.8,1.6,0.112,,-2.2,0.9,-1.3,0.1,gilesha01,175,Harry Giles,C,21,SAC,46,667,,,,1%,99%,-8.8,-8.2,16,12,68,13,21,4,137,3,16,gilesha01,175,Harry Giles,C,21,SAC,46,667,0.554,7.6,,0.992,0.402,0.259,0.167,0.163,0.008,,0.558,0.802,0.369,0.429,0.39,0.0,,0.748,,,0.171,38,,0.5,0.0,,0,0,gilesha01,2020
229,176,Shai Gilgeous-Alexander,SG,21,OKC,70,70,34.7,6.8,14.5,0.471,1.2,3.6,0.347,5.6,10.9,0.512,0.514,4.1,5.1,0.807,0.7,5.2,5.9,3.3,1.1,0.7,1.9,1.7,19.0,gilgesh01,176,Shai Gilgeous-Alexander,SG,21,OKC,70,70,2428,9.6,20.3,0.471,1.7,5.0,0.347,7.8,15.3,0.512,5.8,7.1,0.807,0.9,7.3,8.2,4.6,1.6,0.9,2.7,2.3,26.6,,111.0,109,gilgesh01,176,Shai Gilgeous-Alexander,SG,21,OKC,70,2428,17.7,0.568,0.247,0.352,2.2,16.1,9.4,15.2,1.6,1.7,10.3,23.7,,3.1,3.0,6.1,0.121,,1.3,0.4,1.7,2.2,gilgesh01,176,Shai Gilgeous-Alexander,SG,21,OKC,70,2428,6%,78%,17%,,,2.7,3.4,61,40,53,15,148,9,561,35,62,gilgesh01,176,Shai Gilgeous-Alexander,SG,21,OKC,70,2428,0.471,11.4,,0.753,0.286,0.263,0.136,0.068,0.247,,0.512,0.617,0.404,0.5,0.507,0.347,,0.235,0.54,,0.019,19,,0.127,0.438,,0,0,gilgesh01,2020
230,177,Rudy Gobert,C,27,UTA,68,68,34.3,5.7,8.2,0.693,0.0,0.0,,5.7,8.2,0.693,0.693,3.7,5.9,0.63,3.4,10.1,13.5,1.5,0.8,2.0,1.9,3.2,15.1,goberru01,177,Rudy Gobert,C,27,UTA,68,68,2333,8.1,11.6,0.693,0.0,0.0,,8.1,11.6,0.693,5.3,8.4,0.63,4.8,14.3,19.1,2.1,1.1,2.8,2.7,4.5,21.4,,130.0,104,goberru01,177,Rudy Gobert,C,27,UTA,68,2333,21.7,0.699,0.0,0.724,11.2,31.3,21.6,6.5,1.1,4.8,15.0,16.2,,6.5,4.2,10.7,0.221,,1.7,1.9,3.6,3.3,goberru01,177,Rudy Gobert,C,27,UTA,68,2333,,,,,100%,5.9,10.9,30,36,110,35,181,14,251,34,51,goberru01,177,Rudy Gobert,C,27,UTA,68,2333,0.693,2.1,,1.0,0.837,0.158,0.005,0.0,0.0,,0.693,0.755,0.386,0.0,,,,0.749,,,0.425,221,,,,,0,0,goberru01,2020
231,178,Brandon Goodwin,PG,24,ATL,34,1,12.6,2.2,5.6,0.4,0.8,2.6,0.299,1.5,3.0,0.485,0.468,0.8,0.9,0.933,0.3,1.8,2.1,1.5,0.4,0.1,0.9,1.3,6.1,goodwbr01,178,Brandon Goodwin,PG,24,ATL,34,1,430,8.2,20.6,0.4,2.8,9.4,0.299,5.4,11.2,0.485,3.0,3.3,0.933,1.2,6.6,7.8,5.5,1.3,0.4,3.1,4.7,22.3,,101.0,116,goodwbr01,178,Brandon Goodwin,PG,24,ATL,34,430,11.6,0.507,0.458,0.158,2.7,15.5,9.0,18.0,1.3,0.8,12.5,22.4,,-0.1,0.2,0.1,0.013,,-1.6,-1.3,-2.9,-0.1,goodwbr01,178,Brandon Goodwin,PG,24,ATL,34,430,88%,12%,,,,-14.9,-7.9,19,6,15,2,13,2,119,3,12,goodwbr01,178,Brandon Goodwin,PG,24,ATL,34,430,0.4,15.8,,0.542,0.205,0.184,0.116,0.037,0.458,,0.485,0.641,0.371,0.409,0.429,0.299,,0.28,0.615,,0.0,0,,0.184,0.125,,2,0,goodwbr01,2020
232,179,Aaron Gordon,PF,24,ORL,62,62,32.5,5.4,12.4,0.437,1.2,3.8,0.308,4.2,8.5,0.494,0.484,2.4,3.6,0.674,1.7,5.9,7.7,3.7,0.8,0.6,1.6,2.0,14.4,gordoaa01,179,Aaron Gordon,PF,24,ORL,62,62,2017,8.1,18.5,0.437,1.8,5.7,0.308,6.3,12.8,0.494,3.6,5.4,0.674,2.6,8.9,11.5,5.5,1.2,0.9,2.4,3.0,21.6,,107.0,110,gordoaa01,179,Aaron Gordon,PF,24,ORL,62,2017,15.1,0.516,0.309,0.292,5.5,20.3,12.7,17.4,1.2,1.7,10.4,20.7,,1.4,2.3,3.7,0.087,,-0.1,0.1,0.0,1.0,gordoaa01,179,Aaron Gordon,PF,24,ORL,62,2017,,,31%,69%,,-1.2,-0.4,42,27,55,19,105,7,536,27,42,gordoaa01,179,Aaron Gordon,PF,24,ORL,62,2017,0.437,12.9,,0.691,0.326,0.126,0.15,0.089,0.309,,0.494,0.704,0.361,0.348,0.162,0.308,,0.5,0.89,,0.124,88,,0.177,0.333,,6,0,gordoaa01,2020
