,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional,Rk.1,Player.1,Pos.1,Age.1,Tm.1,G.1,GS.1,MP.1,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,2P.1,2PA.1,2P%.1,FT.1,FTA.1,FT%.1,ORB.1,DRB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,PTS.1,Unnamed: 60,ORtg,DRtg,Player-additional.1,Rk.2,Player.2,Pos.2,Age.2,Tm.2,G.2,MP.2,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 83,OWS,DWS,WS,WS/48,Unnamed: 88,OBPM,DBPM,BPM,VORP,Player-additional.2,Rk.3,Player.3,Pos.3,Age.3,Tm.3,G.3,MP.3,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot.1,Off..1,PGA,And1,Blkd,-9999,Rk.4,Player.4,Pos.4,Age.4,Tm.4,G.4,MP.4,FG%.2,Dist.,Unnamed: 127,2P.2,0-3,10-Mar,16-Oct,16-3P,3P.2,Unnamed: 134,2P.3,0-3.1,10-Mar.1,16-Oct.1,16-3P.1,3P.3,Unnamed: 141,2P.4,3P.4,Unnamed: 144,%FGA,#,Unnamed: 147,%3PA,3P%.2,Unnamed: 150,Att.,#.1,-9999.1,Season
0,1,Steven Adams,C,26,OKC,63,63,26.7,4.5,7.6,0.592,0.0,0.0,0.333,4.5,7.5,0.594,0.593,1.9,3.2,0.582,3.3,6.0,9.3,2.3,0.8,1.1,1.5,1.9,10.9,adamsst01,1,Steven Adams,C,26,OKC,63,63,1680,8.2,13.8,0.592,0.0,0.1,0.333,8.2,13.7,0.594,3.4,5.8,0.582,6.0,10.9,16.9,4.2,1.5,1.9,2.7,3.5,19.8,,122.0,106,adamsst01,1,Steven Adams,C,26,OKC,63,1680,20.5,0.604,0.006,0.421,14.0,24.0,19.2,13.2,1.5,3.4,14.2,17.3,,3.8,2.7,6.5,0.185,,1.9,1.1,2.9,2.1,adamsst01,1,Steven Adams,C,26,OKC,63,1680,,,,,100%,4.5,5.3,33,27,62,20,87,5,336,17,32,adamsst01,1,Steven Adams,C,26,OKC,63,1680,0.592,4.4,,0.994,0.513,0.397,0.082,0.002,0.006,,0.594,0.743,0.416,0.513,1.0,0.333,,0.67,1.0,,0.176,78,,0.333,0.0,,1,1,adamsst01,2020
1,2,Bam Adebayo,PF,22,MIA,72,72,33.6,6.1,11.0,0.557,0.0,0.2,0.143,6.1,10.8,0.564,0.558,3.7,5.3,0.691,2.4,7.8,10.2,5.1,1.1,1.3,2.8,2.5,15.9,adebaba01,2,Bam Adebayo,PF,22,MIA,72,72,2417,8.9,16.0,0.557,0.0,0.3,0.143,8.8,15.7,0.564,5.3,7.7,0.691,3.6,11.3,14.8,7.4,1.7,1.9,4.1,3.7,23.1,,116.0,106,adebaba01,2,Bam Adebayo,PF,22,MIA,72,2417,20.3,0.598,0.018,0.484,8.5,24.9,17.0,24.2,1.7,3.8,17.6,21.2,,4.6,3.9,8.5,0.168,,1.4,2.0,3.4,3.3,adebaba01,2,Bam Adebayo,PF,22,MIA,72,2417,,,,57%,44%,4.9,6.1,94,53,99,32,174,7,928,42,60,adebaba01,2,Bam Adebayo,PF,22,MIA,72,2417,0.557,5.8,,0.982,0.481,0.301,0.144,0.056,0.018,,0.564,0.726,0.445,0.404,0.227,0.143,,0.715,0.5,,0.219,157,,0.571,0.125,,1,0,adebaba01,2020
2,3,LaMarcus Aldridge,C,34,SAS,53,53,33.1,7.4,15.0,0.493,1.2,3.0,0.389,6.2,12.0,0.519,0.532,3.0,3.6,0.827,1.9,5.5,7.4,2.4,0.7,1.6,1.4,2.4,18.9,aldrila01,3,LaMarcus Aldridge,C,34,SAS,53,53,1754,10.7,21.6,0.493,1.7,4.3,0.389,9.0,17.3,0.519,4.3,5.2,0.827,2.8,7.9,10.7,3.5,1.0,2.4,2.0,3.5,27.3,,115.0,112,aldrila01,3,LaMarcus Aldridge,C,34,SAS,53,1754,19.7,0.571,0.198,0.241,6.3,17.8,12.0,11.4,1.0,4.4,7.8,23.4,,3.0,1.4,4.5,0.122,,1.8,-0.5,1.4,1.5,aldrila01,3,LaMarcus Aldridge,C,34,SAS,53,1754,,,,6%,94%,-3.8,-5.3,13,20,70,29,83,1,309,23,20,aldrila01,3,LaMarcus Aldridge,C,34,SAS,53,1754,0.493,13.7,,0.802,0.202,0.129,0.227,0.245,0.198,,0.519,0.719,0.471,0.461,0.433,0.389,,0.567,0.951,,0.044,31,,0.185,0.379,,1,0,aldrila01,2020
4,5,Nickeil Alexander-Walker,SG,21,NOP,47,1,12.6,2.1,5.7,0.368,1.0,2.8,0.346,1.1,2.8,0.391,0.455,0.5,0.8,0.676,0.2,1.6,1.8,1.9,0.4,0.2,1.1,1.2,5.7,alexani01,5,Nickeil Alexander-Walker,SG,21,NOP,47,1,591,7.7,20.8,0.368,3.6,10.4,0.346,4.1,10.4,0.391,2.0,2.9,0.676,0.7,5.9,6.6,7.0,1.3,0.6,4.2,4.5,20.9,,93.0,113,alexani01,5,Nickeil Alexander-Walker,SG,21,NOP,47,591,8.9,0.473,0.5,0.139,1.6,13.5,7.5,21.1,1.3,1.1,16.1,23.3,,-0.7,0.4,-0.2,-0.02,,-3.2,-1.4,-4.6,-0.4,alexani01,5,Nickeil Alexander-Walker,SG,21,NOP,47,591,3%,49%,45%,3%,,-4.2,-3.4,38,8,33,3,19,15,210,3,20,alexani01,5,Nickeil Alexander-Walker,SG,21,NOP,47,591,0.368,15.9,,0.5,0.244,0.173,0.053,0.03,0.5,,0.391,0.523,0.261,0.214,0.375,0.346,,0.192,0.913,,0.008,2,,0.188,0.36,,4,0,alexani01,2020
5,6,Grayson Allen,SG,24,MEM,38,0,18.9,3.1,6.6,0.466,1.5,3.7,0.404,1.6,2.9,0.545,0.58,1.0,1.2,0.867,0.2,2.0,2.2,1.4,0.3,0.1,0.9,1.4,8.7,allengr01,6,Grayson Allen,SG,24,MEM,38,0,718,7.6,16.3,0.466,3.7,9.2,0.404,3.9,7.2,0.545,2.5,2.9,0.867,0.5,5.0,5.5,3.4,0.7,0.1,2.1,3.4,21.5,,114.0,115,allengr01,6,Grayson Allen,SG,24,MEM,38,718,12.0,0.609,0.562,0.179,1.2,11.1,6.2,10.0,0.7,0.2,10.9,17.6,,0.8,0.4,1.2,0.082,,-0.1,-1.2,-1.3,0.1,allengr01,6,Grayson Allen,SG,24,MEM,38,718,3%,74%,23%,,,-5.7,-6.3,19,8,34,1,19,10,127,4,9,allengr01,6,Grayson Allen,SG,24,MEM,38,718,0.466,16.9,,0.438,0.151,0.179,0.104,0.004,0.562,,0.545,0.711,0.444,0.5,0.0,0.404,,0.6,0.982,,0.044,10,,0.255,0.556,,0,0,allengr01,2020
6,7,Jarrett Allen,C,21,BRK,70,64,26.5,4.3,6.6,0.649,0.0,0.1,0.0,4.3,6.6,0.658,0.649,2.4,3.9,0.633,3.1,6.5,9.6,1.6,0.6,1.3,1.1,2.3,11.1,allenja01,7,Jarrett Allen,C,21,BRK,70,64,1852,7.7,11.9,0.649,0.0,0.2,0.0,7.7,11.7,0.658,4.4,6.9,0.633,5.5,11.6,17.1,2.8,1.0,2.4,2.0,4.1,19.8,,132.0,106,allenja01,7,Jarrett Allen,C,21,BRK,70,1852,20.7,0.664,0.013,0.581,12.3,24.9,18.7,8.9,1.0,4.2,11.7,14.9,,5.2,2.9,8.2,0.212,,1.4,1.0,2.3,2.0,allenja01,7,Jarrett Allen,C,21,BRK,70,1852,,,,,100%,0.9,3.2,20,17,94,26,113,7,268,31,44,allenja01,7,Jarrett Allen,C,21,BRK,70,1852,0.649,2.6,,0.987,0.755,0.211,0.019,0.002,0.013,,0.658,0.746,0.367,0.444,0.0,0.0,,0.795,,,0.447,177,,0.833,0.0,,0,0,allenja01,2020
8,9,Al-Farouq Aminu,PF,29,ORL,18,2,21.1,1.4,4.8,0.291,0.5,2.0,0.25,0.9,2.8,0.32,0.343,1.1,1.6,0.655,1.3,3.5,4.8,1.2,1.0,0.4,0.9,1.5,4.3,aminual01,9,Al-Farouq Aminu,PF,29,ORL,18,2,380,3.2,11.0,0.291,1.2,4.6,0.25,2.0,6.4,0.32,2.4,3.7,0.655,3.1,8.1,11.1,2.7,2.3,1.0,2.2,3.5,10.0,,88.0,108,aminual01,9,Al-Farouq Aminu,PF,29,ORL,18,380,7.6,0.395,0.419,0.337,6.6,18.4,12.3,7.4,2.3,1.9,14.7,13.2,,-0.4,0.5,0.1,0.014,,-4.4,1.4,-3.0,-0.1,aminual01,9,Al-Farouq Aminu,PF,29,ORL,18,380,,,54%,46%,,-5.4,-5.0,7,3,13,4,14,3,46,1,4,aminual01,9,Al-Farouq Aminu,PF,29,ORL,18,380,0.291,13.3,,0.581,0.267,0.244,0.0,0.07,0.419,,0.32,0.435,0.19,,0.333,0.25,,0.438,0.889,,0.012,1,,0.222,0.375,,0,0,aminual01,2020
10,11,Kyle Anderson,SF,26,MEM,67,28,19.9,2.3,4.9,0.474,0.4,1.3,0.282,2.0,3.7,0.541,0.511,0.8,1.2,0.667,0.9,3.4,4.3,2.4,0.8,0.6,1.0,1.7,5.8,anderky01,11,Kyle Anderson,SF,26,MEM,67,28,1330,5.5,11.6,0.474,0.8,3.0,0.282,4.7,8.6,0.541,1.8,2.7,0.667,2.0,8.0,10.0,5.7,1.9,1.3,2.3,3.9,13.7,,109.0,109,anderky01,11,Kyle Anderson,SF,26,MEM,67,1330,12.5,0.534,0.257,0.236,4.7,17.6,11.3,15.9,1.9,2.4,15.3,13.5,,0.9,1.7,2.5,0.091,,-1.5,2.0,0.5,0.9,anderky01,11,Kyle Anderson,SF,26,MEM,67,1330,,,67%,31%,1%,-3.0,-3.7,35,17,59,6,40,12,369,7,17,anderky01,11,Kyle Anderson,SF,26,MEM,67,1330,0.474,11.8,,0.743,0.26,0.263,0.136,0.085,0.257,,0.541,0.663,0.506,0.4,0.5,0.282,,0.541,1.0,,0.03,10,,0.518,0.25,,2,0,anderky01,2020
12,13,Giannis Antetokounmpo,PF,25,MIL,63,63,30.4,10.9,19.7,0.553,1.4,4.7,0.304,9.5,15.0,0.631,0.589,6.3,10.0,0.633,2.2,11.4,13.6,5.6,1.0,1.0,3.7,3.1,29.5,antetgi01,13,Giannis Antetokounmpo,PF,25,MIL,63,63,1917,16.3,29.5,0.553,2.1,7.0,0.304,14.2,22.5,0.631,9.5,15.0,0.633,3.3,17.1,20.4,8.4,1.5,1.6,5.5,4.6,44.2,,116.0,97,antetgi01,13,Giannis Antetokounmpo,PF,25,MIL,63,1917,31.9,0.613,0.237,0.508,7.7,34.8,22.1,34.2,1.5,3.0,13.2,37.5,,6.1,5.0,11.1,0.279,,7.4,4.1,11.5,6.6,antetgi01,13,Giannis Antetokounmpo,PF,25,MIL,63,1917,,,,77%,23%,15.8,12.7,66,58,50,65,306,10,902,94,69,antetgi01,13,Giannis Antetokounmpo,PF,25,MIL,63,1917,0.553,9.8,,0.763,0.482,0.16,0.073,0.048,0.237,,0.631,0.779,0.343,0.433,0.4,0.304,,0.438,0.551,,0.17,197,,0.034,0.5,,0,0,antetgi01,2020
14,15,Thanasis Antetokounmpo,SF,27,MIL,20,2,6.5,1.2,2.4,0.5,0.0,0.5,0.0,1.2,1.9,0.632,0.5,0.4,0.9,0.412,0.6,0.6,1.2,0.8,0.4,0.1,0.6,0.9,2.8,antetth01,15,Thanasis Antetokounmpo,SF,27,MIL,20,2,129,8.5,17.0,0.5,0.0,3.5,0.0,8.5,13.5,0.632,2.5,6.0,0.412,4.2,4.2,8.5,5.3,2.5,0.7,4.2,6.4,19.5,,98.0,103,antetth01,15,Thanasis Antetokounmpo,SF,27,MIL,20,129,12.2,0.496,0.208,0.354,9.8,8.7,9.2,16.3,2.5,1.4,17.8,21.6,,-0.1,0.2,0.2,0.07,,-4.6,1.4,-3.2,0.0,antetth01,15,Thanasis Antetokounmpo,SF,27,MIL,20,129,,22%,65%,13%,,-3.1,-13.6,5,2,6,4,8,1,38,2,3,antetth01,15,Thanasis Antetokounmpo,SF,27,MIL,20,129,0.5,8.1,,0.792,0.667,0.063,0.063,0.0,0.208,,0.632,0.656,0.333,0.667,,0.0,,0.583,,,0.229,11,,0.4,0.0,,2,0,antetth01,2020
15,16,Carmelo Anthony,PF,35,POR,58,58,32.8,5.8,13.5,0.43,1.5,3.9,0.385,4.3,9.6,0.448,0.485,2.3,2.8,0.845,1.2,5.1,6.3,1.5,0.8,0.5,1.7,2.9,15.4,anthoca01,16,Carmelo Anthony,PF,35,POR,58,58,1902,8.4,19.6,0.43,2.2,5.7,0.385,6.2,13.9,0.448,3.4,4.0,0.845,1.8,7.4,9.2,2.1,1.2,0.7,2.5,4.3,22.4,,104.0,115,anthoca01,16,Carmelo Anthony,PF,35,POR,58,1902,12.4,0.525,0.289,0.206,3.9,16.1,10.1,6.4,1.2,1.2,10.5,21.2,,0.4,0.9,1.3,0.033,,-1.8,-1.8,-3.6,-0.8,anthoca01,16,Carmelo Anthony,PF,35,POR,58,1902,,,15%,83%,2%,0.4,2.9,35,17,66,30,80,7,212,16,46,anthoca01,16,Carmelo Anthony,PF,35,POR,58,1902,0.43,14.5,,0.711,0.193,0.105,0.238,0.175,0.289,,0.448,0.53,0.476,0.419,0.38,0.385,,0.39,0.943,,0.032,17,,0.212,0.563,,1,0,anthoca01,2020
16,17,OG Anunoby,SF,22,TOR,69,68,29.9,4.1,8.2,0.505,1.3,3.3,0.39,2.9,4.9,0.583,0.584,1.0,1.5,0.706,1.2,4.1,5.3,1.6,1.4,0.7,1.1,2.4,10.6,anunoog01,17,OG Anunoby,SF,22,TOR,69,68,2066,6.6,13.0,0.505,2.0,5.2,0.39,4.5,7.8,0.583,1.7,2.3,0.706,1.8,6.5,8.4,2.5,2.2,1.0,1.8,3.8,16.9,,114.0,104,anunoog01,17,OG Anunoby,SF,22,TOR,69,2066,13.2,0.6,0.403,0.18,4.2,14.2,9.3,7.5,2.2,2.1,11.5,14.3,,2.1,3.7,5.7,0.134,,-0.8,2.0,1.2,1.7,anunoog01,17,OG Anunoby,SF,22,TOR,69,2066,,3%,76%,21%,,6.8,0.3,29,20,75,13,42,15,276,12,60,anunoog01,17,OG Anunoby,SF,22,TOR,69,2066,0.505,11.6,,0.597,0.452,0.111,0.025,0.009,0.403,,0.583,0.68,0.27,0.357,0.2,0.39,,0.64,0.955,,0.154,84,,0.504,0.4,,0,0,anunoog01,2020
17,18,Ryan Arcidiacono,PG,25,CHI,58,4,16.0,1.6,3.8,0.409,0.9,2.4,0.391,0.6,1.4,0.439,0.532,0.5,0.7,0.711,0.3,1.6,1.9,1.7,0.5,0.1,0.6,1.7,4.5,arcidry01,18,Ryan Arcidiacono,PG,25,CHI,58,4,930,4.7,11.4,0.409,2.8,7.1,0.391,1.9,4.2,0.439,1.4,2.0,0.711,1.0,4.7,5.7,5.0,1.4,0.2,1.9,5.0,13.5,,111.0,113,arcidry01,18,Ryan Arcidiacono,PG,25,CHI,58,930,9.0,0.551,0.627,0.173,2.3,11.2,6.5,14.3,1.4,0.3,13.5,12.5,,0.7,0.7,1.4,0.071,,-2.7,-0.1,-2.8,-0.2,arcidry01,18,Ryan Arcidiacono,PG,25,CHI,58,930,100%,,,,,-4.2,-1.3,24,8,45,1,9,32,237,0,10,arcidry01,18,Ryan Arcidiacono,PG,25,CHI,58,930,0.409,18.4,,0.373,0.15,0.1,0.1,0.023,0.627,,0.439,0.606,0.318,0.318,0.4,0.391,,0.5,0.889,,0.0,0,,0.29,0.475,,0,0,arcidry01,2020
18,19,Trevor Ariza,SF,34,TOT,53,21,28.2,2.7,6.1,0.438,1.5,3.9,0.372,1.2,2.2,0.556,0.557,1.2,1.4,0.838,0.6,4.0,4.6,1.7,1.3,0.3,1.1,2.1,8.0,arizatr01,19,Trevor Ariza,SF,34,TOT,53,21,1493,4.6,10.4,0.438,2.5,6.7,0.372,2.1,3.8,0.556,2.0,2.4,0.838,1.1,6.8,7.9,2.9,2.2,0.5,1.8,3.6,13.6,,114.0,112,arizatr01,19,Trevor Ariza,SF,34,TOT,53,1493,11.0,0.593,0.639,0.228,2.5,15.7,9.0,8.0,2.2,0.9,13.6,11.8,,1.3,1.2,2.5,0.081,,-1.4,0.9,-0.5,0.6,arizatr01,19,Trevor Ariza,SF,34,TOT,53,1493,,2%,88%,10%,,-0.2,1.7,28,10,33,5,36,15,223,8,11,arizatr01,19,Trevor Ariza,SF,34,TOT,53,1493,0.438,17.0,,0.361,0.269,0.065,0.012,0.015,0.639,,0.556,0.701,0.19,0.0,0.0,0.372,,0.692,0.948,,0.059,16,,0.377,0.397,,1,0,arizatr01,2020
21,20,D.J. Augustin,PG,32,ORL,57,13,24.9,3.2,8.1,0.399,1.2,3.5,0.348,2.0,4.6,0.438,0.475,2.8,3.2,0.89,0.4,1.8,2.1,4.6,0.6,0.0,1.5,1.3,10.5,augusdj01,20,D.J. Augustin,PG,32,ORL,57,13,1420,6.3,15.8,0.399,2.4,6.9,0.348,3.9,8.9,0.438,5.5,6.2,0.89,0.8,3.4,4.2,9.0,1.2,0.0,2.9,2.5,20.5,,114.0,114,augusdj01,20,D.J. Augustin,PG,32,ORL,57,1420,14.0,0.554,0.436,0.393,1.6,7.8,4.6,26.8,1.2,0.1,13.7,19.1,,2.0,0.9,2.9,0.098,,-0.3,-1.3,-1.6,0.2,augusdj01,20,D.J. Augustin,PG,32,ORL,57,1420,100%,,,,,2.1,5.2,51,20,22,10,64,12,640,11,31,augusdj01,20,D.J. Augustin,PG,32,ORL,57,1420,0.399,15.9,,0.564,0.197,0.167,0.121,0.078,0.436,,0.438,0.571,0.286,0.5,0.333,0.348,,0.193,0.629,,0.0,0,,0.129,0.346,,5,0,augusdj01,2020
22,21,Deandre Ayton,C,21,PHO,38,32,32.5,8.2,14.9,0.546,0.1,0.3,0.231,8.1,14.6,0.553,0.548,1.8,2.3,0.753,3.9,7.6,11.5,1.9,0.7,1.5,2.1,3.1,18.2,aytonde01,21,Deandre Ayton,C,21,PHO,38,32,1236,11.9,21.8,0.546,0.1,0.5,0.231,11.8,21.3,0.553,2.6,3.4,0.753,5.6,11.1,16.7,2.8,1.0,2.2,3.1,4.5,26.4,,111.0,108,aytonde01,21,Deandre Ayton,C,21,PHO,38,1236,20.0,0.568,0.023,0.157,13.0,26.3,19.6,9.7,1.0,4.1,11.6,23.7,,1.5,1.6,3.1,0.121,,0.8,-0.4,0.4,0.7,aytonde01,21,Deandre Ayton,C,21,PHO,38,1236,,,,1%,99%,3.4,4.5,21,21,72,15,44,2,165,15,37,aytonde01,21,Deandre Ayton,C,21,PHO,38,1236,0.546,6.7,,0.977,0.461,0.227,0.188,0.1,0.023,,0.553,0.725,0.411,0.393,0.386,0.231,,0.746,1.0,,0.164,83,,0.154,0.5,,0,0,aytonde01,2020
23,22,Dwayne Bacon,SG,24,CHO,39,11,17.6,2.2,6.3,0.348,0.5,1.7,0.284,1.7,4.5,0.373,0.387,0.9,1.4,0.66,0.4,2.2,2.6,1.3,0.6,0.1,0.9,1.3,5.7,bacondw01,22,Dwayne Bacon,SG,24,CHO,39,11,687,6.2,17.8,0.348,1.4,4.9,0.284,4.8,12.9,0.373,2.6,3.9,0.66,1.1,6.2,7.3,3.8,1.7,0.1,2.7,3.8,16.3,,86.0,114,bacondw01,22,Dwayne Bacon,SG,24,CHO,39,687,6.1,0.419,0.275,0.217,2.3,14.0,7.9,11.7,1.7,0.3,12.2,19.5,,-1.2,0.4,-0.8,-0.053,,-5.9,-0.9,-6.8,-0.8,bacondw01,22,Dwayne Bacon,SG,24,CHO,39,687,3%,43%,55%,,,-7.8,-0.9,12,11,21,6,29,4,137,9,20,bacondw01,22,Dwayne Bacon,SG,24,CHO,39,687,0.348,11.6,,0.725,0.32,0.238,0.107,0.061,0.275,,0.373,0.449,0.345,0.231,0.333,0.284,,0.47,0.895,,0.012,3,,0.149,0.3,,0,0,bacondw01,2020
24,23,Marvin Bagley III,C,20,SAC,13,6,25.7,6.0,12.8,0.467,0.3,1.7,0.182,5.7,11.2,0.51,0.479,1.9,2.4,0.806,2.2,5.2,7.5,0.8,0.5,0.9,1.4,3.3,14.2,baglema01,23,Marvin Bagley III,C,20,SAC,13,6,334,11.3,24.3,0.467,0.6,3.2,0.182,10.7,21.1,0.51,3.6,4.5,0.806,4.2,9.9,14.1,1.5,0.9,1.7,2.6,6.2,26.9,,102.0,111,baglema01,23,Marvin Bagley III,C,20,SAC,13,334,15.6,0.512,0.132,0.186,9.5,23.5,16.3,4.9,0.9,3.4,9.1,25.8,,0.0,0.3,0.4,0.051,,-2.2,-1.4,-3.5,-0.1,baglema01,23,Marvin Bagley III,C,20,SAC,13,334,,,,5%,95%,-14.0,-13.2,3,6,21,2,18,4,24,7,16,baglema01,23,Marvin Bagley III,C,20,SAC,13,334,0.467,8.2,,0.868,0.431,0.293,0.06,0.084,0.132,,0.51,0.681,0.306,0.2,0.571,0.182,,0.635,1.0,,0.174,25,,0.045,0.0,,0,0,baglema01,2020
25,24,Lonzo Ball,PG,22,NOP,63,54,32.1,4.4,10.9,0.403,2.3,6.3,0.375,2.0,4.6,0.442,0.511,0.7,1.2,0.566,1.1,5.0,6.1,7.0,1.4,0.6,3.1,2.0,11.8,balllo01,24,Lonzo Ball,PG,22,NOP,63,54,2025,6.3,15.7,0.403,3.4,9.0,0.375,2.9,6.7,0.442,1.0,1.7,0.566,1.6,7.1,8.8,10.0,2.0,0.9,4.4,2.9,17.0,,103.0,111,balllo01,24,Lonzo Ball,PG,22,NOP,63,2025,13.1,0.517,0.575,0.111,3.7,16.4,10.0,29.1,2.0,1.6,21.1,18.5,,0.4,2.0,2.4,0.058,,0.1,0.6,0.6,1.3,balllo01,24,Lonzo Ball,PG,22,NOP,63,2025,86%,15%,,,,-1.0,0.8,129,29,67,13,26,7,1045,4,34,balllo01,24,Lonzo Ball,PG,22,NOP,63,2025,0.403,17.7,,0.425,0.214,0.083,0.049,0.079,0.575,,0.442,0.605,0.246,0.324,0.278,0.375,,0.403,0.824,,0.023,15,,0.21,0.349,,2,0,balllo01,2020
26,25,Mo Bamba,C,21,ORL,62,0,14.2,2.1,4.6,0.462,0.6,1.7,0.346,1.5,2.9,0.531,0.526,0.5,0.7,0.674,1.6,3.3,4.9,0.7,0.4,1.4,0.7,1.9,5.4,bambamo01,25,Mo Bamba,C,21,ORL,62,0,878,7.3,15.9,0.462,2.1,5.9,0.346,5.3,9.9,0.531,1.7,2.6,0.674,5.5,11.2,16.7,2.3,1.3,4.8,2.3,6.4,18.4,,111.0,103,bambamo01,25,Mo Bamba,C,21,ORL,62,878,17.5,0.542,0.374,0.161,11.9,25.6,18.5,7.2,1.3,8.8,12.1,17.1,,0.8,1.7,2.5,0.135,,-1.2,1.6,0.4,0.5,bambamo01,25,Mo Bamba,C,21,ORL,62,878,,,,,100%,1.6,3.5,9,9,77,14,21,2,108,4,25,bambamo01,25,Mo Bamba,C,21,ORL,62,878,0.462,12.4,,0.626,0.406,0.126,0.031,0.063,0.374,,0.531,0.681,0.194,0.444,0.278,0.346,,0.537,1.0,,0.143,39,,0.103,0.182,,0,0,bambamo01,2020
27,26,J.J. Barea,PG,35,DAL,29,6,15.5,2.9,7.1,0.411,1.1,2.9,0.376,1.8,4.2,0.434,0.488,0.7,0.8,0.909,0.3,1.5,1.8,3.9,0.2,0.1,1.3,0.9,7.7,bareajo01,26,J.J. Barea,PG,35,DAL,29,6,450,9.1,22.2,0.411,3.4,9.1,0.376,5.7,13.1,0.434,2.1,2.4,0.909,1.1,4.6,5.7,12.0,0.5,0.2,4.1,2.9,23.8,,109.0,116,bareajo01,26,J.J. Barea,PG,35,DAL,29,450,14.6,0.512,0.411,0.106,2.4,9.9,6.2,37.1,0.5,0.4,14.9,24.2,,0.5,0.2,0.7,0.072,,1.6,-3.0,-1.4,0.1,bareajo01,26,J.J. Barea,PG,35,DAL,29,450,100%,,,,,0.7,-4.8,28,7,8,2,11,17,264,2,7,bareajo01,26,J.J. Barea,PG,35,DAL,29,450,0.411,14.8,,0.589,0.266,0.15,0.101,0.072,0.411,,0.434,0.582,0.29,0.286,0.4,0.376,,0.094,0.406,,0.0,0,,0.094,0.5,,1,0,bareajo01,2020
28,27,Harrison Barnes,PF,27,SAC,72,72,34.5,5.1,11.0,0.46,1.4,3.7,0.381,3.7,7.3,0.501,0.525,3.0,3.7,0.801,1.1,3.9,4.9,2.2,0.6,0.2,1.2,1.3,14.5,barneha02,27,Harrison Barnes,PF,27,SAC,72,72,2482,7.1,15.5,0.46,2.0,5.2,0.381,5.1,10.3,0.501,4.2,5.2,0.801,1.5,5.4,6.9,3.1,0.8,0.2,1.7,1.8,20.4,,116.0,116,barneha02,27,Harrison Barnes,PF,27,SAC,72,2482,13.3,0.574,0.338,0.337,3.4,12.9,8.1,9.2,0.8,0.5,8.8,17.4,,3.4,1.1,4.6,0.088,,0.0,-1.3,-1.3,0.5,barneha02,27,Harrison Barnes,PF,27,SAC,72,2482,,,43%,54%,3%,-2.5,-1.4,36,26,46,15,122,20,407,22,40,barneha02,27,Harrison Barnes,PF,27,SAC,72,2482,0.46,11.8,,0.662,0.294,0.285,0.058,0.025,0.338,,0.501,0.691,0.363,0.304,0.3,0.381,,0.525,0.873,,0.043,31,,0.336,0.356,,1,1,barneha02,2020
29,28,RJ Barrett,SG,19,NYK,56,55,30.4,5.2,13.0,0.402,1.1,3.5,0.32,4.1,9.5,0.432,0.445,2.8,4.5,0.614,0.9,4.1,5.0,2.6,1.0,0.3,2.2,2.2,14.3,barrerj01,28,RJ Barrett,SG,19,NYK,56,55,1704,8.3,20.8,0.402,1.8,5.6,0.32,6.5,15.1,0.432,4.5,7.3,0.614,1.4,6.5,8.0,4.1,1.6,0.5,3.5,3.5,22.9,,95.0,114,barrerj01,28,RJ Barrett,SG,19,NYK,56,1704,10.7,0.479,0.271,0.349,3.0,14.8,8.7,12.8,1.6,0.9,12.9,24.0,,-1.6,1.1,-0.5,-0.015,,-2.9,-1.5,-4.3,-1.0,barrerj01,28,RJ Barrett,SG,19,NYK,56,1704,,72%,27%,1%,,-9.2,-6.1,65,34,58,15,121,11,322,26,60,barrerj01,28,RJ Barrett,SG,19,NYK,56,1704,0.402,10.7,,0.729,0.392,0.201,0.065,0.072,0.271,,0.432,0.568,0.267,0.277,0.288,0.32,,0.354,0.937,,0.056,35,,0.299,0.356,,1,0,barrerj01,2020
