Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional,ORtg,DRtg,Player-additional,Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,-9999,Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,10-Mar,16-Oct,16-3P,3P,,2P,0-3,10-Mar,16-Oct,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#,-9999
1,Arron Afflalo,SG,24,DEN,82,75,27.1,3.3,7.1,0.465,1.3,3,0.434,2,4.1,0.488,0.557,0.9,1.2,0.735,0.7,2.4,3.1,1.7,0.6,0.4,0.9,2.7,8.8,afflaar01,1,Arron Afflalo,SG,24,DEN,82,75,2221,4.4,9.5,0.465,1.8,4,0.434,2.7,5.4,0.488,1.2,1.6,0.735,1,3.1,4.1,2.2,0.7,0.5,1.2,3.6,11.7,afflaar01,114,111,afflaar01,1,Arron Afflalo,SG,24,DEN,82,2221,10.9,0.576,0.426,0.168,3.1,9.9,6.5,9.3,1,1,10.5,14,,2.8,1.4,4.3,0.092,,-0.2,-0.2,-0.4,0.9,afflaar01,1,Arron Afflalo,SG,24,DEN,82,2221,,92%,7%,,,3.6,-1.5,20,19,121,11,47,9,297,12,50,afflaar01,1,Arron Afflalo,SG,24,DEN,82,2221,0.465,15.3,,0.574,0.258,0.056,0.079,0.181,0.426,,0.488,0.55,0.364,0.391,0.481,0.434,,0.543,0.972,,0.012,6,,0.562,0.436,,0,0,afflaar01
2,Alexis Ajinça,C,21,CHA,6,0,5,0.8,1.7,0.5,0,0,,0.8,1.7,0.5,0.5,0,0.2,0,0.2,0.5,0.7,0,0.2,0.2,0.3,0.8,1.7,ajincal01,2,Alexis Ajinça,C,21,CHA,6,0,30,6,12,0.5,0,0,,6,12,0.5,0,1.2,0,1.2,3.6,4.8,0,1.2,1.2,2.4,6,12,ajincal01,81,103,ajincal01,2,Alexis Ajinça,C,21,CHA,6,30,6.3,0.479,0,0.1,4.1,11.8,8,0,1.8,2.7,16.1,19.3,,-0.1,0,0,-0.013,,-6.3,1,-5.3,0,ajincal01,2,Alexis Ajinça,C,21,CHA,6,30,,,,,100%,10.6,9.1,0,0,2,1,1,2,0,1,1,ajincal01,2,Alexis Ajinça,C,21,CHA,6,30,0.5,8.4,,1,0.4,0.2,0.1,0.3,0,,0.5,1,0,0,0.333,,,0.8,,,0.1,1,,,,,0,0,ajincal01
3,LaMarcus Aldridge,PF,24,POR,78,78,37.5,7.4,15,0.495,0.1,0.2,0.313,7.4,14.8,0.498,0.497,2.9,3.9,0.757,2.5,5.6,8,2.1,0.9,0.6,1.3,3,17.9,aldrila01,3,LaMarcus Aldridge,PF,24,POR,78,78,2922,7.1,14.4,0.495,0.1,0.2,0.313,7.1,14.2,0.498,2.8,3.7,0.757,2.4,5.4,7.7,2,0.8,0.6,1.3,2.8,17.2,aldrila01,113,107,aldrila01,3,LaMarcus Aldridge,PF,24,POR,78,2922,18.2,0.535,0.014,0.26,8.1,18.6,13.3,9.9,1.3,1.3,7.4,22.9,,5.5,3.3,8.8,0.145,,1.4,-0.2,1.2,2.3,aldrila01,3,LaMarcus Aldridge,PF,24,POR,78,2922,,,,88%,12%,4.9,3.6,31,27,129,30,144,12,370,38,42,aldrila01,3,LaMarcus Aldridge,PF,24,POR,78,2922,0.495,10.8,,0.986,0.247,0.215,0.21,0.314,0.014,,0.498,0.716,0.442,0.431,0.409,0.313,,0.57,1,,0.078,87,,0.375,0.667,,3,0,aldrila01
4,Joe Alexander,SF,23,CHI,8,0,3.6,0.1,0.8,0.167,0,0.1,0,0.1,0.6,0.2,0.167,0.3,0.4,0.667,0.3,0.4,0.6,0.3,0.1,0.1,0,1.1,0.5,alexajo01,4,Joe Alexander,SF,23,CHI,8,0,29,1.2,7.4,0.167,0,1.2,0,1.2,6.2,0.2,2.5,3.7,0.667,2.5,3.7,6.2,2.5,1.2,1.2,0,11.2,5,alexajo01,88,104,alexajo01,4,Joe Alexander,SF,23,CHI,8,29,2.8,0.273,0.167,0.5,7.8,11.3,9.6,9.3,1.8,2.6,0,11.3,,0,0,0,0.03,,-9.1,0.9,-8.3,0,alexajo01,4,Joe Alexander,SF,23,CHI,8,29,,,86%,14%,,-18.9,-17.5,0,0,5,0,0,0,4,0,0,alexajo01,4,Joe Alexander,SF,23,CHI,8,29,0.167,9.2,,0.833,0.5,0,0.167,0.167,0.167,,0.2,0.333,,0,0,0,,0,,,0,0,,1,0,,0,0,alexajo01
5,Malik Allen,PF,31,DEN,51,3,8.9,0.9,2.3,0.397,0,0.1,0.167,0.9,2.2,0.409,0.401,0.2,0.3,0.923,0.7,0.9,1.6,0.3,0.2,0.1,0.4,1.3,2.1,allenma01,5,Malik Allen,PF,31,DEN,51,3,456,3.6,9.2,0.397,0.1,0.5,0.167,3.6,8.7,0.409,0.9,1,0.923,2.8,3.6,6.5,1.3,0.9,0.4,1.7,5.4,8.3,allenma01,93,110,allenma01,5,Malik Allen,PF,31,DEN,51,456,5.9,0.431,0.052,0.112,9.2,11.5,10.4,5.1,1.2,0.8,15.3,14,,-0.3,0.3,0.1,0.009,,-4.7,-1,-5.7,-0.4,allenma01,5,Malik Allen,PF,31,DEN,51,456,,,,50%,50%,-12.9,-19.2,8,7,37,4,6,2,40,1,4,allenma01,5,Malik Allen,PF,31,DEN,51,456,0.397,14.3,,0.948,0.198,0.06,0.112,0.578,0.052,,0.409,0.435,0.143,0.538,0.403,0.167,,0.622,1,,0.017,2,,0.667,0.25,,0,0,allenma01
6,Ray Allen*,SG,34,BOS,80,80,35.2,5.8,12.2,0.477,1.8,5,0.363,4,7.2,0.556,0.551,2.9,3.2,0.913,0.6,2.6,3.2,2.6,0.8,0.3,1.6,2.3,16.3,allenra02,6,Ray Allen*,SG,34,BOS,80,80,2819,5.9,12.4,0.477,1.9,5.1,0.363,4.1,7.3,0.556,2.9,3.2,0.913,0.6,2.7,3.2,2.7,0.8,0.3,1.6,2.3,16.7,allenra02,115,108,allenra02,6,Ray Allen*,SG,34,BOS,80,2819,15.2,0.601,0.41,0.26,2,8.8,5.5,12.3,1.2,0.7,10.6,20.2,,5.1,2.9,7.9,0.135,,1.5,-0.3,1.2,2.3,allenra02,6,Ray Allen*,SG,34,BOS,80,2819,,83%,17%,,,7.3,11.5,62,35,104,19,72,14,452,18,41,allenra02,6,Ray Allen*,SG,34,BOS,80,2819,0.477,15.8,,0.59,0.224,0.085,0.084,0.196,0.41,,0.556,0.679,0.41,0.561,0.476,0.363,,0.643,0.917,,0.01,10,,0.286,0.316,,0,0,allenra02
7,Tony Allen,SG,28,BOS,54,8,16.5,2.4,4.7,0.51,0,0.1,0,2.4,4.6,0.52,0.51,1.3,2.2,0.605,1,1.7,2.7,1.3,1.1,0.4,1.2,2,6.1,allento01,7,Tony Allen,SG,28,BOS,54,8,889,5.2,10.2,0.51,0,0.2,0,5.2,10,0.52,2.9,4.8,0.605,2.1,3.8,5.9,2.9,2.4,0.8,2.7,4.4,13.4,allento01,101,101,allento01,7,Tony Allen,SG,28,BOS,54,889,14.2,0.54,0.02,0.47,7.4,12.5,10,13,3.5,1.7,17.8,19.6,,0.2,1.6,1.9,0.1,,-1.8,2.2,0.4,0.5,allento01,7,Tony Allen,SG,28,BOS,54,889,9%,83%,9%,,,1.4,-3.5,29,19,42,9,58,9,155,13,19,allento01,7,Tony Allen,SG,28,BOS,54,889,0.51,5.6,,0.98,0.64,0.142,0.071,0.126,0.02,,0.52,0.667,0.25,0.278,0.219,0,,0.628,,,0.063,16,,0.2,0,,2,0,allento01
8,Rafer Alston,PG,33,TOT,52,38,27.3,3,8.6,0.348,1.1,3.2,0.345,1.9,5.3,0.349,0.413,1.1,1.6,0.728,0.3,2.2,2.5,3.4,1,0.2,1.8,2,8.2,alstora01,8,Rafer Alston,PG,33,TOT,52,38,1421,3.9,11.3,0.348,1.5,4.3,0.345,2.5,7,0.349,1.5,2.1,0.728,0.3,2.9,3.3,4.5,1.3,0.3,2.4,2.6,10.8,alstora01,89,109,alstora01,8,Rafer Alston,PG,33,TOT,52,1421,8.2,0.443,0.377,0.182,1,9.7,5.3,20.2,1.9,0.5,16.5,18.8,,-1.6,1.2,-0.4,-0.013,,-3.3,-0.5,-3.8,-0.6,alstora01,8,Rafer Alston,PG,33,TOT,52,1421,100%,,,,,-4.7,-0.7,59,29,55,3,39,9,384,10,26,alstora01,8,Rafer Alston,PG,33,TOT,52,1421,0.348,14.7,,0.623,0.233,0.168,0.049,0.173,0.377,,0.349,0.404,0.373,0.318,0.26,0.345,,0.124,0.828,,0,0,,0.19,0.406,,1,0,alstora01
8,Rafer Alston,PG,33,NJN,27,13,28.4,3.5,10.3,0.343,1,3.2,0.322,2.5,7,0.353,0.394,1.6,2,0.815,0.3,2.4,2.8,3.9,1,0.2,2.3,1.9,9.7,alstora01,8,Rafer Alston,PG,33,NJN,27,13,766,4.5,13,0.343,1.3,4.1,0.322,3.1,8.9,0.353,2.1,2.5,0.815,0.4,3.1,3.5,4.9,1.3,0.2,2.9,2.3,12.3,alstora01,87,112,alstora01,8,Rafer Alston,PG,33,NJN,27,766,8.7,0.436,0.314,0.195,1.3,10.4,5.6,23.1,1.9,0.5,16.9,21.7,,-1.2,0.4,-0.8,-0.051,,-3,-1.1,-4,-0.4,alstora01,8,Rafer Alston,PG,33,NJN,27,766,100%,,,,,-12.3,-2.6,38,19,25,2,25,5,223,7,15,alstora01,8,Rafer Alston,PG,33,NJN,27,766,0.343,13.8,,0.686,0.245,0.188,0.058,0.195,0.314,,0.353,0.412,0.385,0.375,0.241,0.322,,0.104,0.75,,0,0,,0.138,0.167,,1,0,alstora01
8,Rafer Alston,PG,33,MIA,25,25,26.2,2.4,6.8,0.355,1.2,3.2,0.37,1.2,3.5,0.341,0.444,0.6,1.1,0.556,0.2,2,2.2,2.9,0.9,0.2,1.4,2.1,6.6,alstora01,8,Rafer Alston,PG,33,MIA,25,25,655,3.3,9.3,0.355,1.6,4.5,0.37,1.6,4.8,0.341,0.8,1.5,0.556,0.2,2.7,3,4,1.3,0.3,1.9,2.9,9.1,alstora01,93,106,alstora01,8,Rafer Alston,PG,33,MIA,25,655,7.7,0.456,0.479,0.16,0.7,8.9,4.8,16.7,1.9,0.6,15.8,15.4,,-0.4,0.8,0.4,0.031,,-3.7,0.3,-3.4,-0.2,alstora01,8,Rafer Alston,PG,33,MIA,25,655,100%,,,,,4.2,1.5,21,10,30,1,14,4,161,3,11,alstora01,8,Rafer Alston,PG,33,MIA,25,655,0.355,16.2,,0.521,0.213,0.136,0.036,0.136,0.479,,0.341,0.389,0.348,0.167,0.304,0.37,,0.167,0.9,,0,0,,0.247,0.55,,0,0,alstora01
