Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional,ORtg,DRtg,Player-additional,Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,-9999,Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,10-Mar,16-Oct,16-3P,3P,,2P,0-3,10-Mar,16-Oct,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#,-9999
1,Shareef Abdur-Rahim,PF,31,SAC,6,0,8.5,0.5,2.3,0.214,0,0,,0.5,2.3,0.214,0.214,0.7,0.7,1,1,0.7,1.7,0.7,0.2,0,0.2,1.5,1.7,abdursh01,1,Shareef Abdur-Rahim,PF,31,SAC,6,0,51,2.1,9.9,0.214,0,0,,2.1,9.9,0.214,2.8,2.8,1,4.2,2.8,7.1,2.8,0.7,0,0.7,6.4,7.1,abdursh01,95,114,abdursh01,1,Shareef Abdur-Rahim,PF,31,SAC,6,51,5.5,0.317,0,0.286,14.2,9.1,11.6,11.1,1,0,6,14.7,,0,0,0,-0.005,,-4.4,-2.5,-6.9,-0.1,abdursh01,1,Shareef Abdur-Rahim,PF,31,SAC,6,51,,,,69%,32%,-3.3,-1,0,0,5,0,1,1,9,0,3,abdursh01,1,Shareef Abdur-Rahim,PF,31,SAC,6,51,0.214,8.8,,1,0.429,0.214,0,0.357,0,,0.214,0.167,0.333,,0.2,,,0.333,,,0,0,,,,,0,0,abdursh01
2,Arron Afflalo,SG,22,DET,75,9,12.9,1.3,3.2,0.411,0.1,0.6,0.208,1.2,2.6,0.461,0.432,0.9,1.2,0.782,0.5,1.3,1.8,0.7,0.4,0.1,0.5,1.1,3.7,afflaar01,2,Arron Afflalo,SG,22,DET,75,9,970,3.7,8.9,0.411,0.4,1.8,0.208,3.3,7.2,0.461,2.5,3.2,0.782,1.3,3.7,5.1,1.9,1.2,0.3,1.3,3.1,10.2,afflaar01,104,104,afflaar01,2,Arron Afflalo,SG,22,DET,75,970,10.2,0.494,0.199,0.361,4.4,12.5,8.4,8.1,1.8,0.7,10.9,15.2,,0.5,1.4,1.9,0.092,,-2.6,1,-1.5,0.1,afflaar01,2,Arron Afflalo,SG,22,DET,75,970,,95%,5%,,,8.7,0.2,10,8,32,6,33,2,113,7,31,afflaar01,2,Arron Afflalo,SG,22,DET,75,970,0.411,12.7,,0.801,0.332,0.054,0.129,0.286,0.199,,0.461,0.525,0.308,0.419,0.435,0.208,,0.652,0.8,,0.008,2,,0.458,0.091,,1,0,afflaar01
3,Maurice Ager,SG,23,TOT,26,3,6.3,0.8,2.5,0.323,0.1,0.7,0.158,0.7,1.8,0.391,0.346,0.2,0.5,0.5,0.2,0.3,0.5,0.3,0,0,0.2,0.7,2,agerma01,3,Maurice Ager,SG,23,TOT,26,3,165,4.6,14.2,0.323,0.7,4.1,0.158,3.9,10,0.391,1.3,2.6,0.5,0.9,2,2.8,1.7,0,0.2,1.3,3.7,11.1,agerma01,77,114,agerma01,3,Maurice Ager,SG,23,TOT,26,165,1.8,0.363,0.292,0.185,2.8,6.3,4.6,8,0,0.4,7.9,21.3,,-0.4,0,-0.4,-0.114,,-6.8,-4.2,-11.1,-0.4,agerma01,3,Maurice Ager,SG,23,TOT,26,165,,55%,35%,10%,,-11.8,-11.4,2,1,9,3,6,3,17,2,7,agerma01,3,Maurice Ager,SG,23,TOT,26,165,0.323,13.7,,0.708,0.338,0.062,0.046,0.262,0.292,,0.391,0.455,0.25,0,0.412,0.158,,0.722,1,,0.077,5,,0.211,0.25,,0,0,agerma01
3,Maurice Ager,SG,23,DAL,12,3,6.4,0.4,2.3,0.185,0,0.7,0,0.4,1.6,0.263,0.185,0.4,0.5,0.833,0.1,0.3,0.3,0.3,0,0.1,0.3,0.9,1.3,agerma01,3,Maurice Ager,SG,23,DAL,12,3,77,2.3,12.6,0.185,0,3.7,0,2.3,8.9,0.263,2.3,2.8,0.833,0.5,1.4,1.9,1.9,0,0.5,1.4,5.1,7,agerma01,61,112,agerma01,3,Maurice Ager,SG,23,DAL,12,77,-4.4,0.253,0.296,0.222,1.6,4.4,3,7.4,0,1,9.2,19.8,,-0.3,0,-0.3,-0.181,,-10.1,-3.6,-13.7,-0.2,agerma01,3,Maurice Ager,SG,23,DAL,12,77,,68%,31%,1%,,-8.7,-14.2,1,0,5,2,2,0,8,0,3,agerma01,3,Maurice Ager,SG,23,DAL,12,77,0.185,13.9,,0.704,0.296,0.074,0.111,0.222,0.296,,0.263,0.375,0.5,0,0.167,0,,0.8,,,0.074,2,,0,,,0,0,agerma01
3,Maurice Ager,SG,23,NJN,14,0,6.3,1.1,2.7,0.421,0.2,0.8,0.273,0.9,1.9,0.481,0.461,0.1,0.4,0.167,0.2,0.4,0.6,0.3,0,0,0.2,0.4,2.6,agerma01,3,Maurice Ager,SG,23,NJN,14,0,88,6.5,15.5,0.421,1.2,4.5,0.273,5.3,11,0.481,0.4,2.5,0.167,1.2,2.5,3.7,1.6,0,0,1.2,2.5,14.7,agerma01,89,116,agerma01,3,Maurice Ager,SG,23,NJN,14,88,7.1,0.443,0.289,0.158,3.9,7.9,5.9,8.4,0,0,6.9,22.7,,-0.1,0,-0.1,-0.056,,-4,-4.8,-8.7,-0.1,agerma01,3,Maurice Ager,SG,23,NJN,14,88,,44%,39%,18%,,-14.4,-8.9,1,1,4,1,4,3,9,2,4,agerma01,3,Maurice Ager,SG,23,NJN,14,88,0.421,13.6,,0.711,0.368,0.053,0,0.289,0.289,,0.481,0.5,0,,0.545,0.273,,0.692,1,,0.079,3,,0.364,0.25,,0,0,agerma01
4,Blake Ahearn,PG,23,MIA,12,0,14.8,1.3,4.8,0.263,0.8,2.8,0.294,0.4,1.9,0.217,0.351,2.5,2.6,0.968,0.1,1.5,1.6,1.6,0.5,0,1.3,1.7,5.8,ahearbl01,4,Blake Ahearn,PG,23,MIA,12,0,177,3.1,11.6,0.263,2,6.9,0.294,1,4.7,0.217,6.1,6.3,0.968,0.2,3.7,3.9,3.9,1.2,0,3.3,4.1,14.2,ahearbl01,94,111,ahearbl01,4,Blake Ahearn,PG,23,MIA,12,177,9,0.495,0.596,0.544,0.7,12.4,6.4,17.2,1.8,0,18.5,23.2,,-0.1,0.1,0,-0.006,,-3.5,-1.3,-4.8,-0.1,ahearbl01,4,Blake Ahearn,PG,23,MIA,12,177,57%,43%,,,,-23.9,-15.1,11,5,9,0,8,2,43,2,3,ahearbl01,4,Blake Ahearn,PG,23,MIA,12,177,0.263,18.6,,0.404,0.14,0.07,0.088,0.105,0.596,,0.217,0.25,0.5,0.2,0,0.294,,0.2,1,,0,0,,0.235,0.375,,0,0,ahearbl01
5,LaMarcus Aldridge,PF,22,POR,76,76,34.9,7.4,15.3,0.484,0,0.1,0.143,7.4,15.2,0.486,0.484,3,3.9,0.762,2.9,4.7,7.6,1.6,0.7,1.2,1.7,3.2,17.8,aldrila01,5,LaMarcus Aldridge,PF,22,POR,76,76,2649,7.6,15.8,0.484,0,0.1,0.143,7.6,15.7,0.486,3.1,4,0.762,3,4.9,7.9,1.7,0.7,1.3,1.7,3.3,18.3,aldrila01,108,107,aldrila01,5,LaMarcus Aldridge,PF,22,POR,76,2649,18.5,0.523,0.006,0.257,9.8,15.8,12.8,8.8,1.1,2.8,8.9,25.3,,3.5,2.8,6.2,0.113,,0.6,-0.4,0.2,1.5,aldrila01,5,LaMarcus Aldridge,PF,22,POR,76,2649,,,,73%,27%,-0.3,2.9,22,46,123,37,144,13,294,29,46,aldrila01,5,LaMarcus Aldridge,PF,22,POR,76,2649,0.484,10.9,,0.994,0.197,0.272,0.218,0.308,0.006,,0.486,0.693,0.463,0.443,0.403,0.143,,0.645,1,,0.079,86,,0.143,0,,2,0,aldrila01
6,Malik Allen,PF,29,TOT,73,16,15,2.2,4.5,0.48,0,0,0.5,2.1,4.5,0.48,0.482,0.3,0.3,0.92,0.9,1.8,2.7,0.6,0.3,0.4,0.6,2,4.6,allenma01,6,Malik Allen,PF,29,TOT,73,16,1096,5.2,10.7,0.48,0,0.1,0.5,5.1,10.7,0.48,0.8,0.8,0.92,2.2,4.3,6.4,1.4,0.6,1,1.5,4.9,11.1,allenma01,100,109,allenma01,6,Malik Allen,PF,29,TOT,73,1096,9.8,0.5,0.006,0.076,7,13.6,10.4,6.8,0.9,2.2,11.7,16.1,,0.1,0.9,1,0.045,,-3.4,0,-3.5,-0.4,allenma01,6,Malik Allen,PF,29,TOT,73,1096,,,,79%,20%,-1.6,0.8,12,16,90,7,10,10,105,3,11,allenma01,6,Malik Allen,PF,29,TOT,73,1096,0.48,14.8,,0.994,0.128,0.07,0.196,0.599,0.006,,0.48,0.524,0.174,0.469,0.51,0.5,,0.75,1,,0.009,3,,0,,,1,0,allenma01
6,Malik Allen,PF,29,NJN,48,12,15.9,2.6,5.4,0.475,0,0,0.5,2.6,5.4,0.475,0.477,0.3,0.3,0.923,0.9,1.8,2.7,0.6,0.3,0.4,0.7,1.9,5.4,allenma01,6,Malik Allen,PF,29,NJN,48,12,763,5.9,12.3,0.475,0,0.1,0.5,5.8,12.2,0.475,0.6,0.6,0.923,2,4.1,6,1.4,0.7,1,1.5,4.2,12.3,allenma01,97,110,allenma01,6,Malik Allen,PF,29,NJN,48,763,10.1,0.489,0.008,0.05,6.4,13.1,9.7,6.8,1,2.1,10.7,17.9,,-0.2,0.5,0.4,0.023,,-3.3,-0.3,-3.6,-0.3,allenma01,6,Malik Allen,PF,29,NJN,48,763,,,,76%,24%,-6.8,-1.3,9,12,48,4,7,6,70,3,7,allenma01,6,Malik Allen,PF,29,NJN,48,763,0.475,15,,0.992,0.123,0.069,0.195,0.605,0.008,,0.475,0.531,0.111,0.451,0.513,0.5,,0.756,1,,0.004,1,,0,,,1,0,allenma01
6,Malik Allen,PF,29,DAL,25,4,13.3,1.3,2.6,0.5,0,0,,1.3,2.6,0.5,0.5,0.4,0.5,0.917,1,1.8,2.7,0.6,0.2,0.4,0.5,2.4,3.1,allenma01,6,Malik Allen,PF,29,DAL,25,4,333,3.6,7.1,0.5,0,0,,3.6,7.1,0.5,1.2,1.3,0.917,2.6,4.8,7.4,1.6,0.4,1.1,1.4,6.5,8.3,allenma01,110,107,allenma01,6,Malik Allen,PF,29,DAL,25,333,9.1,0.54,0,0.182,8.6,14.8,11.8,6.7,0.6,2.2,15.4,11.8,,0.3,0.4,0.7,0.096,,-3.8,0.5,-3.3,-0.1,allenma01,6,Malik Allen,PF,29,DAL,25,333,,,1%,88%,12%,10.5,5.8,3,4,42,3,3,4,35,0,4,allenma01,6,Malik Allen,PF,29,DAL,25,333,0.5,13.9,,1,0.152,0.076,0.197,0.576,0,,0.5,0.5,0.4,0.538,0.5,,,0.727,,,0.03,2,,,,,0,0,allenma01
