,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional,Rk.1,Player.1,Pos.1,Age.1,Tm.1,G.1,GS.1,MP.1,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,2P.1,2PA.1,2P%.1,FT.1,FTA.1,FT%.1,ORB.1,DRB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,PTS.1,Player-additional.1,ORtg,DRtg,Player-additional.2,Rk.2,Player.2,Pos.2,Age.2,Tm.2,G.2,MP.2,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 83,OWS,DWS,WS,WS/48,Unnamed: 88,OBPM,DBPM,BPM,VORP,Player-additional.3,Rk.3,Player.3,Pos.3,Age.3,Tm.3,G.3,MP.3,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot.1,Off..1,PGA,And1,Blkd,-9999,Rk.4,Player.4,Pos.4,Age.4,Tm.4,G.4,MP.4,FG%.2,Dist.,Unnamed: 127,2P.2,0-3,10-Mar,16-Oct,16-3P,3P.2,Unnamed: 134,2P.3,0-3.1,10-Mar.1,16-Oct.1,16-3P.1,3P.3,Unnamed: 141,2P.4,3P.4,Unnamed: 144,%FGA,#,Unnamed: 147,%3PA,3P%.2,Unnamed: 150,Att.,#.1,-9999.1
12,13,Kyle Anderson,SF,24,SAS,74,67,26.7,3.1,5.9,0.527,0.3,0.8,0.333,2.9,5.1,0.556,0.549,1.4,2.0,0.712,1.1,4.2,5.4,2.7,1.6,0.8,1.3,1.5,7.9,anderky01,13,Kyle Anderson,SF,24,SAS,74,67,1978,4.2,8.0,0.527,0.3,1.0,0.333,3.9,6.9,0.556,1.9,2.7,0.712,1.5,5.7,7.2,3.7,2.1,1.1,1.7,2.1,10.6,anderky01,114.0,101,anderky01,13,Kyle Anderson,SF,24,SAS,74,1978,15.9,0.582,0.13,0.333,4.7,17.6,11.1,14.7,2.9,2.5,15.8,13.5,,2.4,3.8,6.2,0.151,,-0.4,3.3,2.9,2.4,anderky01,13,Kyle Anderson,SF,24,SAS,74,1978,,,63%,37%,,4.3,2.7,58,15,44,3,66,10,481,16,31,anderky01,13,Kyle Anderson,SF,24,SAS,74,1978,0.527,8.4,,0.87,0.388,0.249,0.128,0.105,0.13,,0.556,0.688,0.459,0.482,0.391,0.333,,0.514,0.947,,0.039,15,,0.649,0.405,,1,0,anderky01
13,14,Ryan Anderson,PF,29,HOU,66,50,26.1,3.1,7.3,0.431,2.0,5.1,0.386,1.2,2.1,0.539,0.568,1.1,1.4,0.774,1.4,3.6,5.0,0.9,0.4,0.3,0.6,1.9,9.3,anderry01,14,Ryan Anderson,PF,29,HOU,66,50,1725,4.3,10.0,0.431,2.7,7.1,0.386,1.6,2.9,0.539,1.5,1.9,0.774,2.0,4.9,6.9,1.3,0.5,0.4,0.9,2.6,12.9,anderry01,121.0,109,anderry01,14,Ryan Anderson,PF,29,HOU,66,1725,12.6,0.592,0.706,0.194,6.2,15.4,10.8,5.1,0.7,1.0,7.5,14.4,,3.1,1.7,4.8,0.132,,0.9,-0.8,0.1,0.9,anderry01,14,Ryan Anderson,PF,29,HOU,66,1725,,,,76%,24%,6.4,-3.9,11,14,54,9,43,2,155,6,13,anderry01,14,Ryan Anderson,PF,29,HOU,66,1725,0.431,20.4,,0.294,0.142,0.044,0.04,0.069,0.706,,0.539,0.647,0.143,0.579,0.545,0.386,,0.342,0.992,,0.019,9,,0.109,0.405,,0,0,anderry01
14,15,Ike Anigbogu,C,19,IND,11,0,2.7,0.4,0.8,0.444,0.0,0.0,,0.4,0.8,0.444,0.444,0.5,0.5,0.833,0.5,0.4,0.8,0.0,0.1,0.3,0.2,0.1,1.2,anigbik01,15,Ike Anigbogu,C,19,IND,11,0,30,4.8,10.8,0.444,0.0,0.0,,4.8,10.8,0.444,6.0,7.2,0.833,6.0,4.8,10.8,0.0,1.2,3.6,2.4,1.2,15.6,anigbik01,114.0,104,anigbik01,15,Ike Anigbogu,C,19,IND,11,30,21.6,0.558,0.0,0.667,19.0,15.0,16.9,0.0,1.7,8.9,14.7,20.3,,0.1,0.0,0.1,0.165,,1.8,0.1,1.9,0.0,anigbik01,15,Ike Anigbogu,C,19,IND,11,30,,,,,100%,-24.7,-26.5,1,1,0,0,3,0,0,0,2,anigbik01,15,Ike Anigbogu,C,19,IND,11,30,0.444,10.4,,1.0,0.222,0.111,0.333,0.333,0.0,,0.444,0.5,0.0,0.333,0.667,,,0.5,,,0.222,1,,,,,0,0,anigbik01
15,16,Giannis Antetokounmpo,PF,23,MIL,75,75,36.7,9.9,18.7,0.529,0.6,1.9,0.307,9.3,16.8,0.554,0.545,6.5,8.5,0.76,2.1,8.0,10.0,4.8,1.5,1.4,3.0,3.1,26.9,antetgi01,16,Giannis Antetokounmpo,PF,23,MIL,75,75,2756,9.7,18.3,0.529,0.6,1.8,0.307,9.1,16.5,0.554,6.4,8.4,0.76,2.0,7.8,9.8,4.7,1.4,1.4,2.9,3.0,26.3,antetgi01,116.0,106,antetgi01,16,Giannis Antetokounmpo,PF,23,MIL,75,2756,27.3,0.598,0.1,0.457,6.7,25.3,16.0,23.7,2.0,3.3,11.7,31.2,,8.3,3.6,11.9,0.207,,5.3,0.9,6.2,5.7,antetgi01,16,Giannis Antetokounmpo,PF,23,MIL,75,2756,,,,93%,7%,2.8,9.4,79,67,83,39,316,3,890,78,85,antetgi01,16,Giannis Antetokounmpo,PF,23,MIL,75,2756,0.529,8.4,,0.9,0.454,0.173,0.114,0.16,0.1,,0.554,0.756,0.355,0.35,0.339,0.307,,0.429,0.907,,0.122,161,,0.107,0.333,,1,0,antetgi01
16,17,Carmelo Anthony,PF,33,OKC,78,78,32.1,6.1,15.0,0.404,2.2,6.1,0.357,3.9,8.9,0.437,0.476,1.9,2.5,0.767,0.9,4.9,5.8,1.3,0.6,0.6,1.3,2.5,16.2,anthoca01,17,Carmelo Anthony,PF,33,OKC,78,78,2501,6.8,16.8,0.404,2.4,6.8,0.357,4.4,10.0,0.437,2.1,2.8,0.767,1.0,5.6,6.5,1.5,0.7,0.7,1.4,2.8,18.2,anthoca01,104.0,109,anthoca01,17,Carmelo Anthony,PF,33,OKC,78,2501,12.7,0.503,0.406,0.165,2.9,17.7,10.0,6.5,0.9,1.8,7.3,23.2,,1.2,2.5,3.7,0.071,,-0.6,-1.3,-1.9,0.0,anthoca01,17,Carmelo Anthony,PF,33,OKC,78,2501,,,,90%,10%,5.0,4.8,32,21,89,20,81,8,262,13,54,anthoca01,17,Carmelo Anthony,PF,33,OKC,78,2501,0.404,17.1,,0.594,0.12,0.063,0.184,0.228,0.406,,0.437,0.571,0.329,0.456,0.38,0.357,,0.376,0.876,,0.02,17,,0.116,0.327,,0,0,anthoca01
17,18,OG Anunoby,SF,20,TOR,74,62,20.0,2.2,4.7,0.471,1.0,2.7,0.371,1.2,2.0,0.604,0.577,0.5,0.8,0.629,0.6,1.9,2.5,0.7,0.7,0.2,0.6,1.8,5.9,anunoog01,18,OG Anunoby,SF,20,TOR,74,62,1481,4.0,8.4,0.471,1.8,4.8,0.371,2.2,3.6,0.604,0.9,1.5,0.629,1.1,3.4,4.5,1.3,1.3,0.3,1.1,3.2,10.6,anunoog01,113.0,108,anunoog01,18,OG Anunoby,SF,20,TOR,74,1481,10.0,0.587,0.569,0.179,3.4,10.4,7.0,5.0,1.7,0.8,10.8,12.4,,1.4,1.6,3.0,0.098,,-1.2,0.6,-0.6,0.5,anunoog01,18,OG Anunoby,SF,20,TOR,74,1481,,,76%,24%,,10.7,4.4,19,13,64,4,34,4,135,10,23,anunoog01,18,OG Anunoby,SF,20,TOR,74,1481,0.471,14.5,,0.431,0.353,0.049,0.014,0.014,0.569,,0.604,0.697,0.235,0.2,0.0,0.371,,0.711,0.945,,0.136,42,,0.528,0.452,,0,0,anunoog01
18,19,Ryan Arcidiacono,PG,23,CHI,24,0,12.7,0.7,1.7,0.415,0.4,1.3,0.29,0.3,0.4,0.8,0.524,0.2,0.3,0.833,0.0,1.0,1.0,1.5,0.5,0.0,0.5,0.8,2.0,arcidry01,19,Ryan Arcidiacono,PG,23,CHI,24,0,304,2.0,4.9,0.415,1.1,3.7,0.29,0.9,1.2,0.8,0.6,0.7,0.833,0.1,2.8,3.0,4.1,1.5,0.0,1.5,2.1,5.7,arcidry01,105.0,112,arcidry01,19,Ryan Arcidiacono,PG,23,CHI,24,304,7.3,0.55,0.756,0.146,0.3,8.8,4.4,15.5,2.1,0.0,23.0,8.1,,0.1,0.2,0.3,0.04,,-4.7,0.6,-4.1,-0.2,arcidry01,19,Ryan Arcidiacono,PG,23,CHI,24,304,97%,3%,,,,-5.1,2.7,9,4,6,0,1,2,85,0,0,arcidry01,19,Ryan Arcidiacono,PG,23,CHI,24,304,0.415,21.1,,0.244,0.098,0.098,0.0,0.049,0.756,,0.8,1.0,0.5,,1.0,0.29,,0.5,0.889,,0.0,0,,0.323,0.6,,1,0,arcidry01
19,20,Trevor Ariza,SF,32,HOU,67,67,33.9,4.0,9.7,0.412,2.5,6.9,0.368,1.5,2.8,0.519,0.542,1.1,1.3,0.854,0.5,3.9,4.4,1.6,1.5,0.2,0.8,2.0,11.7,arizatr01,20,Trevor Ariza,SF,32,HOU,67,67,2269,4.3,10.3,0.412,2.7,7.3,0.368,1.6,3.0,0.519,1.2,1.4,0.854,0.5,4.1,4.7,1.7,1.6,0.2,0.8,2.1,12.4,arizatr01,114.0,107,arizatr01,20,Trevor Ariza,SF,32,HOU,67,2269,11.8,0.567,0.71,0.137,1.7,12.9,7.3,6.8,2.1,0.5,7.0,14.4,,2.6,2.8,5.3,0.113,,0.0,0.7,0.7,1.5,arizatr01,20,Trevor Ariza,SF,32,HOU,67,2269,,14%,81%,5%,,8.3,-0.7,22,17,34,7,36,9,269,13,21,arizatr01,20,Trevor Ariza,SF,32,HOU,67,2269,0.412,18.0,,0.29,0.22,0.052,0.008,0.011,0.71,,0.519,0.636,0.176,0.0,0.143,0.368,,0.592,0.953,,0.029,19,,0.392,0.431,,2,0,arizatr01
20,21,Darrell Arthur,PF,29,DEN,19,1,7.4,1.2,2.5,0.468,0.4,1.2,0.348,0.7,1.3,0.583,0.553,0.1,0.2,0.667,0.2,0.6,0.8,0.5,0.4,0.2,0.8,1.2,2.8,arthuda01,21,Darrell Arthur,PF,29,DEN,19,1,141,5.6,12.0,0.468,2.0,5.9,0.348,3.6,6.1,0.583,0.5,0.8,0.667,0.8,3.1,3.8,2.3,2.0,0.8,3.8,5.6,13.8,arthuda01,90.0,109,arthuda01,21,Darrell Arthur,PF,29,DEN,19,141,8.4,0.559,0.489,0.064,2.4,9.5,6.0,9.3,2.8,1.8,23.7,19.5,,-0.2,0.1,0.0,-0.011,,-4.8,-0.5,-5.3,-0.1,arthuda01,21,Darrell Arthur,PF,29,DEN,19,141,,,,20%,80%,-11.3,-13.0,5,3,14,3,2,0,22,1,2,arthuda01,21,Darrell Arthur,PF,29,DEN,19,141,0.468,17.8,,0.511,0.128,0.064,0.149,0.17,0.489,,0.583,1.0,0.0,0.286,0.75,0.348,,0.929,1.0,,0.021,1,,0.174,0.25,,0,0,arthuda01
21,22,Jamel Artis,SG,25,ORL,15,1,18.6,2.1,5.3,0.392,0.5,1.9,0.276,1.5,3.3,0.46,0.443,0.5,0.8,0.583,0.3,2.3,2.5,1.2,0.1,0.2,0.5,0.7,5.1,artisja01,22,Jamel Artis,SG,25,ORL,15,1,279,4.0,10.2,0.392,1.0,3.7,0.276,3.0,6.5,0.46,0.9,1.5,0.583,0.5,4.4,4.9,2.3,0.3,0.4,1.0,1.4,9.9,artisja01,94.0,114,artisja01,22,Jamel Artis,SG,25,ORL,15,279,6.9,0.457,0.367,0.152,1.6,13.5,7.5,9.3,0.4,0.9,8.7,14.5,,-0.1,0.1,0.0,-0.006,,-3.8,-1.6,-5.4,-0.2,artisja01,22,Jamel Artis,SG,25,ORL,15,279,,48%,46%,6%,,-2.3,2.9,3,4,6,1,5,1,47,2,3,artisja01,22,Jamel Artis,SG,25,ORL,15,279,0.392,14.6,,0.633,0.152,0.228,0.076,0.177,0.367,,0.46,0.667,0.444,0.333,0.357,0.276,,0.696,0.875,,0.013,0,,0.31,0.222,,0,0,artisja01
