,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional,Rk.1,Player.1,Pos.1,Age.1,Tm.1,G.1,GS.1,MP.1,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,2P.1,2PA.1,2P%.1,FT.1,FTA.1,FT%.1,ORB.1,DRB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,PTS.1,Player-additional.1,ORtg,DRtg,Player-additional.2,Rk.2,Player.2,Pos.2,Age.2,Tm.2,G.2,MP.2,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 83,OWS,DWS,WS,WS/48,Unnamed: 88,OBPM,DBPM,BPM,VORP,Player-additional.3,Rk.3,Player.3,Pos.3,Age.3,Tm.3,G.3,MP.3,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot.1,Off..1,PGA,And1,Blkd,-9999,Rk.4,Player.4,Pos.4,Age.4,Tm.4,G.4,MP.4,FG%.2,Dist.,Unnamed: 127,2P.2,0-3,10-Mar,16-Oct,16-3P,3P.2,Unnamed: 134,2P.3,0-3.1,10-Mar.1,16-Oct.1,16-3P.1,3P.3,Unnamed: 141,2P.4,3P.4,Unnamed: 144,%FGA,#,Unnamed: 147,%3PA,3P%.2,Unnamed: 150,Att.,#.1,-9999.1
0,1,Álex Abrines,SG,24,OKC,75,8,15.1,1.5,3.9,0.395,1.1,2.9,0.38,0.4,0.9,0.443,0.54,0.5,0.6,0.848,0.3,1.2,1.5,0.4,0.5,0.1,0.3,1.7,4.7,abrinal01,1,Álex Abrines,SG,24,OKC,75,8,1134,3.7,9.2,0.395,2.7,7.0,0.38,1.0,2.2,0.443,1.2,1.5,0.848,0.8,2.8,3.6,0.9,1.2,0.3,0.8,3.9,11.2,abrinal01,116.0,110,abrinal01,1,Álex Abrines,SG,24,OKC,75,1134,9.0,0.567,0.759,0.158,2.5,8.9,5.6,3.4,1.7,0.6,7.4,12.7,,1.3,1.0,2.2,0.094,,-1.9,0.4,-1.5,0.1,abrinal01,1,Álex Abrines,SG,24,OKC,75,1134,2%,88%,11%,,,0.1,-4.4,14,7,68,1,15,3,66,4,9,abrinal01,1,Álex Abrines,SG,24,OKC,75,1134,0.395,20.3,,0.241,0.127,0.041,0.027,0.041,0.759,,0.443,0.595,0.25,0.625,0.083,0.38,,0.548,1.0,,0.034,9,,0.253,0.375,,1,0,abrinal01
1,2,Quincy Acy,PF,27,BRK,70,8,19.4,1.9,5.2,0.356,1.5,4.2,0.349,0.4,1.0,0.384,0.496,0.7,0.9,0.817,0.6,3.1,3.7,0.8,0.5,0.4,0.9,2.1,5.9,acyqu01,2,Quincy Acy,PF,27,BRK,70,8,1359,3.4,9.7,0.356,2.7,7.7,0.349,0.7,1.9,0.384,1.3,1.6,0.817,1.1,5.7,6.8,1.5,0.9,0.8,1.6,3.9,10.9,acyqu01,99.0,110,acyqu01,2,Quincy Acy,PF,27,BRK,70,1359,8.2,0.525,0.8,0.164,3.1,17.1,10.0,6.0,1.2,1.6,13.3,14.4,,-0.1,1.1,1.0,0.036,,-2.6,0.1,-2.5,-0.2,acyqu01,2,Quincy Acy,PF,27,BRK,70,1359,,,,58%,42%,-2.7,1.8,21,13,67,15,23,9,145,1,13,acyqu01,2,Quincy Acy,PF,27,BRK,70,1359,0.356,20.7,,0.2,0.115,0.027,0.025,0.033,0.8,,0.384,0.5,0.0,0.333,0.333,0.349,,0.857,0.99,,0.036,9,,0.305,0.404,,0,0,acyqu01
2,3,Steven Adams,C,24,OKC,76,76,32.7,5.9,9.4,0.629,0.0,0.0,0.0,5.9,9.3,0.631,0.629,2.1,3.8,0.559,5.1,4.0,9.0,1.2,1.2,1.0,1.7,2.8,13.9,adamsst01,3,Steven Adams,C,24,OKC,76,76,2487,6.5,10.3,0.629,0.0,0.0,0.0,6.5,10.3,0.631,2.3,4.1,0.559,5.6,4.4,9.9,1.3,1.3,1.1,1.9,3.1,15.3,adamsst01,125.0,107,adamsst01,3,Steven Adams,C,24,OKC,76,2487,20.6,0.63,0.003,0.402,16.6,13.9,15.3,5.5,1.8,2.8,13.3,16.7,,6.7,3.0,9.7,0.187,,1.7,-0.6,1.1,2.0,adamsst01,3,Steven Adams,C,24,OKC,76,2487,,,,,100%,5.8,6.8,26,34,76,41,112,4,213,32,47,adamsst01,3,Steven Adams,C,24,OKC,76,2487,0.629,2.6,,0.997,0.708,0.233,0.052,0.004,0.003,,0.631,0.688,0.494,0.514,0.0,0.0,,0.69,,,0.242,150,,0.0,,,2,0,adamsst01
3,4,Bam Adebayo,C,20,MIA,69,19,19.8,2.5,4.9,0.512,0.0,0.1,0.0,2.5,4.8,0.523,0.512,1.9,2.6,0.721,1.7,3.8,5.5,1.5,0.5,0.6,1.0,2.0,6.9,adebaba01,4,Bam Adebayo,C,20,MIA,69,19,1368,4.6,8.9,0.512,0.0,0.2,0.0,4.6,8.8,0.523,3.4,4.7,0.721,3.1,6.9,10.0,2.7,0.8,1.1,1.7,3.6,12.6,adebaba01,116.0,105,adebaba01,4,Bam Adebayo,C,20,MIA,69,1368,15.7,0.57,0.021,0.526,9.7,21.6,15.6,11.0,1.2,2.5,13.6,15.9,,2.3,1.9,4.2,0.148,,-1.1,0.7,-0.4,0.6,adebaba01,4,Bam Adebayo,C,20,MIA,69,1368,,,,4%,96%,0.5,-0.7,16,24,67,18,81,10,260,19,29,adebaba01,4,Bam Adebayo,C,20,MIA,69,1368,0.512,4.3,,0.979,0.624,0.232,0.082,0.041,0.021,,0.523,0.642,0.329,0.321,0.214,0.0,,0.701,,,0.294,91,,0.0,,,4,0,adebaba01
4,5,Arron Afflalo,SG,32,ORL,53,3,12.9,1.2,3.1,0.401,0.5,1.3,0.386,0.7,1.7,0.413,0.485,0.4,0.5,0.846,0.1,1.2,1.2,0.6,0.1,0.2,0.4,1.1,3.4,afflaar01,5,Arron Afflalo,SG,32,ORL,53,3,682,3.4,8.6,0.401,1.4,3.7,0.386,2.0,4.9,0.413,1.2,1.4,0.846,0.2,3.3,3.5,1.6,0.2,0.5,1.1,3.0,9.4,afflaar01,98.0,115,afflaar01,5,Arron Afflalo,SG,32,ORL,53,682,5.8,0.516,0.432,0.16,0.6,10.1,5.3,6.2,0.3,1.1,10.8,12.5,,-0.1,0.2,0.1,0.009,,-3.8,-1.5,-5.4,-0.6,afflaar01,5,Arron Afflalo,SG,32,ORL,53,682,5%,77%,18%,,,-6.4,-1.7,10,3,31,4,11,2,76,0,8,afflaar01,5,Arron Afflalo,SG,32,ORL,53,682,0.401,17.1,,0.568,0.093,0.123,0.154,0.198,0.432,,0.413,0.733,0.45,0.36,0.281,0.386,,0.632,0.926,,0.0,0,,0.414,0.276,,0,0,afflaar01
5,6,Cole Aldrich,C,29,MIN,21,0,2.3,0.2,0.7,0.333,0.0,0.0,,0.2,0.7,0.333,0.333,0.1,0.3,0.333,0.1,0.6,0.7,0.1,0.1,0.0,0.0,0.5,0.6,aldrico01,6,Cole Aldrich,C,29,MIN,21,0,49,3.7,11.0,0.333,0.0,0.0,,3.7,11.0,0.333,1.5,4.4,0.333,2.2,8.8,11.0,2.2,1.5,0.7,0.7,8.1,8.8,aldrico01,85.0,107,aldrico01,6,Cole Aldrich,C,29,MIN,21,49,6.0,0.34,0.0,0.4,7.0,28.6,17.6,8.2,2.0,1.8,5.4,16.8,,-0.1,0.1,0.0,-0.013,,-6.8,-0.7,-7.5,-0.1,aldrico01,6,Cole Aldrich,C,29,MIN,21,49,,,,,100%,-2.0,-4.6,0,0,2,1,2,0,7,0,1,aldrico01,6,Cole Aldrich,C,29,MIN,21,49,0.333,3.2,,1.0,0.533,0.467,0.0,0.0,0.0,,0.333,0.25,0.429,,,,,0.8,,,0.067,1,,,,,0,0,aldrico01
6,7,LaMarcus Aldridge,C,32,SAS,75,75,33.5,9.2,18.0,0.51,0.4,1.2,0.293,8.8,16.7,0.526,0.52,4.5,5.3,0.837,3.3,5.2,8.5,2.0,0.6,1.2,1.5,2.1,23.1,aldrila01,7,LaMarcus Aldridge,C,32,SAS,75,75,2509,9.9,19.3,0.51,0.4,1.3,0.293,9.5,18.0,0.526,4.8,5.7,0.837,3.5,5.6,9.1,2.2,0.6,1.3,1.6,2.3,24.9,aldrila01,118.0,105,aldrila01,7,LaMarcus Aldridge,C,32,SAS,75,2509,25.0,0.57,0.068,0.296,10.8,17.3,14.0,11.3,0.9,3.0,6.8,29.1,,7.4,3.5,10.9,0.209,,4.3,-0.4,3.9,3.7,aldrila01,7,LaMarcus Aldridge,C,32,SAS,75,2509,,,,38%,62%,5.5,6.7,34,35,96,18,185,3,373,53,44,aldrila01,7,LaMarcus Aldridge,C,32,SAS,75,2509,0.51,9.8,,0.932,0.275,0.212,0.256,0.189,0.068,,0.526,0.735,0.446,0.438,0.431,0.293,,0.502,0.963,,0.036,46,,0.163,0.467,,1,0,aldrila01
7,8,Jarrett Allen,C,19,BRK,72,31,20.0,3.3,5.5,0.589,0.1,0.2,0.333,3.2,5.3,0.599,0.596,1.6,2.0,0.776,2.0,3.4,5.4,0.7,0.4,1.2,1.1,2.0,8.2,allenja01,8,Jarrett Allen,C,19,BRK,72,31,1441,5.8,9.9,0.589,0.1,0.4,0.333,5.7,9.5,0.599,2.8,3.7,0.776,3.6,6.1,9.7,1.2,0.7,2.2,2.0,3.7,14.7,allenja01,119.0,108,allenja01,8,Jarrett Allen,C,19,BRK,72,1441,17.5,0.636,0.038,0.37,10.5,18.1,14.3,5.4,0.9,4.6,15.1,16.3,,2.7,1.5,4.2,0.141,,-0.9,0.1,-0.8,0.5,allenja01,8,Jarrett Allen,C,19,BRK,72,1441,,,,2%,98%,-4.1,-0.2,28,22,95,23,71,1,122,11,39,allenja01,8,Jarrett Allen,C,19,BRK,72,1441,0.589,3.7,,0.962,0.668,0.232,0.038,0.023,0.038,,0.599,0.698,0.38,0.333,0.333,0.333,,0.843,1.0,,0.353,117,,0.867,0.385,,2,1,allenja01
8,9,Kadeem Allen,PG,25,BOS,18,1,5.9,0.3,1.2,0.273,0.0,0.6,0.0,0.3,0.6,0.545,0.273,0.4,0.5,0.778,0.2,0.4,0.6,0.7,0.2,0.1,0.5,0.8,1.1,allenka01,9,Kadeem Allen,PG,25,BOS,18,1,107,2.0,7.4,0.273,0.0,3.7,0.0,2.0,3.7,0.545,2.4,3.0,0.778,1.3,2.4,3.7,4.0,1.0,0.7,3.0,5.0,6.4,allenka01,78.0,106,allenka01,9,Kadeem Allen,PG,25,BOS,18,107,2.6,0.366,0.5,0.409,4.1,7.1,5.6,15.2,1.4,1.6,25.7,14.6,,-0.2,0.1,-0.1,-0.038,,-8.3,0.6,-7.7,-0.2,allenka01,9,Kadeem Allen,PG,25,BOS,18,107,69%,31%,,,,-5.6,-9.5,5,1,7,3,3,1,27,1,1,allenka01,9,Kadeem Allen,PG,25,BOS,18,107,0.273,14.4,,0.5,0.318,0.091,0.091,0.0,0.5,,0.545,0.571,0.5,0.5,,0.0,,0.5,,,0.045,1,,0.364,0.0,,0,0,allenka01
9,10,Tony Allen,SF,36,NOP,22,0,12.4,2.0,4.1,0.484,0.2,0.5,0.333,1.8,3.6,0.506,0.505,0.5,1.0,0.524,0.9,1.2,2.1,0.4,0.5,0.1,0.9,2.2,4.7,allento01,10,Tony Allen,SF,36,NOP,22,0,273,5.8,12.0,0.484,0.5,1.6,0.333,5.3,10.4,0.506,1.5,2.8,0.524,2.6,3.6,6.2,1.2,1.5,0.4,2.5,6.5,13.6,allento01,95.0,110,allento01,10,Tony Allen,SF,36,NOP,22,273,8.7,0.514,0.132,0.231,8.2,10.4,9.3,4.6,1.9,0.9,15.9,18.9,,-0.2,0.2,0.1,0.017,,-5.2,-0.3,-5.5,-0.2,allento01,10,Tony Allen,SF,36,NOP,22,273,,18%,73%,9%,,3.0,1.3,10,2,22,4,11,3,20,1,11,allento01,10,Tony Allen,SF,36,NOP,22,273,0.484,6.1,,0.868,0.659,0.154,0.0,0.055,0.132,,0.506,0.567,0.357,,0.2,0.333,,0.7,1.0,,0.022,2,,0.333,0.75,,1,0,allento01
10,11,Al-Farouq Aminu,PF,27,POR,69,67,30.0,3.3,8.4,0.395,1.8,4.9,0.369,1.5,3.5,0.432,0.503,0.9,1.2,0.738,1.4,6.2,7.6,1.2,1.1,0.6,1.1,2.0,9.3,aminual01,11,Al-Farouq Aminu,PF,27,POR,69,67,2072,4.0,10.1,0.395,2.2,5.9,0.369,1.8,4.2,0.432,1.0,1.4,0.738,1.7,7.4,9.1,1.5,1.4,0.7,1.4,2.4,11.2,aminual01,105.0,104,aminual01,11,Al-Farouq Aminu,PF,27,POR,69,2072,12.0,0.522,0.582,0.137,5.2,22.3,13.8,5.8,1.9,1.6,11.3,14.8,,0.9,3.2,4.2,0.097,,-0.7,1.1,0.4,1.3,aminual01,11,Al-Farouq Aminu,PF,27,POR,69,2072,,,3%,96%,1%,5.2,4.9,34,21,62,8,33,8,197,5,16,aminual01,11,Al-Farouq Aminu,PF,27,POR,69,2072,0.395,16.5,,0.418,0.215,0.12,0.026,0.057,0.582,,0.432,0.608,0.314,0.133,0.152,0.369,,0.486,0.96,,0.041,23,,0.28,0.474,,0,0,aminual01
11,12,Justin Anderson,SF,24,PHI,38,0,13.7,2.3,5.3,0.431,0.9,2.7,0.33,1.4,2.6,0.535,0.515,0.7,1.0,0.737,0.7,1.8,2.4,0.7,0.4,0.2,0.4,1.4,6.2,anderju01,12,Justin Anderson,SF,24,PHI,38,0,519,6.0,14.0,0.431,2.4,7.1,0.33,3.7,6.9,0.535,1.9,2.6,0.737,1.7,4.7,6.5,1.7,1.0,0.5,1.1,3.7,16.4,anderju01,110.0,107,anderju01,12,Justin Anderson,SF,24,PHI,38,519,13.0,0.54,0.51,0.188,5.4,13.6,9.6,7.1,1.4,1.1,6.8,19.3,,0.6,0.7,1.2,0.115,,-0.6,-0.3,-0.9,0.1,anderju01,12,Justin Anderson,SF,24,PHI,38,519,,16%,65%,19%,,-6.3,-12.7,9,1,26,2,18,1,58,4,13,anderju01,12,Justin Anderson,SF,24,PHI,38,519,0.431,14.8,,0.49,0.302,0.104,0.04,0.045,0.51,,0.535,0.672,0.238,0.375,0.444,0.33,,0.679,0.941,,0.104,17,,0.291,0.3,,1,0,anderju01
