Player,Salary
Tyronn Lue,1700000
Rodney White,1693560
Jason Terry,1689360
Keyon Dooling,1654320
Tony Massenburg,1650000
Corie Blount,1609235
Joe Johnson,1608840
Trajan Langdon,1604880
Dana Barros,1600000
Fred Hoiberg,1600000
Jerome Moiso,1571640
Pat Garrity,1569691
Kendall Gill,1538000
Kedrick Brown,1528440
Aleksandar Radojevic,1524600
Muggsy Bogues,1520860
Roshown McLeod,1509001
Popeye Jones,1500000
Danny Manning,1500000
Ricky Davis,1496400
Etan Thomas,1493040
Brian Skinner,1483461
Vladimir Radmanovic,1452000
Corey Maggette,1448400
Al Harrington,1436982
Courtney Alexander,1418400
Samaki Walker,1400000
Richard Jefferson,1379400
William Avery,1375920
Mateen Cleaves,1347480
Will Perdue,1320000
Troy Murphy,1310400
Eldridge Recasner,1300000
Matt Bullard,1300000
Bryce Drew,1300000
Jason Collier,1280040
Steven Hunter,1244880
Metta World Peace,1241760
Hidayet Turkoglu,1216080
Greg Buckner,1200000
Kirk Haston,1182600
Cal Bowdler,1179720
Desmond Mason,1155240
Michael Bradley,1123560
James Posey,1120680
Quentin Richardson,1097520
Quincy Lewis,1070280
Jason Collins,1067400
Jamaal Magloire,1048080
Dion Glover,1027440
Zach Randolph,1019280
Michael Ruffin,1009147
Speedy Claxton,1006200
Michael Jordan,1000000
John Crotty,1000000
Mark Bryant,1000000
Danny Ferry,1000000
Dan Majerle,1000000
Don Reid,1000000
Felton Spencer,1000000
Sam Mitchell,1000000
Jeff Foster,986400
Brendan Haywood,978600
Morris Peterson,966000
Don MacLean,965850
Brian Shaw,963415
Kenny Thomas,946920
Tim James,943252
Joseph Forte,939360
Donnell Harvey,927360
Jeryl Sasser,901800
DeShawn Stevenson,890280
Brandon Armstrong,865800
Dalibor Bagaric,854640
Devean George,834250
Andrei Kirilenko,831120
Iakovos Tsakalidis,820400
Vonteego Cummings,810000
Gerald Wallace,797880
Mamadou N'diaye,793200
Jim Jackson,789170
Jumaine Jones,786600
Scott Padgett,781680
Monty Williams,778350
Carlos Rogers,778350
Darrick Martin,778350
Samuel Dalembert,771480
Mark Madsen,759960
Primoz Brezec,749160
Jamaal Tinsley,749160
Tony Parker,744480
Cherokee Parks,715850
Bruce Bowen,715850
Mitchell Butler,715850
Antonio Harvey,715850
Larry Robinson,715850
Gary Trent,715850
Mark Strickland,715850
Emanual Davis,715850
Milt Palacio,690000
Victor Alexander,653350
Earl Boykins,650000
Reggie Slater,646011
Erick Barkley,638000
Erick Strickland,637415
Laron Profit,630850
