Player,Salary
Kobe Bryant,30453000
Dirk Nowitzki,22721381
Gilbert Arenas,22346536
Amare Stoudemire,21679893
Carmelo Anthony,21490000
Joe Johnson,21466718
Dwight Howard,20513178
Pau Gasol,19285850
LeBron James,19067500
Chris Bosh,19067500
Kevin Durant,18773176
Chris Paul,18668431
Dwyane Wade,18536000
Deron Williams,18466130
Rudy Gay,17888932
Zach Randolph,17800000
Brandon Roy,17779458
Derrick Rose,17632688
Blake Griffin,16402500
Paul Pierce,15333334
Carlos Boozer,15300000
Marc Gasol,14860523
Brook Lopez,14694000
Russell Westbrook,14693906
Kevin Love,14693906
Emeka Okafor,14544687
Danny Granger,14379240
Luol Deng,14312125
Eric Gordon,14283844
Roy Hibbert,14283844
Andrew Bogut,14200000
Tyson Chandler,14100538
LaMarcus Aldridge,14100000
Josh Smith,14000000
David Lee,13878000
James Harden,13668750
Al Jefferson,13500000
Ben Gordon,13200000
Nenê,13000000
Andre Iguodala,12868632
Tony Parker,12500000
Serge Ibaka,12250000
Nikola Pekovic,12100000
David West,12000000
Kris Humphries,12000000
Rajon Rondo,12000000
Al Horford,12000000
Tyreke Evans,11796247
Joakim Noah,11600000
Kevin Garnett,11532468
Richard Jefferson,11046000
Andrea Bargnani,11000000
Jrue Holiday,11000000
DeAndre Jordan,10986550
Nicolas Batum,10920250
Ty Lawson,10786517
JaVale McGee,10750000
Tim Duncan,10361446
Danilo Gallinari,10146925
Gerald Wallace,10105855
Tiago Splitter,10000000
Stephen Curry,9887642
DeMar DeRozan,9500000
Paul Millsap,9500000
Metta World Peace,9317280
Shawn Marion,9316796
Steve Nash,9300500
Andray Blatche,9170525
Anderson Varejao,9100000
Andris Biedrins,9000000
Jeff Green,8700000
Tyrus Thomas,8694215
Thaddeus Young,8600000
Jameer Nelson,8600000
Charlie Villanueva,8580000
Al Harrington,8548107
Rodney Stuckey,8500000
Kendrick Perkins,8477437
Caron Butler,8386992
Monta Ellis,8360000
Ryan Anderson,8308500
Marcus Thornton,8165000
OJ Mayo,8000000
George Hill,8000000
Jeff Teague,8000000
Ersan Ilyasova,7900000
Mike Conley,7900000
Marcin Gortat,7727280
Trevor Ariza,7727280
Brandon Jennings,7655503
Mike Miller,7599507
John Salmons,7580000
Arron Afflalo,7562500
Taj Gibson,7550000
Marvin Williams,7500000
Goran Dragic,7500000
John Wall,7459924
Josh Childress,7405833
Tayshaun Prince,7235955
Drew Gooden,7091619
Brendan Haywood,7073500
Michael Beasley,7027424
Manu Ginobili,7000000
Andrew Bynum,7000000
Wesley Matthews,6875480
Jose Calderon,6791570
Kyle Korver,6760563
Carl Landry,6750000
Glen Davis,6750000
Brandon Bass,6750000
Evan Turner,6679866
Hidayet Turkoglu,6650359
Amir Johnson,6500000
Kevin Martin,6500000
JJ Redick,6500000
Spencer Hawes,6500000
Channing Frye,6400000
Wilson Chandler,6344164
Jarrett Jack,6300000
Chris Andersen,6217507
Kyle Lowry,6210000
Jason Richardson,6204250
Derrick Favors,6008106
Gerald Henderson,6000000
Kyrie Irving,5915880
Chuck Hayes,5722500
Jason Thompson,5643750
JR Smith,5565000
Anthony Davis,5375760
Anthony Bennett,5324280
Derrick Williams,5293080
Landry Fields,5225000
Jason Terry,5225000
Courtney Lee,5225000
Jamal Crawford,5225000
Omer Asik,5225000
Jeremy Lin,5225000
Louis Williams,5225000
Zaza Pachulia,5200000
Martell Webster,5150000
JJ Hickson,5150000
Robin Lopez,5119761
Keith Bogans,5058198
Andre Miller,5000000
Chase Budinger,5000000
Ramon Sessions,5000000
Tony Allen,5000000
Brandan Wright,5000000
DeMarcus Cousins,4916973
Michael Kidd-Gilchrist,4809840
Victor Oladipo,4763760
Enes Kanter,4753320
Boris Diaw,4702500
Jose Juan Barea,4687000
Linas Kleiza,4600000
Luc Mbah a Moute,4588384
Corey Brewer,4500000
Luis Scola,4500000
Jonas Jerebko,4500000
Ekpe Udoh,4469547
Timofey Mozgov,4400000
Earl Clark,4361518
Udonis Haslem,4340000
Luke Ridnour,4320000
Bradley Beal,4319280
Tristan Thompson,4285560
Otto Porter,4278000
Jared Dudley,4250000
Quentin Richardson,4208107
Raymond Felton,4180000
Greg Monroe,4086453
Kirk Hinrich,4059000
Ricky Rubio,4002120
Brandon Rush,4000000
Mario Chalmers,4000000
Ian Mahinmi,4000000
Steve Blake,4000000
Elton Brand,4000000
Matt Bonner,3945000
Thabo Sefolosha,3900000
Dion Waiters,3894240
Cody Zeller,3857040
Joel Anthony,3800000
Danny Green,3762500
Steve Novak,3750001
Samuel Dalembert,3700748
Al-Farouq Aminu,3700000
Jonas Valanciunas,3526440
Thomas Robinson,3526440
Jan Vesely,3524880
Gerald Green,3500000
Jordan Hill,3500000
Marreese Speights,3500000
Alex Len,3492720
Gordon Hayward,3452183
Marcus Camby,3383773
Paul George,3282003
Shane Battier,3270000
Carlos Delfino,3250000
Matt Barnes,3250000
Alonzo Gee,3250000
Gary Neal,3250000
Klay Thompson,3245151
Darrell Arthur,3231683
Ray Allen,3229050
Mirza Teletovic,3229050
Bismack Biyombo,3217680
Damian Lillard,3202920
Tyler Hansbrough,3183000
Chris Kaman,3183000
Andrei Kirilenko,3183000
Vince Carter,3180000
Nerlens Noel,3172320
Ed Davis,3153860
Jerryd Bayless,3135000
Lavoy Allen,3120000
Patrick Patterson,3105301
Alexey Shved,3066667
Larry Sanders,3053368
Dorell Wright,3000000
Joel Freeland,3000000
Kwame Brown,3000000
Kosta Koufos,3000000
Chris Copeland,3000000
Randy Foye,3000000
Mike Dunleavy,3000000
Brandon Knight,2947800
Harrison Barnes,2923920
Ben McLemore,2895960
Jimmer Fredette,2813399
Will Bynum,2790343
Kevin Seraphin,2761113
Marco Belinelli,2750000
Kemba Walker,2709720
Terrence Ross,2678640
Greg Stiemsma,2676000
Kentavious Caldwell-Pope,2653080
Maurice Williams,2652000
Josh McRoberts,2652000
Eric Bledsoe,2626473
Aaron Gray,2612500
Nick Collison,2585668
Avery Bradley,2511432
Jason Maxiell,2500000
Jason Smith,2500000
Chauncey Billups,2500000
Wayne Ellington,2500000
DeMarre Carroll,2500000
Andre Drummond,2462400
Trey Burke,2438760
Trevor Booker,2350820
Austin Rivers,2339040
Alec Burks,2323200
CJ McCollum,2316720
Quincy Pondexter,2225478
CJ Miles,2225000
Meyers Leonard,2222160
Markieff Morris,2207040
Michael Carter-Williams,2200920
Dante Cunningham,2180000
Jordan Crawford,2162418
