Player,Salary
Kevin Garnett,21000000
Shaquille O'Neal,20000000
Michael Finley,19030999
Chris Webber,18261024
Jermaine O'Neal,18084000
Jason Kidd,18084000
Kobe Bryant,17718750
Tim Duncan,17429672
Stephon Marbury,17184375
Allen Iverson,17184375
Grant Hill,16901500
Tracy McGrady,16901500
Brian Grant,16786950
Jalen Rose,16141500
Ben Wallace,16000000
Eddie Jones,15395472
Antawn Jamison,15101625
Dirk Nowitzki,15101625
Vince Carter,15101625
Paul Pierce,15101625
Shawn Marion,15070000
Steve Francis,15070000
Baron Davis,15070000
Ray Allen,14611570
Elton Brand,14248000
Larry Hughes,13363012
Michael Redd,13260000
Joe Johnson,12744189
Mike Bibby,12500000
Amare Stoudemire,12455000
Yao Ming,12455000
Andrei Kirilenko,12364000
Pau Gasol,12364000
Lamar Odom,12348596
Kenyon Martin,12068182
Zach Randolph,12000000
Wally Szczerbiak,11775000
Theo Ratliff,11666666
Rasheed Wallace,11650000
Raef LaFrentz,11532037
Carlos Boozer,11260483
Richard Jefferson,11200000
Gilbert Arenas,11096800
Derek Anderson,11043897
Predrag Stojakovic,10800000
Steve Nash,10500000
Jason Richardson,9999999
Erick Dampier,9628000
Brad Miller,9625000
Samuel Dalembert,9464307
Tony Parker,9450000
Zydrunas Ilgauskas,9442697
Rashard Lewis,9350649
Jerry Stackhouse,9296874
Richard Hamilton,9187500
Tyson Chandler,9150000
Marcus Camby,8800000
Andre Miller,8733333
Bobby Simmons,8640000
Maurice Taylor,8565918
PJ Brown,8560000
Jamaal Magloire,8433334
Kwame Brown,8287500
Troy Murphy,8285714
Manu Ginobili,8254375
Mehmet Okur,8250000
Jason Williams,8250000
Eddy Curry,8171103
Cuttino Mobley,8125000
Adonal Foyle,8125000
Jason Terry,8100000
Aaron McKie,8070874
Desmond Mason,8037037
Nenê,8000000
Tayshaun Prince,7851240
Kurt Thomas,7821482
Darius Miles,7750000
Calvin Booth,7628858
Al Harrington,7625000
Mike Miller,7623813
Antoine Walker,7606820
Metta World Peace,7526316
Quentin Richardson,7525500
Malik Rose,7525397
Mike Dunleavy,7438016
Caron Butler,7438000
Austin Croshere,7300000
Mark Blount,7288165
Radoslav Nesterovic,7280000
Shandon Anderson,7244726
Jamal Crawford,7200000
Kenny Thomas,7187500
Jerome Williams,7014400
Corey Maggette,7000000
Speedy Claxton,6854546
Sam Cassell,6850000
Joe Smith,6807000
Ruben Patterson,6807000
Alonzo Mourning,6725433
Drew Gooden,6645402
Danny Fortson,6596990
Matt Harpring,6500000
Corliss Williamson,6500000
James Posey,6392100
Juwan Howard,6392100
Ricky Davis,6364400
Chauncey Billups,6364400
Chris Wilcox,6250000
Stephen Jackson,6120000
Eric Snow,6093750
Etan Thomas,5883600
Derek Fisher,5883600
Hidayet Turkoglu,5883600
Marquis Daniels,5883600
Antonio McDyess,5883600
Jamaal Tinsley,5850000
LeBron James,5828090
Jason Collins,5800000
Tony Battie,5746000
Donyell Marshall,5633037
Troy Hudson,5603000
Marko Jaric,5525000
Udonis Haslem,5525000
Gerald Wallace,5525000
Jeff Foster,5500000
Antonio Daniels,5400000
Shareef Abdur-Rahim,5400000
Earl Watson,5400000
Jerome James,5400000
Brian Skinner,5400000
Stromile Swift,5400000
Brian Cardinal,5400000
Shane Battier,5393300
Vin Baker,5329555
Bobby Jackson,5259000
Dan Gadzuric,5252065
Darko Milicic,5218622
Joel Przybilla,5215000
Jared Jeffries,5215000
Mike James,5215000
Vladimir Radmanovic,5215000
Tim Thomas,5215000
Nazr Mohammed,5215000
Greg Buckner,5182074
Brent Barry,5117880
Marc Jackson,4875000
Dwight Howard,4806720
Shawn Bradley,4800000
Carmelo Anthony,4694041
Andrew Bogut,4665960
Alvin Williams,4587508
Eduardo Najera,4571428
Morris Peterson,4550000
Andrea Bargnani,4501200
Brendan Haywood,4500000
Raja Bell,4500000
John Salmons,4400000
Brevin Knight,4400000
Trenton Hassell,4350000
Emeka Okafor,4300560
Eric Williams,4296000
Chris Bosh,4235220
Chris Mihm,4214241
Rafer Alston,4200000
Marvin Williams,4174800
Anthony Parker,4150000
Carlos Arroyo,4100000
Damon Stoudamire,4050000
LaMarcus Aldridge,4027320
Kyle Korver,4018182
Gordan Giricek,4000000
Sarunas Jasikevicius,4000000
Reggie Evans,4000000
Zaza Pachulia,4000000
Andres Nocioni,3950000
Damon Jones,3884678
Ben Gordon,3862080
Dwyane Wade,3841443
Bob Sura,3840000
Jorge Garbajosa,3750000
Bruce Bowen,3750000
Deron Williams,3749040
Vitaly Potapenko,3674584
Marcus Banks,3672414
Darius Songaila,3650000
Adam Morrison,3616680
Jeff McInnis,3600000
Pat Garrity,3525000
Dale Davis,3500000
Tyronn Lue,3500000
Chris Kaman,3491768
Shaun Livingston,3481920
Chris Paul,3380160
Keyon Dooling,3348000
Robert Horry,3315000
Melvin Ely,3303813
Tyrus Thomas,3260760
Lorenzen Wright,3250000
Zeljko Rebraca,3240000
Kevin Ollie,3196050
Ira Newble,3196050
Kirk Hinrich,3192628
Devin Harris,3153120
Fred Jones,3100000
Trevor Ariza,3100000
Raymond Felton,3060840
Steven Hunter,3024000
Chris Duhon,3024000
Francisco Elson,3000000
Rasual Butler,3000000
Chucky Atkins,3000000
Shelden Williams,2952840
Earl Boykins,2950000
TJ Ford,2929467
Iakovos Tsakalidis,2900000
Michael Doleac,2880000
Josh Childress,2863920
Willie Green,2800000
Brian Scalabrine,2793103
Martell Webster,2780160
Dan Dickau,2753218
Primoz Brezec,2750000
Damien Wilkins,2700000
Eddie Griffin,2700000
Mike Sweetney,2696956
Brandon Roy,2681880
James Jones,2650000
Anthony Johnson,2640000
Jarron Collins,2625698
Luol Deng,2614440
Jarvis Hayes,2564127
Juan Dixon,2550000
Charlie Villanueva,2537880
Mickael Pietrus,2535260
Keith Bogans,2510000
Nick Collison,2501070
Fabricio Oberto,2500000
Bostjan Nachbar,2500000
Randy Foye,2448240
Luke Ridnour,2425878
Rafael Araujo,2395200
Jose Calderon,2333334
Channing Frye,2325000
Lindsey Hunter,2250000
Rudy Gay,2242290
Mark Madsen,2210000
Dikembe Mutombo,2210000
Andre Iguodala,2201640
Jackie Butler,2200000
Scot Pollard,2200000
Othella Harrington,2200000
Zarko Cabarkapa,2157097
Ike Diogu,2137200
Luke Jackson,2131981
Bonzi Wells,2115000
Patrick O'Bryant,2061720
David West,2051938
Andrew Bynum,2030280
Matt Bonner,2000000
Jake Voskuhl,2000000
DeSagana Diop,1998000
Andris Biedrins,1986960
Devean George,1974259
Tariq Abdul-Wahad,1968750
Aleksandar Pavlovic,1962206
Saer Sene,1958640
Jason Hart,1922640
Maurice Williams,1920000
Robert Swift,1887600
Dahntay Jones,1886113
Boris Diaw,1870501
JJ Redick,1860720
Travis Outlaw,1836426
Yaroslav Korolev,1832280
Brian Cook,1817141
Michael Ruffin,1803600
Malik Allen,1803600
Vassilis Spanoulis,1800000
Walter Herrmann,1800000
Sebastian Telfair,1793160
Hilton Armstrong,1767600
Shammond Williams,1750000
Aaron Williams,1750000
Ronald Murray,1750000
David Wesley,1750000
Sean May,1740720
Kris Humphries,1703520
Kendrick Perkins,1689409
Leandro Barbosa,1679733
Thabo Sefolosha,1679280
Josh Howard,1667603
Rashad McCants,1653720
Didier Ilunga-Mbenga,1628959
Maurice Evans,1620000
Al Jefferson,1618320
Clifford Robinson,1600000
Ronnie Brewer,1595400
Antoine Wright,1570920
Kirk Snyder,1537440
Cedric Simmons,1515480
Scott Padgett,1495317
Joey Graham,1492440
Adrian Griffin,1475000
Josh Smith,1460640
Rodney Carney,1439760
Danny Granger,1417800
Eddie House,1400000
JR Smith,1387560
Luke Walton,1375000
Shawne Williams,1367760
Keith McLeod,1350000
Gerald Green,1347000
Steve Blake,1330000
Dorell Wright,1325160
Justin Reed,1300000
Hakim Warrick,1286280
Jameer Nelson,1272120
Quincy Douby,1240920
Julius Hodge,1234800
Renaldo Balkman,1191240
Jason Kapono,1188000
Matt Carroll,1188000
Nate Robinson,1185480
Alan Henderson,1178348
Darrick Martin,1178348
Eric Piatkowski,1178348
Bo Outlaw,1178348
Gary Payton,1178348
Darrell Armstrong,1178348
Viktor Khryapa,1172400
Rajon Rondo,1143600
Jarrett Jack,1137960
Michael Olowokandi,1103225
Marcus Williams,1097880
Francisco Garcia,1092600
Nenad Krstic,1080480
Delonte West,1080480
John Edwards,1080000
Jacque Vaughn,1071225
Kelvin Cato,1071225
Mikki Moore,1071225
Devin Brown,1064518
Josh Boone,1053960
Luther Head,1048800
Carlos Delfino,1037280
Tony Allen,1037280
Kyle Lowry,1011720
Johan Petro,1006800
Kevin Martin,1002840
Shavlik Randolph,1000000
Jannero Pargo,1000000
Bernard Robinson,1000000
Jumaine Jones,998967
Ryan Bowen,998967
Sasha Vujacic,973920
Jason Maxiell,973440
Shannon Brown,971280
Beno Udrih,967920
David Harrison,960840
Anderson Varejao,945600
Linas Kleiza,945360
Jordan Farmar,939120
Wayne Simien,932760
DeShawn Stevenson,932015
Sean Marks,932015
David Lee,926040
Mario Kasun,919551
Sergio Rodriguez,912000
Maurice Ager,906480
Mardy Collins,899880
DerMarr Johnson,865063
Boniface N'Dong,839209
Alex Acker,839209
James White,818153
Pat Burke,810000
Mickael Gelabale,802000
Mile Ilic,800000
Mike Wilks,798112
Smush Parker,798112
James Lang,771331
Linton Johnson,771331
Quinton Ross,771331
Matt Barnes,771331
Dajuan Wagner,771331
Ronald Dupree,771331
Jamal Sampson,771331
Roger Mason,744551
Pape Sow,744551
Ime Udoka,744551
Ha Seung-Jin,744551
Charlie Bell,744551
Earl Barron,744551
Maceo Baston,744551
Josh Powell,744551
Andre Barrett,744551
Royal Ivey,744551
Salim Stoudamire,729000
John Lucas,700000
Andre Owens,676800
James Singleton,675000
Solomon Jones,675000
Donell Taylor,664209
Andray Blatche,664209
CJ Miles,664209
Ronnie Price,664209
Louis Williams,664209
Travis Diener,664209
Brandon Bass,664209
Bracey Wright,664209
Lynn Greer,664209
Ersan Ilyasova,664209
Lawrence Roberts,664209
Ronny Turiaf,664209
Daniel Ewing,664209
Rawle Marshall,664209
Orien Greene,664209
Chuck Hayes,664209
Monta Ellis,664209
Chris Taft,664209
Amir Johnson,664209
Dwayne Jones,664209
Martynas Andriuskevicius,664209
Ryan Gomes,664209
Esteban Batista,664209
Stanislav Medvedenko,625132
Paul Millsap,625000
Steve Novak,600000
Pavel Podkolzin,600000
Arvydas Macijauskas,500000
Leon Powe,432000
Roger Powell,412718
Brian Chase,412718
Dee Brown,412718
Uros Slokar,412718
PJ Tucker,412718
Bobby Jones,412718
James Augustine,412718
Marcus Vinicius,412718
Craig Smith,412718
David Noel,412718
Damir Markota,412718
Robert Hite,412718
Chris Quinn,412718
Tarence Kinsey,412718
Alexander Johnson,412718
Paul Davis,412718
Will Blalock,412718
Ivan McFarlin,412718
Yakhouba Diawara,412718
Jose Juan Barea,412718
Pops Mensah-Bonsu,412718
Daniel Gibson,412718
Ryan Hollins,412718
Hassan Adams,412718
Allan Ray,412718
Cedric Bozeman,412718
Jared Reiner,396905
Junior Harrington,390556
Peter John Ramos,384776
Kelenna Azubuike,301657
Loren Woods,300000
Desmon Farmer,275404
Anthony Roberson,267111
Justin Williams,261724
Stephen Graham,259204
Andre Brown,241591
Juaquin Hawkins,215928
Jeremy Richardson,176161
Howard Eisley,162660
Steven Smith,161061
Andreas Glyniadakis,161061
Chris McCray,161061
Doug Christie,158071
Mike Gansey,150000
Zoran Planinic,150000
Matt Freije,145961
Mike Hall,135895
Pat Carroll,110000
Alan Anderson,102131
Sergey Monya,100000
Paul Miller,100000
Jimmie Hunter,100000
Ndudi Ebi,90000
Dijon Thompson,89101
Robert Whaley,83026
Daniel Horton,75000
Jefferson Sobral,75000
Vincent Grier,70000
Kevin Burleson,70000
Luke Schenscher,55000
Kevin Pittsnogle,50000
Will Conroy,35378
Casey Jacobsen,31250
Von Wafer,24300
Renaldo Major,20133
