Player,Salary
Kobe Bryant,24806250
Rashard Lewis,19573711
Kevin Garnett,18800000
Tim Duncan,18700000
Michael Redd,18300000
Andrei Kirilenko,17823000
Pau Gasol,17823000
Gilbert Arenas,17730694
Yao Ming,17686100
Zach Randolph,17666666
Vince Carter,17300000
Dirk Nowitzki,17278618
Carmelo Anthony,17149243
Dwight Howard,16647180
Kenyon Martin,16545454
Amare Stoudemire,16486611
Joe Johnson,16324500
Elton Brand,15959099
Predrag Stojakovic,15532320
Chris Paul,14940153
Deron Williams,14940152
Chris Bosh,14500000
LeBron James,14500000
Jason Richardson,14444444
Carlos Boozer,14400000
Dwyane Wade,14200000
Paul Pierce,13876321
Andrew Bynum,13700000
Rudy Gay,13603750
Brandon Roy,13520500
Tony Parker,13500000
Samuel Dalembert,13428129
Antawn Jamison,13358905
Nick Collison,13250000
Chauncey Billups,13150000
Al Jefferson,13000000
Baron Davis,13000000
Tyson Chandler,12600000
Richard Hamilton,12500000
Andre Iguodala,12345250
Troy Murphy,11968253
Manu Ginobili,11854584
Chris Kaman,11800000
Marcus Camby,11749832
Josh Smith,11600000
Eddy Curry,11530592
Emeka Okafor,11495000
Nenê,11360000
Luol Deng,11345000
LaMarcus Aldridge,11244000
Tayshaun Prince,11148760
Kevin Martin,11100005
Andrew Bogut,11000000
Monta Ellis,11000000
Danny Granger,10973202
David Lee,10800000
Ben Gordon,10800000
Jamal Crawford,10800000
Jason Terry,10650000
Mike Dunleavy,10561984
Caron Butler,10561960
Gerald Wallace,10500000
Steve Nash,10310938
Hidayet Turkoglu,10215850
Ray Allen,10000000
Mehmet Okur,9945000
Corey Maggette,9600000
Maurice Williams,9300000
Rajon Rondo,9090911
Jose Calderon,9000000
Andris Biedrins,9000000
Boris Diaw,9000000
Kirk Hinrich,9000000
Devin Harris,8981000
Jason Kidd,8610500
Andrea Bargnani,8500000
TJ Ford,8500000
Stephen Jackson,8453250
Richard Jefferson,8400000
David West,8287500
Lamar Odom,8200000
John Salmons,8000000
Jameer Nelson,7800000
Luis Scola,7775378
Marko Jaric,7625000
Paul Millsap,7600000
Raymond Felton,7500000
Joel Przybilla,7405300
Shane Battier,7354500
Shawn Marion,7305500
Anderson Varejao,7281818
Andre Miller,7269264
JJ Redick,7250000
Dan Gadzuric,7248325
James Posey,7148800
Leandro Barbosa,7100000
Charlie Villanueva,7020000
Travis Outlaw,7000000
Brendan Haywood,6900000
Nazr Mohammed,6883800
Jared Jeffries,6883800
Vladimir Radmanovic,6883800
Andres Nocioni,6850000
Greg Oden,6760524
JR Smith,6757851
Marvin Williams,6712500
Morris Peterson,6665000
Jeff Foster,6655000
Jason Kapono,6641440
Tyrus Thomas,6611570
Josh Childress,6500000
Beno Udrih,6478600
DeSagana Diop,6478600
Marcin Gortat,6322320
Trevor Ariza,6322320
Metta World Peace,6322320
Rasheed Wallace,6322320
Kevin Durant,6053663
Andray Blatche,5900000
Wesley Matthews,5765000
Al Harrington,5765000
Jermaine O'Neal,5765000
Drew Gooden,5760000
Kyle Lowry,5750000
Mike Bibby,5564767
Derrick Rose,5546160
Nenad Krstic,5543116
Francisco Garcia,5500000
Jamaal Tinsley,5500000
Sasha Vujacic,5475113
Al Horford,5444857
Blake Griffin,5357280
Mickael Pietrus,5300000
Luke Walton,5260000
Channing Frye,5200000
John Wall,5144280
Reggie Evans,5080000
Amir Johnson,5000000
Louis Williams,5000000
Mike Miller,5000000
Jason Maxiell,5000000
Kyle Korver,5000000
Linas Kleiza,4995000
