Player,Salary
Kevin Garnett,28000000
Shaquille O'Neal,24749999
Dikembe Mutombo,17714291
Rasheed Wallace,17000000
Chris Webber,15937500
Allan Houston,15937500
Shawn Kemp,14941935
Stephon Marbury,13500000
Anfernee Hardaway,13500000
Allen Iverson,13500000
Ray Allen,13500000
Antonio McDyess,13500000
Latrell Sprewell,13500000
Kobe Bryant,13500000
Antoine Walker,13500000
Zydrunas Ilgauskas,13500000
Vin Baker,13500000
Shareef Abdur-Rahim,13500000
Michael Finley,13281250
Jalen Rose,13279750
Tracy McGrady,13279750
Grant Hill,13279750
Keith Van Horn,13279750
Jermaine O'Neal,13152000
Jason Kidd,13152000
Antonio Davis,12925000
Tim Duncan,12676125
Damon Stoudamire,12375000
Eddie Jones,12333750
Brian Grant,12130648
Vlade Divac,12051510
Nick Van Exel,11956625
Tim Thomas,11825000
Tom Gugliotta,11670000
Vince Carter,11326219
Dirk Nowitzki,11326219
Antawn Jamison,11326219
Paul Pierce,11326219
Terrell Brandon,11100000
Shawn Marion,10960000
Baron Davis,10960000
Elton Brand,10960000
Steve Francis,10960000
Glenn Robinson,10730000
Theo Ratliff,10156250
Lamar Odom,9963596
Mike Bibby,9500000
Kerry Kittles,9266666
Dale Davis,9061875
Toni Kukoc,9056250
Greg Ostertag,8666666
Gilbert Arenas,8536000
Jamal Mashburn,8525000
Jason Terry,8333333
Raef LaFrentz,8178750
PJ Brown,8000000
Wally Szczerbiak,8000000
Andre Miller,8000000
Glen Rice,7885000
Erick Dampier,7842000
Maurice Taylor,7800000
Derek Anderson,7794000
Wesley Person,7700000
Alan Henderson,7682188
Austin Croshere,7610000
Kelvin Cato,7344000
Marcus Camby,7250000
Rashard Lewis,7012987
Brad Miller,7000000
Bonzi Wells,7000000
Corey Maggette,7000000
Jerry Stackhouse,6906250
Doug Christie,6900000
Ron Mercer,6750000
Shandon Anderson,6700000
Lorenzen Wright,6600000
Chris Mills,6600000
Bo Outlaw,6585000
Richard Hamilton,6500000
Hakeem Olajuwon,6326923
Bob Sura,6266666
Predrag Stojakovic,6250000
Eddie Robinson,6204000
Michael Dickerson,6187500
Jason Williams,6187500
Tariq Abdul-Wahad,6187500
Charlie Ward,6030000
Jerome Williams,5987500
Howard Eisley,5843750
Jonathan Bender,5800000
Steve Nash,5750000
Vitaly Potapenko,5715000
Al Harrington,5692500
Jason Caffey,5687500
Jahidi White,5676091
Christian Laettner,5625000
Radoslav Nesterovic,5600000
Eric Williams,5540000
Alvin Williams,5500000
Kenny Thomas,5500000
Ben Wallace,5500000
Metta World Peace,5473684
Calvin Booth,5446800
Ruben Patterson,5445600
Todd MacCulloch,5445600
Joe Smith,5445600
Clarence Weatherspoon,5445600
Avery Johnson,5445600
Danny Fortson,5428602
Brent Barry,5400000
Kurt Thomas,5394125
Cuttino Mobley,5394125
Scot Pollard,5309563
Kenyon Martin,5128689
Sam Cassell,5062500
Larry Hughes,5000600
Keon Clark,5000600
Jerome James,5000600
Chauncey Billups,5000600
Ricky Davis,5000600
Brevin Knight,5000000
Aaron McKie,5000000
Reggie Miller,5000000
Corliss Williamson,5000000
Nazr Mohammed,5000000
Juwan Howard,4917000
Michael Olowokandi,4917000
James Posey,4917000
Gary Payton,4917000
Scottie Pippen,4917000
Alonzo Mourning,4917000
Malik Rose,4916250
Rick Fox,4734797
Clifford Robinson,4700000
Donyell Marshall,4605196
Stromile Swift,4592418
Devean George,4546000
Lamond Murray,4500000
Robert Horry,4500000
Eric Snow,4500000
Michael Stewart,4480000
Ervin Johnson,4418156
Travis Knight,4402500
Adonal Foyle,4400000
Tony Battie,4400000
Anthony Mason,4348094
Matt Harpring,4290000
Kwame Brown,4252080
Zeljko Rebraca,4200000
Yao Ming,4147560
Darius Miles,4130701
LeBron James,4018920
Derrick Coleman,4000000
Jeff Foster,4000000
Elden Campbell,4000000
David Wesley,3960000
Marc Jackson,3900000
Chucky Atkins,3900000
Tyson Chandler,3804360
Marcus Fizer,3726994
Jay Williams,3710880
Bruce Bowen,3650000
Lawrence Funderburke,3600000
Darko Milicic,3595800
Moochie Norris,3500000
Shawn Bradley,3500000
Eduardo Najera,3428572
Mike Miller,3380457
Mike Dunleavy,3332520
Jeff McInnis,3300000
Carmelo Anthony,3229200
Eddy Curry,3080160
Rodney Rogers,3075600
Evan Eschmeyer,3017266
Matt Maloney,3006260
Drew Gooden,3004560
Michael Redd,3000000
Derek Fisher,3000000
Speedy Claxton,3000000
Lindsey Hunter,3000000
Jon Barry,3000000
Chris Crawford,3000000
Eric Montross,2960000
Hubert Davis,2956250
Bobby Jackson,2925000
Othella Harrington,2925000
Tony Delk,2925000
Aaron Williams,2925000
Chris Bosh,2911320
Chris Mihm,2809494
Michael Curry,2800000
George Lynch,2800000
Jason Richardson,2789280
Nikoloz Tskitishvili,2720760
Pat Garrity,2643750
Greg Buckner,2640000
Dwyane Wade,2636400
Wang Zhizhi,2620943
Pau Gasol,2618395
John Amaechi,2610000
Jamal Crawford,2577937
Shane Battier,2533440
Andrew DeClercq,2500000
Predrag Drobnjak,2500000
Eric Piatkowski,2500000
Earl Boykins,2500000
Lucious Harris,2500000
Darrell Armstrong,2475000
Dajuan Wagner,2471280
Kevin Ollie,2458500
Ira Newble,2458500
Stacey Augmon,2400000
Chris Kaman,2394600
Joel Przybilla,2373309
Eddie Griffin,2312760
Cory Alexander,2302778
Keyon Dooling,2256444
Etan Thomas,2200942
Antonio Daniels,2200000
Jim Jackson,2200000
Kirk Hinrich,2185920
Courtney Alexander,2168193
Bimbo Coles,2120000
DeSagana Diop,2118840
Nenê,2102840
Troy Hudson,2100000
Chris Wilcox,2066760
TJ Ford,2002680
Hidayet Turkoglu,1995611
Rodney White,1947600
Marko Jaric,1925000
Amare Stoudemire,1899720
