Player,Salary
Shaquille O'Neal,27696430
Dikembe Mutombo,19485719
Chris Webber,17531250
Allan Houston,17531250
Kevin Garnett,16000000
Jermaine O'Neal,14796000
Jason Kidd,14796000
Shareef Abdur-Rahim,14625000
Allen Iverson,14625000
Ray Allen,14625000
Stephon Marbury,14625000
Anfernee Hardaway,14625000
Latrell Sprewell,14625000
Zydrunas Ilgauskas,14625000
Antoine Walker,14625000
Michael Finley,14609375
Jalen Rose,14487000
Grant Hill,14487000
Keith Van Horn,14487000
Tracy McGrady,14487000
Tim Duncan,14260641
Kobe Bryant,14175000
Eddie Jones,13455000
Brian Grant,13233434
Antonio Davis,12925000
Tim Thomas,12900000
Antawn Jamison,12584688
Dirk Nowitzki,12584688
Vince Carter,12584688
Paul Pierce,12584688
Damon Stoudamire,12500000
Shawn Marion,12330000
Steve Francis,12330000
Baron Davis,12330000
Glenn Robinson,12071250
Elton Brand,12056000
Nick Van Exel,11933252
Carlos Boozer,10967500
Theo Ratliff,10937500
Lamar Odom,10548596
Mike Bibby,10500000
Dale Davis,10068750
Rasheed Wallace,9720000
Raef LaFrentz,9714538
Kerry Kittles,9566667
Kenyon Martin,9454546
Gilbert Arenas,9389600
Jamal Mashburn,9300000
Wally Szczerbiak,9000000
Vin Baker,8833333
Steve Nash,8750000
Jamaal Magloire,8533333
Marcus Camby,8500000
Maurice Taylor,8450000
Derek Anderson,8443500
Alan Henderson,8273125
Austin Croshere,8260000
Shandon Anderson,8173699
PJ Brown,8000000
Kelvin Cato,7992000
Brad Miller,7875000
Richard Hamilton,7812500
Rashard Lewis,7792208
Bonzi Wells,7700000
Erick Dampier,7700000
Bo Outlaw,7632904
Doug Christie,7550000
Mehmet Okur,7500000
Jason Terry,7500000
Jerry Stackhouse,7437500
Andre Miller,7366667
Lorenzen Wright,7150000
Corey Maggette,7000000
Ben Wallace,7000000
Predrag Stojakovic,6875000
Jason Williams,6875000
Darius Miles,6750000
Tariq Abdul-Wahad,6750000
Manu Ginobili,6603500
Christian Laettner,6600000
Desmond Mason,6529630
Jonathan Bender,6525000
Adonal Foyle,6500000
Al Harrington,6325000
Howard Eisley,6301923
Sam Cassell,6250000
Vitaly Potapenko,6191250
Jerome Williams,6187500
Jahidi White,6166466
Radoslav Nesterovic,6160000
Metta World Peace,6157895
Kenny Thomas,6000000
Mike Miller,6000000
Stromile Swift,5993105
Calvin Booth,5900700
Ruben Patterson,5899400
Todd MacCulloch,5899400
Joe Smith,5899400
