Player,Salary
Kevin Garnett,23750000
Michael Finley,21696750
Shaquille O'Neal,20000000
Jermaine O'Neal,19728000
Jason Kidd,19728000
Chris Webber,19602173
Kobe Bryant,19490625
Tim Duncan,19014188
Tracy McGrady,19014187
Stephon Marbury,19012500
Allen Iverson,19012500
Steve Francis,17500000
Shawn Marion,16440000
Baron Davis,16440000
Antawn Jamison,16360094
Dirk Nowitzki,16360094
Paul Pierce,16360094
Ray Allen,16000000
Ben Wallace,15500000
Elton Brand,15344000
Rashard Lewis,14880000
Michael Redd,14520000
Amare Stoudemire,13762775
Yao Ming,13762775
Andrei Kirilenko,13735000
Pau Gasol,13735000
Mike Bibby,13500000
Joe Johnson,13488377
Zach Randolph,13333333
Vince Carter,13320000
Kenyon Martin,13250000
Lamar Odom,13248596
Dwyane Wade,13041250
Carmelo Anthony,13041250
LeBron James,13041250
Wally Szczerbiak,12775000
Rasheed Wallace,12540000
Chris Bosh,12455000
Raef LaFrentz,12440787
Richard Jefferson,12200000
Larry Hughes,12000084
Gilbert Arenas,11950400
Theo Ratliff,11666666
Predrag Stojakovic,11664000
Steve Nash,11375000
Carlos Boozer,11260483
Marcus Camby,11250000
Kirk Hinrich,11250000
Jason Richardson,11111110
Derek Fisher,10723900
David West,10650000
Erick Dampier,10590500
Tony Parker,10500000
Brad Miller,10500000
Samuel Dalembert,10250000
Tyson Chandler,10250000
Adonal Foyle,10157090
Zydrunas Ilgauskas,10142156
Richard Hamilton,10000000
Chauncey Billups,10000000
Gerald Wallace,9500000
Andre Miller,9366666
Bobby Simmons,9280000
Troy Murphy,9206349
Manu Ginobili,9079811
Kwame Brown,9075000
Boris Diaw,9000000
Josh Howard,9000000
Eddy Curry,8947543
Jason Williams,8937500
Jason Terry,8898000
Nenê,8840000
Tayshaun Prince,8675620
Chris Kaman,8600000
Mehmet Okur,8500000
Andres Nocioni,8500000
Al Harrington,8425625
Mike Miller,8376194
Cuttino Mobley,8350000
Antoine Walker,8329640
Darius Miles,8250000
Mike Dunleavy,8219008
Caron Butler,8218990
Quentin Richardson,8105500
Juwan Howard,8094997
Kurt Thomas,8091188
TJ Ford,8000000
Jamal Crawford,7920000
Mark Blount,7901040
Kenny Thomas,7875000
Radoslav Nesterovic,7840000
Maurice Williams,7750000
Aaron McKie,7750000
Jerome Williams,7639400
Metta World Peace,7400000
Troy Hudson,7172590
Malik Rose,7101250
Corey Maggette,7000000
Ricky Davis,6819000
Jerry Stackhouse,6750000
Eric Snow,6703125
Stephen Jackson,6630000
Luke Ridnour,6500000
Chris Wilcox,6500000
Darko Milicic,6500000
Drew Gooden,6453416
Etan Thomas,6373900
Hidayet Turkoglu,6373900
Marquis Daniels,6373900
Antonio McDyess,6373900
Speedy Claxton,6306182
Jamaal Tinsley,6300000
Sam Cassell,6150000
Jason Collins,6100000
Dwight Howard,6061274
Marko Jaric,6050000
Udonis Haslem,6050000
Donyell Marshall,6016965
Matt Harpring,6000000
Shane Battier,5883600
Brian Cardinal,5850000
Greg Buckner,5830000
Antonio Daniels,5800000
Shareef Abdur-Rahim,5800000
Earl Watson,5800000
Jerome James,5800000
Stromile Swift,5800000
Joel Przybilla,5762575
Dan Gadzuric,5751130
Nick Collison,5750000
Bobby Jackson,5670000
Jared Jeffries,5632200
Mike James,5632200
Vladimir Radmanovic,5632200
Tim Thomas,5632200
Nazr Mohammed,5632200
Leandro Barbosa,5600000
Brent Barry,5544370
Jeff Foster,5500000
Matt Carroll,5450000
Emeka Okafor,5427307
Jason Kapono,5356000
Mikki Moore,5356000
Morris Peterson,5356000
Anderson Varejao,5356000
Tony Battie,5200000
Joe Smith,5200000
Brendan Haywood,5000000
Desmond Mason,5000000
Andrew Bogut,4991520
Eduardo Najera,4952380
Damon Stoudamire,4906438
Ben Gordon,4881669
Andrea Bargnani,4838880
John Salmons,4752000
Raja Bell,4750000
Greg Oden,4662000
Rafer Alston,4550000
Alvin Williams,4516484
Kendrick Perkins,4480912
Marvin Williams,4466040
Shaun Livingston,4404629
Kyle Korver,4400000
Anthony Parker,4350000
Trenton Hassell,4350000
LaMarcus Aldridge,4329360
Reggie Evans,4320000
Keith Van Horn,4300000
Steve Blake,4250000
Aleksandar Pavlovic,4250000
Damon Jones,4172432
Kevin Durant,4171200
Bruce Bowen,4125000
Carlos Arroyo,4100000
Deron Williams,4010640
Jorge Garbajosa,4000000
Travis Outlaw,4000000
Gordan Giricek,4000000
Luke Walton,4000000
Jamaal Magloire,4000000
Zaza Pachulia,4000000
Devin Harris,3995003
Marcus Banks,3966207
Darius Songaila,3942000
Dan Dickau,3916706
Adam Morrison,3887880
Bob Sura,3840000
Pat Garrity,3818750
Al Horford,3745800
Amir Johnson,3666666
Josh Childress,3631449
Robert Horry,3630000
Chris Paul,3615960
Fabricio Oberto,3600000
Keyon Dooling,3596000
Tyrus Thomas,3505320
Tyronn Lue,3500000
Brian Cook,3500000
Mickael Pietrus,3470770
Kevin Ollie,3441900
Ira Newble,3441900
Mike Conley,3377160
Luol Deng,3320339
Rasual Butler,3315000
Fred Jones,3300000
Raymond Felton,3274440
Lorenzen Wright,3250000
Steven Hunter,3248000
Chris Duhon,3248000
James Posey,3206000
Shelden Williams,3174240
Michael Doleac,3120000
Charlie Bell,3100000
Trevor Ariza,3100000
Willie Green,3094000
Jeff Green,3058200
Francisco Elson,3000000
Jake Voskuhl,3000000
Matt Barnes,3000000
Chucky Atkins,3000000
Brian Scalabrine,3000000
Martell Webster,2974080
Luis Scola,2910000
James Jones,2900000
Damien Wilkins,2900000
Eddie Griffin,2900000
Brandon Roy,2883120
Anthony Johnson,2860000
Andre Iguodala,2804889
Yi Jianlian,2777760
Alonzo Mourning,2762500
Primoz Brezec,2750000
Charlie Villanueva,2715000
Matt Bonner,2678000
Andris Biedrins,2636696
Randy Foye,2631840
Robert Swift,2601113
Sebastian Telfair,2562426
Juan Dixon,2550000
Corey Brewer,2535720
Beno Udrih,2535445
Kris Humphries,2522913
Chris Mihm,2500000
Bostjan Nachbar,2500000
Channing Frye,2487240
Didier Ilunga-Mbenga,2483569
Al Jefferson,2480885
Jose Calderon,2471604
Andray Blatche,2470000
Keith Bogans,2440000
Mark Madsen,2420000
Rudy Gay,2411160
Othella Harrington,2376000
Devean George,2369111
Kirk Snyder,2358433
Jarron Collins,2350000
Jackie Butler,2350000
Brandan Wright,2323080
Jason Hart,2300000
Ike Diogu,2286360
Bonzi Wells,2284200
Smush Parker,2250000
Lindsey Hunter,2250000
Josh Smith,2243543
Patrick O'Bryant,2216400
Andrew Bynum,2172000
DeSagana Diop,2146000
Joakim Noah,2135400
JR Smith,2134067
Saer Sene,2105520
Dorell Wright,2040746
Spencer Hawes,2028600
JJ Redick,2000160
Jameer Nelson,1961609
Vassilis Spanoulis,1944000
Walter Herrmann,1944000
Viktor Khryapa,1928598
Acie Law,1927080
Hilton Armstrong,1900200
Aaron Williams,1890000
Ronald Murray,1890000
Delonte West,1889760
Nenad Krstic,1889760
Carlos Delfino,1868141
Tony Allen,1868141
Sean May,1862160
Thaddeus Young,1830720
Maceo Baston,1830000
Grant Hill,1830000
Jannero Pargo,1830000
Eddie Jones,1830000
Kevin Martin,1808121
Thabo Sefolosha,1805160
Kosta Perovic,1800000
Rashad McCants,1769160
Sasha Vujacic,1756951
Chuck Hayes,1750000
Maurice Evans,1740000
Julian Wright,1739160
David Harrison,1734316
Ronnie Brewer,1715040
Antoine Wright,1680600
Al Thornton,1652280
Cedric Simmons,1629120
Brevin Knight,1600000
Joey Graham,1596600
Adrian Griffin,1593000
Rodney Stuckey,1569600
Rodney Carney,1547760
Danny Granger,1516800
Travis Diener,1500000
Eddie House,1500000
Nick Young,1491240
