Player,Salary
Tracy McGrady,23239562
Kobe Bryant,23034375
Jermaine O'Neal,23016000
Tim Duncan,22183220
Shaquille O'Neal,20000000
Dirk Nowitzki,19795714
Paul Pierce,19795712
Rashard Lewis,18876000
Ray Allen,18776860
Michael Redd,17040000
Andrei Kirilenko,16452000
Pau Gasol,16452000
Kevin Garnett,16400000
Amare Stoudemire,16378325
Yao Ming,16378325
Vince Carter,16300000
Gilbert Arenas,16192080
Zach Randolph,16000000
Chris Bosh,15779912
Dwyane Wade,15779912
Carmelo Anthony,15779912
LeBron James,15779912
Kenyon Martin,15363636
Dwight Howard,15202590
Joe Johnson,14976754
Elton Brand,14858471
Richard Jefferson,14200000
Larry Hughes,13655268
Carlos Boozer,13520500
Chris Paul,13520500
Predrag Stojakovic,13392000
Jason Richardson,13333333
Steve Nash,13125000
Tony Parker,12600000
Andrew Bynum,12526998
Deron Williams,12323900
Brad Miller,12250000
Andre Iguodala,12200000
Baron Davis,12150000
Erick Dampier,12115500
Chauncey Billups,12100000
Samuel Dalembert,12025694
Al Jefferson,12000000
Tyson Chandler,11850000
Antawn Jamison,11641095
Richard Hamilton,11625000
Zydrunas Ilgauskas,11541074
Troy Murphy,11047619
Monta Ellis,11000000
Josh Howard,10890000
Josh Smith,10800000
Manu Ginobili,10728130
Bobby Simmons,10560000
Emeka Okafor,10538937
Nenê,10520000
Eddy Curry,10500423
Chris Kaman,10400000
Luol Deng,10370425
Tayshaun Prince,10324380
Kevin Martin,10180170
Al Harrington,10026875
Andrew Bogut,10000000
Ben Gordon,10000000
Danny Granger,9930500
Jason Terry,9862500
Mike Dunleavy,9780992
Caron Butler,9780970
Mike Miller,9750000
Cuttino Mobley,9500000
Kirk Hinrich,9500000
Earl Watson,9400000
Jamal Crawford,9360000
Quentin Richardson,9352400
David West,9075000
Gerald Wallace,9075000
Mehmet Okur,9000000
Hidayet Turkoglu,9000000
Darius Miles,9000000
Andris Biedrins,9000000
Boris Diaw,9000000
Corey Maggette,8937931
Maurice Williams,8860000
Kenny Thomas,8775000
TJ Ford,8500000
Devin Harris,8400000
Jose Calderon,8219009
Jason Kidd,8000000
Mark Blount,7962500
Tim Thomas,7773055
Paul Millsap,7692932
Marcus Camby,7650000
Stephen Jackson,7650000
Andres Nocioni,7500000
Darko Milicic,7500000
Lamar Odom,7500000
Antonio McDyess,7500000
Marvin Williams,7500000
Etan Thomas,7350000
Udonis Haslem,7100000
Marko Jaric,7100000
David Lee,7000000
Shane Battier,6864200
Joel Przybilla,6857725
Brian Cardinal,6750000
Dan Gadzuric,6749260
Andre Miller,6730800
Shawn Marion,6635068
Shareef Abdur-Rahim,6600000
Leandro Barbosa,6600000
Jerome James,6600000
Andrea Bargnani,6527491
Matt Harpring,6500000
Luke Ridnour,6500000
Charlie Villanueva,6500000
Mike James,6466600
Jared Jeffries,6466600
Vladimir Radmanovic,6466600
Nazr Mohammed,6466600
Anderson Varejao,6300000
Tony Battie,6292000
Nick Collison,6250000
Mike Bibby,6217617
Jason Kapono,6212960
Morris Peterson,6212960
Jamaal Tinsley,6190300
Jameer Nelson,6138888
Jeff Foster,6077500
Beno Udrih,6031800
Chris Duhon,6031800
James Posey,6031800
DeSagana Diop,6031800
Brendan Haywood,6000000
Antonio Daniels,5863580
Marcin Gortat,5854000
Metta World Peace,5854000
Trevor Ariza,5854000
Rasheed Wallace,5854000
LaMarcus Aldridge,5844827
Francisco Garcia,5800000
JR Smith,5508426
Raymond Felton,5501196
John Salmons,5456000
Nenad Krstic,5400000
Greg Oden,5361240
Mickael Pietrus,5300000
Adam Morrison,5257229
Raja Bell,5250000
Speedy Claxton,5209454
Derrick Rose,5184480
Kyle Korver,5155115
Rafer Alston,5053133
Derek Fisher,5048000
Sasha Vujacic,5000000
Jason Maxiell,5000000
Blake Griffin,4983480
Louis Williams,4972500
Reggie Evans,4960000
Steve Blake,4930000
Luke Walton,4840000
Kevin Durant,4796880
Zaza Pachulia,4750000
Tyrus Thomas,4743598
Matt Carroll,4700000
Michael Beasley,4638600
Marcus Banks,4553793
Darius Songaila,4526000
Jarrett Jack,4500000
Drew Gooden,4500000
Hasheem Thabeet,4458840
Trenton Hassell,4350000
Martell Webster,4344000
James Jones,4320000
Al Horford,4307640
Delonte West,4254250
Kendrick Perkins,4250000
OJ Mayo,4165560
Ronny Turiaf,4140000
Kwame Brown,4100000
Daniel Gibson,4088500
James Harden,4054160
Brandon Bass,4000000
Travis Outlaw,4000000
Nate Robinson,4000000
Rasual Butler,3945000
Brandon Roy,3910816
Fabricio Oberto,3900000
DeShawn Stevenson,3886928
Mike Conley,3883800
Ryan Gomes,3867500
Kurt Thomas,3800000
Roger Mason,3780000
Russell Westbrook,3755640
CJ Miles,3700000
Steven Hunter,3696000
Willie Green,3682000
Ramon Sessions,3670667
Amir Johnson,3666666
Chris Andersen,3650000
Tyreke Evans,3610080
Charlie Bell,3596000
Randy Foye,3575761
Keyon Dooling,3564000
Jeff Green,3516960
Carlos Delfino,3500000
Brian Cook,3500000
Brian Scalabrine,3413793
Kevin Love,3401040
Luis Scola,3375600
Damien Wilkins,3300000
Rudy Gay,3280997
Matt Bonner,3240380
Marc Gasol,3240000
Kris Humphries,3200000
Yi Jianlian,3194400
Kelenna Azubuike,3132000
Eduardo Najera,3100000
Danilo Gallinari,3089040
Andray Blatche,3000000
