Player,Salary
Stephen Curry,45780966
James Harden,44310840
John Wall,44310840
Russell Westbrook,44211146
Kevin Durant,42018900
LeBron James,41180544
Paul George,39344970
Damian Lillard,39344900
Giannis Antetokounmpo,39344900
Kawhi Leonard,39344900
Klay Thompson,37980720
Jimmy Butler,36016200
Tobias Harris,35995950
Khris Middleton,35500000
Anthony Davis,35361360
Rudy Gobert,35344828
Kyrie Irving,35328700
Kemba Walker,34967442
Bradley Beal,33724200
Pascal Siakam,33003936
Ben Simmons,33003936
Blake Griffin,32405817
Kristaps Porzingis,31650600
Devin Booker,31650600
Karl-Anthony Towns,31650600
Joel Embiid,31579390
Andrew Wiggins,31579390
Kevin Love,31258256
Jrue Holiday,31171333
Nikola Jokic,31044906
CJ McCollum,30864198
Chris Paul,30800000
D'Angelo Russell,30013500
Gordon Hayward,29925000
Brandon Ingram,29467800
Jamal Murray,29467800
Donovan Mitchell,28103500
De'Aaron Fox,28103500
Bam Adebayo,28103500
Jayson Tatum,28103500
Al Horford,27000000
Kyle Lowry,26984128
Jaylen Brown,26758928
DeMar DeRozan,26000000
Draymond Green,24026712
Nikola Vucevic,24000000
Buddy Hield,23073234
John Collins,23000000
Malcolm Brogdon,21700000
Tim Hardaway Jr,21306816
Mike Conley,21000000
Gary Harris,20932143
Danilo Gallinari,20475000
Harrison Barnes,20284091
Jerami Grant,20002500
Jarrett Allen,20000000
Julius Randle,19800000
Fred VanVleet,19675926
Zach LaVine,19500000
Goran Dragic,19348907
Spencer Dinwiddie,19314284
Bojan Bogdanovic,18700000
Lonzo Ball,18604651
Domantas Sabonis,18500000
Eric Gordon,18218818
Eric Bledsoe,18125000
Myles Turner,18000000
Bogdan Bogdanovic,18000000
Terry Rozier,17905263
Ricky Rubio,17800000
Clint Capela,17603448
Caris LeVert,17500000
Jonathan Isaac,17400000
Joe Harris,17357143
Evan Fournier,17142857
Steven Adams,17073171
Markelle Fultz,16500000
Aaron Gordon,16409091
Gary Trent Jr,16225000
OG Anunoby,16071429
Davis Bertans,16000000
Lauri Markkanen,15690909
Derrick White,15678571
Duncan Robinson,15650000
Marcus Morris,15627907
Will Barton,15625000
Norman Powell,15517242
Dejounte Murray,15428880
Malik Beasley,14491964
Patrick Beverley,14320987
Thaddeus Young,14190000
Jonas Valanciunas,14000000
Marcus Smart,13839285
Doug McDermott,13750000
Christian Wood,13666667
Derrick Rose,13445120
Luke Kennard,13347727
Taurean Prince,13334375
Brook Lopez,13302325
Kentavious Caldwell-Pope,13038862
Joe Ingles,13036364
Kyle Kuzma,13000000
Robert Covington,12975471
TJ Warren,12940000
Deandre Ayton,12632950
Terrence Ross,12500000
Jordan Clarkson,12420000
Dillon Brooks,12200000
Kelly Olynyk,12195122
Nicolas Batum,12026998
Josh Hart,12000000
Jusuf Nurkic,12000000
Kelly Oubre,12000000
Josh Richardson,11615328
Marvin Bagley,11312114
DeAndre Jordan,11109327
Dwight Powell,11080125
Devonte Graham,11000000
Zion Williamson,10733400
Larry Nance Jr,10690909
Jeremy Lamb,10500000
Richaun Holmes,10384500
Reggie Jackson,10384500
Al-Farouq Aminu,10335621
Anthony Edwards,10245480
Luka Doncic,10174391
Cade Cunningham,10050120
Tomas Satoransky,10000000
Danny Green,10000000
Tristan Thompson,9946611
Kyle Anderson,9937150
Jae Crowder,9720900
Derrick Favors,9720900
Serge Ibaka,9720900
Derrick Jones,9720900
Montrezl Harrell,9720900
Ja Morant,9603360
Alec Burks,9536000
Reggie Bullock,9536000
Talen Horton-Tucker,9500000
Mason Plumlee,9248333
Jaren Jackson Jr,9180560
James Wiseman,9166800
Jalen Green,8992080
De'Anthony Melton,8805976
Royce O'Neale,8800000
Nerlens Noel,8800000
Jakob Poeltl,8750000
Maxi Kleber,8750000
Thomas Bryant,8666667
RJ Barrett,8623920
Alex Caruso,8600000
Delon Wright,8526316
Dario Saric,8510000
Monte Morris,8449074
Tyus Jones,8376286
Trae Young,8326471
Daniel Theis,8280351
LaMelo Ball,8231760
Seth Curry,8207518
JaMychal Green,8200000
Cedi Osman,8133334
Evan Mobley,8075160
De'Andre Hunter,7775400
DJ Augustin,7622467
Mo Bamba,7568743
Ivica Zubac,7518518
TJ McConnell,7500000
Rajon Rondo,7500000
Patrick Williams,7422000
Cory Joseph,7310000
Scottie Barnes,7280400
Darius Garland,7040880
Chris Boucher,7020000
Zach Collins,7000000
PJ Tucker,7000000
Wendell Carter,6920027
Juan Hernangomez,6803190
Isaac Okoro,6720720
Jalen Suggs,6592920
Cameron Payne,6500000
Joakim Noah,6431666
Jarrett Culver,6395160
Khem Birch,6350000
Collin Sexton,6349671
Onyeka Okongwu,6104280
Justin Holiday,6006420
Josh Giddey,5988000
Rudy Gay,5890000
Dennis Schroeder,5890000
Patrick Mills,5890000
Kevin Knox,5845978
Coby White,5837760
Timofey Mozgov,5573333
Killian Hayes,5572680
Mikal Bridges,5557725
Shai Gilgeous-Alexander,5495532
Jonathan Kuminga,5466360
Miles Bridges,5421493
Jaxson Hayes,5348280
Pat Connaughton,5333334
Kris Dunn,5317430
George Hill,5275491
Michael Porter,5258735
Dewayne Dedmon,5256308
Ryan Anderson,5214583
Hamidou Diallo,5200000
Kevon Looney,5178572
Troy Brown,5170564
Obi Toppin,5105160
Franz Wagner,5007840
Josh Jackson,5005350
JaVale McGee,5000000
Robin Lopez,5000000
Luol Deng,5000000
Kendrick Nunn,5000000
Louis Williams,5000000
Danuel House,4997424
Rui Hachimura,4916160
Taj Gibson,4910000
Garrett Temple,4910000
Torrey Craig,4878049
Bruce Brown,4736102
Deni Avdija,4692840
Donte DiVincenzo,4675830
Cam Reddish,4670160
David Nwaba,4650000
Furkan Korkmaz,4629630
Davion Mitchell,4603200
Ishmael Smith,4500000
Bryn Forbes,4500000
Jeff Green,4500000
Jalen Smith,4458000
Lonnie Walker,4447896
Cameron Johnson,4437000
Ziaire Williams,4373040
Moe Harkless,4347600
Bobby Portis,4347600
Kevin Huerter,4253357
Devin Vassell,4235160
Chandler Hutchison,4224186
Willie Cauley-Stein,4220083
PJ Washington,4215120
James Bouknight,4154400
Jevon Carter,4107149
Josh Okogie,4087904
Grayson Allen,4054695
Jarred Vanderbilt,4050000
Tyrese Haliburton,4023600
Tyler Herro,4004280
Terence Davis,4000000
Dorian Finney-Smith,4000000
Gorgui Dieng,4000000
Aaron Holiday,3980551
Josh Primo,3946800
Jake Layman,3940184
Anfernee Simons,3938818
Justise Winslow,3902439
Kira Lewis,3822240
Romeo Langford,3804360
Sekou Doumbouya,3799131
Landry Shamet,3768342
Chris Duarte,3749400
Alex Len,3732000
Robert Williams,3661976
Aaron Nesmith,3631200
Moses Moody,3562200
Mike Muscala,3500000
Boban Marjanovic,3500000
Cole Anthony,3449400
Corey Kispert,3383640
Luka Samanic,3355239
Georges Niang,3300000
Michael Carter-Williams,3300000
Chuma Okeke,3277080
Isaiah Stewart,3277080
Nickeil Alexander-Walker,3261480
Alperen Sengun,3214680
Jon Leuer,3169348
Trey Burke,3150000
Aleksej Pokusevski,3113160
Facundo Campazzo,3100000
Goga Bitadze,3098400
Trey Murphy,3053760
Frank Jackson,3000000
Sterling Brown,3000000
Josh Green,2957520
Tre Mann,2901240
Andrew Nicholson,2844429
Matisse Thybulle,2840160
Saddiq Bey,2824320
Kai Jones,2770560
Brandon Clarke,2726880
Precious Achiuwa,2711280
Marc Gasol,2692991
Jalen Johnson,2659680
Paul Millsap,2641691
E'Twaun Moore,2641691
Markieff Morris,2641691
Udonis Haslem,2641691
Dwight Howard,2641691
Trevor Ariza,2641691
Wayne Ellington,2641691
Carmelo Anthony,2641691
Avery Bradley,2641691
Enes Kanter,2641691
Andre Iguodala,2641691
Ed Davis,2641691
James Johnson,2641691
LaMarcus Aldridge,2641691
Grant Williams,2617800
Tyrese Maxey,2602920
Keon Johnson,2553240
Darius Bazley,2513040
Trey Lyles,2500000
Zeke Nnaji,2498760
Isaiah Jackson,2451240
Ty Jerome,2412840
Hassan Whiteside,2401537
Kent Bazemore,2401537
Austin Rivers,2401537
Andre Drummond,2401537
Cody Zeller,2389641
Ben McLemore,2389641
Solomon Hill,2389641
Tony Snell,2389641
Victor Oladipo,2389641
Otto Porter,2389641
Leandro Bolmaro,2353320
Usman Garuba,2353320
Willy Hernangomez,2327220
Edmond Sumner,2320000
Nassir Little,2316240
RJ Hampton,2303040
DeAndre Bembry,2271045
Josh Christopher,2259240
Monta Ellis,2245400
Drew Eubanks,2239820
Elfrid Payton,2239544
Rodney Hood,2239544
Dylan Windler,2239200
Immanuel Quickley,2210640
John Konchar,2200000
Quentin Grimes,2168640
Jordan Poole,2161440
Bol Bol,2161152
Keldon Johnson,2145720
Payton Pritchard,2137440
Jahlil Okafor,2130023
Bones Hyland,2096880
Raul Neto,2089448
Frank Kaminsky,2089448
Nemanja Bjelica,2089448
Udoka Azubuike,2075880
Jaden McDaniels,2063280
Malachi Flynn,2048040
DeMarcus Cousins,2038942
Cam Thomas,2036280
Desmond Bane,2033160
Jaden Springer,2023680
Day'Ron Sharpe,2009160
Abdel Nader,2000000
Kenrich Williams,2000000
Theo Maledon,2000000
Jeremiah Robinson-Earl,2000000
Jordan McLaughlin,2000000
Garrison Mathews,2000000
Santiago Aldama,1994520
Damian Jones,1977011
Wesley Matthews,1958495
Rodney McGruder,1939350
Timothe Luwawu,1939350
Moses Brown,1933909
