Player,Salary
Kevin Garnett,19610000
Shaquille O'Neal,19285715
Alonzo Mourning,16880000
Juwan Howard,16875000
Hakeem Olajuwon,16700000
Karl Malone,15750000
David Robinson,14700000
Dikembe Mutombo,14400000
Patrick Ewing,14000000
Jayson Williams,13800000
Scottie Pippen,13750000
Rasheed Wallace,12600000
Gary Payton,12200000
Chris Webber,12000000
Tim Hardaway,12000000
Shawn Kemp,11720000
Arvydas Sabonis,11250000
Damon Stoudamire,11250000
John Stockton,11000000
Larry Johnson,11000000
Antonio McDyess,10800000
Reggie Miller,10670000
Anfernee Hardaway,10130000
Allen Iverson,10130000
Vin Baker,10130000
Ray Allen,10130000
Shareef Abdur-Rahim,10130000
Kobe Bryant,10130000
Zydrunas Ilgauskas,10130000
Stephon Marbury,10130000
Antoine Walker,10130000
Latrell Sprewell,10125000
Bryant Reeves,10110000
Rod Strickland,10000000
Mitch Richmond,10000000
Tim Duncan,9660000
Tracy McGrady,9660000
Grant Hill,9660000
Jalen Rose,9660000
Vlade Divac,9640000
Tom Gugliotta,9360000
Nick Van Exel,9200000
Allan Houston,9000000
Keith Van Horn,9000000
Eddie Jones,8960000
Brian Grant,8900000
Tim Thomas,8510000
Michael Finley,8400000
Shawn Bradley,8370000
Terrell Brandon,8330000
Glenn Robinson,8120000
Steve Smith,8100000
Elden Campbell,8050000
Danny Manning,8030000
Avery Johnson,8000000
Derrick Coleman,8000000
Theo Ratliff,7800000
Kerry Kittles,7770000
Jason Kidd,7680000
Glen Rice,7578900
Kenny Anderson,7520000
Matt Geiger,7515840
Tyrone Hill,7300000
Kendall Gill,7000000
Clifford Robinson,6890000
Christian Laettner,6625000
Horace Grant,6500000
Chris Dudley,6200000
Jamal Mashburn,6200000
Dale Davis,6000000
Toni Kukoc,6000000
Bryant Stith,5920000
Alan Henderson,5910000
Charles Oakley,5760000
Luc Longley,5750000
Marcus Camby,5750000
PJ Brown,5740000
Jermaine O'Neal,5710000
Donyell Marshall,5630000
Erick Dampier,5610000
Wesley Person,5600000
Anthony Mason,5550000
Chris Gatling,5550000
Ron Mercer,5520000
Antonio Davis,5500000
Isaac Austin,5500000
Steve Nash,5500000
Derrick McKey,5400000
Jim McIlvaine,5400000
Kelvin Cato,5330000
Jerry Stackhouse,5310000
Sean Elliott,5300000
Austin Croshere,5300000
Greg Ostertag,5200000
Charlie Ward,5040000
Lorenzen Wright,4950000
Loy Vaught,4812025
Robert Horry,4800000
Mookie Blaylock,4800000
Chris Mills,4800000
Hersey Hawkins,4760000
Chris Childs,4680000
Chris Mullin,4650000
Bobby Phills,4640000
Bryon Russell,4570000
Bo Outlaw,4500000
Tariq Abdul-Wahad,4500000
Bob Sura,4390000
Jason Caffey,4380000
Brent Barry,4320000
Robert Pack,4320000
Vitaly Potapenko,4290000
Walt Williams,4250000
Howard Eisley,4250000
Brevin Knight,4250000
Scott Williams,4200000
Dan Majerle,4050000
Sam Cassell,4000000
Duane Causwell,4000000
Ben Wallace,4000000
Brad Miller,4000000
Danny Fortson,3950000
Corliss Williamson,3940000
Cedric Ceballos,3937500
Jahidi White,3922000
Scot Pollard,3920000
Rashard Lewis,3920000
Cuttino Mobley,3920000
Eric Williams,3890000
