Player,Salary
Kevin Garnett,25200000
Shaquille O'Neal,23571429
Alonzo Mourning,20629800
Juwan Howard,20625000
Scottie Pippen,19727524
Karl Malone,19250000
Rasheed Wallace,16200000
Dikembe Mutombo,16105264
Chris Webber,14343750
Allan Houston,14343750
Shawn Kemp,13651028
Bryant Reeves,12999998
Gary Payton,12636117
Antonio McDyess,12600000
Damon Stoudamire,12375000
Stephon Marbury,12375000
Anfernee Hardaway,12375000
Allen Iverson,12375000
Latrell Sprewell,12375000
Ray Allen,12375000
Kobe Bryant,12375000
Zydrunas Ilgauskas,12375000
Vin Baker,12375000
Antoine Walker,12375000
Shareef Abdur-Rahim,12375000
Tim Duncan,12072500
Keith Van Horn,12072500
Tracy McGrady,12072500
Grant Hill,12072500
Jalen Rose,12072500
Reggie Miller,12046473
Antonio Davis,12000000
Michael Finley,11953125
Vlade Divac,11248076
Eddie Jones,11212500
Nick Van Exel,11061234
Brian Grant,11027862
Tom Gugliotta,10892000
Tim Thomas,10750000
David Robinson,10500000
Terrell Brandon,10175000
Vince Carter,10067750
Antawn Jamison,10067750
Dirk Nowitzki,10067750
Paul Pierce,10067750
Steve Smith,9900000
Glenn Robinson,9860000
Larry Johnson,9610714
Derrick Coleman,9380000
Theo Ratliff,9375000
Jason Kidd,9265000
Glen Rice,9200000
Kenny Anderson,9185000
Kerry Kittles,8966667
Matt Geiger,8768480
Mike Bibby,8500000
Clifford Robinson,8421875
Dale Davis,8055000
Elden Campbell,8050000
Toni Kukoc,8050000
John Stockton,7875000
Greg Ostertag,7799996
Jamal Mashburn,7750000
Raef LaFrentz,7270000
Maurice Taylor,7150000
Derek Anderson,7144500
Alan Henderson,7091250
PJ Brown,7044800
Wesley Person,7000000
Austin Croshere,6960000
Luc Longley,6900000
Jermaine O'Neal,6900000
Erick Dampier,6858500
Arvydas Sabonis,6850000
Ron Mercer,6750000
Marcus Camby,6750000
Kelvin Cato,6696000
Tyrone Hill,6600000
Bo Outlaw,6585000
Jerry Stackhouse,6375000
Bonzi Wells,6300000
Doug Christie,6250000
Rashard Lewis,6233766
Nick Anderson,6101906
Shandon Anderson,6100000
Michael Olowokandi,6061213
Lorenzen Wright,6050000
Chris Mills,6000000
Steve Nash,5750000
Hakeem Olajuwon,5694231
Eddie Robinson,5687000
Bob Sura,5639999
Predrag Stojakovic,5625000
Tariq Abdul-Wahad,5625000
Charlie Ward,5570000
Michael Dickerson,5500000
Jason Williams,5500000
Loy Vaught,5364964
Alvin Williams,5350000
Howard Eisley,5312500
Robert Horry,5300000
Jerome Williams,5250000
Jason Caffey,5250000
Vitaly Potapenko,5238750
Ben Wallace,5200000
Donyell Marshall,5186542
Christian Laettner,5062500
Al Harrington,5060000
Brent Barry,5040000
Danny Fortson,5039068
Eric Williams,5004000
Brevin Knight,5000000
Calvin Booth,4992900
Ruben Patterson,4991800
Todd MacCulloch,4991800
Clarence Weatherspoon,4991800
Joe Smith,4991800
Avery Johnson,4991800
Jahidi White,4903750
Kurt Thomas,4903750
Cuttino Mobley,4903750
Elton Brand,4895656
Sam Cassell,4850000
Scot Pollard,4826874
Brad Miller,4800000
Nazr Mohammed,4750000
Larry Hughes,4546000
