Player,Salary
Kobe Bryant,25244493
Vince Carter,21300000
Kevin Garnett,21247044
Tim Duncan,21164619
Rashard Lewis,21136631
Gilbert Arenas,19269307
Dirk Nowitzki,19092873
Pau Gasol,18714150
Carmelo Anthony,18518574
Amare Stoudemire,18217705
Dwight Howard,18091770
Joe Johnson,18038573
Richard Hamilton,17500000
Elton Brand,17059727
Chris Paul,16359805
Deron Williams,16359805
Brandon Roy,16032144
Chris Bosh,16022500
LeBron James,16022500
Dwyane Wade,15691000
Kevin Durant,15506632
Paul Pierce,15333334
Baron Davis,15252181
Zach Randolph,15200000
Antawn Jamison,15076715
Rudy Gay,15032144
Andrew Bynum,14900000
Chauncey Billups,14200000
Chris Kaman,14030000
Al Jefferson,14000000
Andre Iguodala,13531750
Carlos Boozer,13500000
Tyson Chandler,13107837
Nenê,13000000
Manu Ginobili,12981038
Marc Gasol,12922194
Emeka Okafor,12541812
Tony Parker,12500000
Josh Smith,12400000
LaMarcus Aldridge,12372000
Luol Deng,12325000
Danny Granger,12015904
Andrew Bogut,12000000
Joakim Noah,12000000
Al Horford,12000000
Steve Nash,11689062
David Lee,11610000
Ben Gordon,11600000
Kevin Martin,11519840
Marcus Camby,11227250
Jason Terry,11158000
Hidayet Turkoglu,11015850
Monta Ellis,11000000
Mehmet Okur,10890000
Corey Maggette,10262069
Jason Kidd,10121000
DeAndre Jordan,10079404
Rajon Rondo,10045455
David West,10000000
Ray Allen,10000000
Jose Calderon,9780992
Gerald Wallace,9500000
Devin Harris,9319000
Richard Jefferson,9282000
Stephen Jackson,9256500
Andrea Bargnani,9250000
Andris Biedrins,9000000
Boris Diaw,9000000
Lamar Odom,8900000
Luis Scola,8591793
John Salmons,8500000
Carl Landry,8500000
Maurice Williams,8500000
Rodney Stuckey,8500000
Paul Millsap,8103435
Kirk Hinrich,8100000
Shawn Marion,8022449
Caron Butler,8000000
Kris Humphries,8000000
Andre Miller,7807728
Jameer Nelson,7800000
Anderson Varejao,7700000
Brendan Haywood,7624500
Leandro Barbosa,7600000
James Posey,7595600
Arron Afflalo,7562500
Raymond Felton,7560000
Charlie Villanueva,7540000
Marvin Williams,7500000
Thaddeus Young,7478261
Tyrus Thomas,7305765
Kendrick Perkins,7123626
Marcus Thornton,7000000
Samuel Dalembert,7000000
Travis Outlaw,7000000
Derrick Rose,6993708
Beno Udrih,6925400
DeSagana Diop,6925400
Marcin Gortat,6790640
Trevor Ariza,6790640
Metta World Peace,6790640
JJ Redick,6750000
Kwame Brown,6750000
Andres Nocioni,6650000
Mike Conley,6611571
Mickael Pietrus,6523166
Grant Hill,6500000
Andray Blatche,6442083
Glen Davis,6300000
Tayshaun Prince,6292135
Michael Beasley,6262347
Drew Gooden,6226200
Al Harrington,6226200
Jermaine O'Neal,6226200
Wesley Matthews,6135160
Josh Childress,6000000
Francisco Garcia,5800000
Kyle Lowry,5750000
Blake Griffin,5731080
Luke Walton,5680000
OJ Mayo,5632637
Channing Frye,5600000
John Wall,5530080
Amir Johnson,5500000
Nate Robinson,5483307
Mike Miller,5400000
Jason Richardson,5395000
Martell Webster,5256000
Chuck Hayes,5250000
Louis Williams,5176000
Kyrie Irving,5144280
Hasheem Thabeet,5127720
Russell Westbrook,5082416
Jamal Crawford,5000000
Jarrett Jack,5000000
Luc Mbah a Moute,5000000
Jason Maxiell,5000000
Kyle Korver,5000000
Evan Turner,4947840
Darko Milicic,4776500
Brad Miller,4752000
Zaza Pachulia,4750000
Ronnie Brewer,4710000
Kevin Love,4609701
Linas Kleiza,4605000
James Harden,4604760
Derrick Williams,4602720
Nikola Pekovic,4503600
Jonas Jerebko,4500000
Derrick Favors,4443360
Daniel Gibson,4403834
Ronny Turiaf,4360000
Jose Juan Barea,4300000
Ramon Sessions,4257973
Jared Dudley,4250000
Randy Foye,4250000
Brandon Bass,4250000
Chris Andersen,4234000
Danilo Gallinari,4190182
Tyreke Evans,4151640
Enes Kanter,4133280
Charlie Bell,4099920
Spencer Hawes,4051024
Wesley Johnson,4006080
Hakim Warrick,4000000
Mario Chalmers,4000000
Steve Blake,4000000
Ryan Gomes,4000000
Anthony Morrow,4000000
Jordan Farmar,4000000
Matt Carroll,3900000
Eric Gordon,3831184
Dorell Wright,3823000
Udonis Haslem,3780000
Nazr Mohammed,3750000
Mike Dunleavy,3750000
Tristan Thompson,3726600
CJ Miles,3700000
Nick Young,3695857
Luke Ridnour,3680000
Tiago Splitter,3672000
DeMarcus Cousins,3627720
Joel Anthony,3600000
Shannon Brown,3500000
Chris Duhon,3500000
Carlos Delfino,3500000
Shaun Livingston,3500000
Ricky Rubio,3480120
Jonny Flynn,3414720
Derek Fisher,3400000
CJ Watson,3400000
Marco Belinelli,3377604
Timofey Mozgov,3343896
Daequan Cook,3341558
Matt Bonner,3315000
Thabo Sefolosha,3300000
Ekpe Udoh,3294960
Nick Collison,3272997
Will Bynum,3250000
Johan Petro,3250000
Raja Bell,3240000
DJ Augustin,3236470
Tony Allen,3150000
Stephen Curry,3117120
Brook Lopez,3076983
Jan Vesely,3065040
Corey Brewer,3059000
Jerryd Bayless,3042280
Greg Monroe,3007920
Jason Thompson,3001284
Shane Battier,3000000
Josh McRoberts,3000000
Jeff Foster,3000000
Shawne Williams,3000000
Chris Wilcox,3000000
Brandon Rush,2956658
Anthony Randolph,2911231
Robin Lopez,2862602
Jordan Hill,2855760
Bismack Biyombo,2798040
Al-Farouq Aminu,2755560
Eduardo Najera,2750000
Marreese Speights,2721255
Dahntay Jones,2700000
Antonio McDyess,2640000
DeMar DeRozan,2625000
Roy Hibbert,2588590
Brandon Knight,2563320
Ersan Ilyasova,2541000
Gordon Hayward,2532960
Aaron Gray,2500000
Jason Smith,2500000
Kenyon Martin,2500000
Reggie Williams,2500000
DeShawn Stevenson,2500000
Brandon Jennings,2493720
Ryan Hollins,2483333
JaVale McGee,2462400
Quentin Richardson,2446600
Paul George,2406240
Louis Amundson,2403000
JR Smith,2382353
Terrence Williams,2369040
Kemba Walker,2356320
JJ Hickson,2354537
Cole Aldrich,2286000
Gerald Henderson,2250600
Anthony Parker,2250000
Ben Wallace,2246400
Keyon Dooling,2246400
Ryan Anderson,2244601
Jimmer Fredette,2238360
Courtney Lee,2225093
Kosta Koufos,2203792
Rudy Fernandez,2180443
Xavier Henry,2171640
Nicolas Batum,2155365
Josh Howard,2150000
Tyler Hansbrough,2138040
Klay Thompson,2126520
Goran Dragic,2108000
George Hill,2086360
Ed Davis,2063040
Anthony Tolliver,2050000
Darrell Arthur,2027119
Alec Burks,2020200
Donte Greene,2015896
DJ White,2001167
Earl Watson,2000000
Dante Cunningham,2000000
Patrick Patterson,1959960
Austin Daye,1929600
Markieff Morris,1919160
Matt Barnes,1906200
Larry Sanders,1861920
Omer Asik,1857500
James Johnson,1833120
Marcus Morris,1823280
Luke Babbitt,1768800
Jrue Holiday,1741440
Kawhi Leonard,1731960
